CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
88579Y101,MMM,3M CO,1500,1500,220.29K,220.29K,NEW,0.04%
00206R102,T,AT&T INC,7531,7531,212.99K,212.99K,NEW,0.04%
00287Y109,ABBV,ABBVIE INC,960,960,201.14K,201.14K,NEW,0.04%
023135106,AMZN,AMAZON COM INC,2858,20,543.76K,3.81K,+0.7%,0.1%
67066G104,NVDA,NVIDIA CORPORATION,5310,30,575.5K,3.25K,+0.6%,0.11%
464287168,DVY,ISHARES TR,2903,5,389.88K,671.5,+0.2%,0.07%
808524102,SCHB,SCHWAB STRATEGIC TR,26973,8,580.72K,172.24,+0%,0.11%
949746101,WFC,WELLS FARGO CO NEW,32040,0,2.3M,0,NO CHANGE,0.44%
166764100,CVX,CHEVRON CORP NEW,4370,0,731.06K,0,NO CHANGE,0.14%
149123101,CAT,CATERPILLAR INC,2061,0,679.72K,0,NO CHANGE,0.13%
464287150,ITOT,ISHARES TR,3379,0,412.27K,0,NO CHANGE,0.08%
88160R101,TSLA,TESLA INC,1218,0,315.66K,0,NO CHANGE,0.06%
78462F103,SPY,SPDR S&P 500 ETF TR,550,0,307.67K,0,NO CHANGE,0.06%
189054109,CLX,CLOROX CO DEL,2000,0,294.5K,0,NO CHANGE,0.06%
254709108,DFS,DISCOVER FINL SVCS,1405,0,239.83K,0,NO CHANGE,0.05%
921908844,VIG,VANGUARD SPECIALIZED FUNDS,1150,0,223.09K,0,NO CHANGE,0.04%
957090103,WABC,WESTAMERICA BANCORPORATION,4200,0,212.65K,0,NO CHANGE,0.04%
922908751,VB,VANGUARD INDEX FDS,936,0,207.54K,0,NO CHANGE,0.04%
037833100,AAPL,APPLE INC,1769,-25,392.92K,-5.55K,-1.4%,0.07%
922908736,VUG,VANGUARD INDEX FDS,1635,-100,606.31K,-37.08K,-5.8%,0.11%
922908769,VTI,VANGUARD INDEX FDS,5149,-369,1.42M,-101.41K,-6.7%,0.27%
594918104,MSFT,MICROSOFT CORP,0,-494,0,-208.22K,CLOSE,0%
92204A702,VGT,VANGUARD WORLD FD,0,-442,0,-274.86K,CLOSE,0%
303250104,FICO,FAIR ISAAC CORP,280597,-76744,517.47M,-141.53M,-21.5%,97.9%
Total,,,,,528.53M,-141.51M,-19.6%,100%
