CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
464288679,SHV,ISHARES TR,5445,5445,601.46K,601.46K,NEW,0.32%
459200101,IBM,INTERNATIONAL BUSINESS MACHS,805,805,200.17K,200.17K,NEW,0.11%
172967424,C,CITIGROUP INC,9488,1925,673.55K,136.66K,+25.5%,0.36%
46654Q203,JEPQ,J P MORGAN EXCHANGE TRADED F,12768,1610,661.13K,83.37K,+14.4%,0.36%
084670702,BRK.B,BERKSHIRE HATHAWAY INC DEL,4308,100,2.29M,53.26K,+2.4%,1.2%
46625H100,JPM,JPMORGAN CHASE & CO.,11818,200,2.9M,49.06K,+1.7%,1.6%
855244109,SBUX,STARBUCKS CORP,8615,500,845.04K,49.04K,+6.2%,0.46%
042068205,ARM,ARM HOLDINGS PLC,16351,400,1.75M,42.72K,+2.5%,0.94%
68389X105,ORCL,ORACLE CORP,7024,285,982.02K,39.85K,+4.2%,0.53%
38141G104,GS,GOLDMAN SACHS GROUP INC,1574,59,859.86K,32.23K,+3.9%,0.46%
46641Q332,JEPI,J P MORGAN EXCHANGE TRADED F,9115,522,520.83K,29.83K,+6.1%,0.28%
79466L302,CRM,SALESFORCE INC,9964,100,2.67M,26.84K,+1%,1.4%
46090E103,QQQ,INVESCO QQQ TR,1740,30,816.08K,14.07K,+1.8%,0.44%
24703L202,DELL,DELL TECHNOLOGIES INC,4080,90,371.89K,8.2K,+2.3%,0.2%
78462F103,SPY,SPDR S&P 500 ETF TR,1502,13,840.24K,7.27K,+0.9%,0.45%
293792107,EPD,ENTERPRISE PRODS PARTNERS L,11036,173,376.77K,5.91K,+1.6%,0.2%
464287762,IYH,ISHARES TR,15980,89,973.01K,5.42K,+0.6%,0.52%
09247X101,BLK,BLACKROCK INC,2240,5,2.12M,4.73K,+0.2%,1.1%
464287515,IGV,ISHARES TR,14019,50,1.25M,4.45K,+0.4%,0.67%
46137V563,PEY,INVESCO EXCHANGE TRADED FD T,34489,80,740.47K,1.72K,+0.2%,0.4%
46137V357,RSP,INVESCO EXCHANGE TRADED FD T,1801,6,311.92K,1.04K,+0.3%,0.17%
464287598,IWD,ISHARES TR,3639,5,684.77K,940.88,+0.1%,0.37%
464287879,IJS,ISHARES TR,7287,9,710.33K,877.32,+0.1%,0.38%
921946406,VYM,VANGUARD WHITEHALL FDS,3827,6,493.56K,773.81,+0.2%,0.27%
464287887,IJT,ISHARES TR,11803,6,1.47M,746.98,+0.1%,0.79%
464288836,IHE,ISHARES TR,3430,9,242.01K,635.01,+0.3%,0.13%
33739P855,FPEI,FIRST TR EXCH TRADED FD III,12260,33,229.25K,617.08,+0.3%,0.12%
464287705,IJJ,ISHARES TR,10804,5,1.29M,598.64,+0%,0.7%
464287200,IVV,ISHARES TR,357,1,200.82K,562.51,+0.3%,0.11%
46138E362,SPHD,INVESCO EXCH TRADED FD TR II,4155,10,208.7K,502.28,+0.2%,0.11%
464287614,IWF,ISHARES TR,4813,1,1.74M,361.09,+0%,0.94%
464287788,IYF,ISHARES TR,16516,3,1.86M,338.56,+0%,1%
464287606,IJK,ISHARES TR,21160,4,1.76M,333.13,+0%,0.95%
464287556,IBB,ISHARES TR,4211,2,538.6K,255.81,+0%,0.29%
464287648,IWO,ISHARES TR,4408,1,1.13M,255.5,+0%,0.61%
464287473,IWS,ISHARES TR,2267,2,285.63K,251.99,+0.1%,0.15%
464289446,IWL,ISHARES TR,3156,1,433.7K,137.42,+0%,0.23%
33738R506,RDVY,FIRST TR EXCHANGE TRADED FD,4129,1,241.72K,58.54,+0%,0.13%
57636Q104,MA,MASTERCARD INCORPORATED,10510,0,5.76M,0,NO CHANGE,3.1%
22160K105,COST,COSTCO WHSL CORP NEW,3421,0,3.24M,0,NO CHANGE,1.7%
30303M102,META,META PLATFORMS INC,4449,0,2.56M,0,NO CHANGE,1.4%
11135F101,AVGO,BROADCOM INC,10240,0,1.71M,0,NO CHANGE,0.92%
00287Y109,ABBV,ABBVIE INC,6318,0,1.32M,0,NO CHANGE,0.71%
842587107,SO,SOUTHERN CO,11998,0,1.1M,0,NO CHANGE,0.59%
464287481,IWP,ISHARES TR,7993,0,939.16K,0,NO CHANGE,0.51%
02079K107,GOOG,ALPHABET INC,5620,0,878.01K,0,NO CHANGE,0.47%
464287655,IWM,ISHARES TR,4378,0,873.38K,0,NO CHANGE,0.47%
882508104,TXN,TEXAS INSTRS INC,4285,0,770.01K,0,NO CHANGE,0.41%
22788C105,CRWD,CROWDSTRIKE HLDGS INC,2171,0,765.45K,0,NO CHANGE,0.41%
17275R102,CSCO,CISCO SYS INC,12392,0,764.71K,0,NO CHANGE,0.41%
58933Y105,MRK,MERCK & CO INC,8472,0,760.45K,0,NO CHANGE,0.41%
025816109,AXP,AMERICAN EXPRESS CO,2706,0,728.05K,0,NO CHANGE,0.39%
N07059210,ASML,ASML HOLDING N V,1013,0,671.24K,0,NO CHANGE,0.36%
169656105,CMG,CHIPOTLE MEXICAN GRILL INC,12500,0,627.62K,0,NO CHANGE,0.34%
149123101,CAT,CATERPILLAR INC,1815,0,598.59K,0,NO CHANGE,0.32%
713448108,PEP,PEPSICO INC,3864,0,579.37K,0,NO CHANGE,0.31%
002824100,ABT,ABBOTT LABS,4184,0,555.01K,0,NO CHANGE,0.3%
78468R721,TFI,SPDR SER TR,11750,0,529.57K,0,NO CHANGE,0.29%
191216100,KO,COCA COLA CO,7293,0,522.33K,0,NO CHANGE,0.28%
366651107,IT,GARTNER INC,1170,0,491.1K,0,NO CHANGE,0.26%
03769M106,APO,APOLLO GLOBAL MGMT INC,3500,0,479.29K,0,NO CHANGE,0.26%
09857L108,BKNG,BOOKING HOLDINGS INC,101,0,465.3K,0,NO CHANGE,0.25%
907818108,UNP,UNION PAC CORP,1894,0,447.44K,0,NO CHANGE,0.24%
88579Y101,MMM,3M CO,3030,0,445.04K,0,NO CHANGE,0.24%
001055102,AFL,AFLAC INC,3675,0,408.62K,0,NO CHANGE,0.22%
874039100,TSM,TAIWAN SEMICONDUCTOR MFG LTD,2340,0,388.44K,0,NO CHANGE,0.21%
166764100,CVX,CHEVRON CORP NEW,2064,0,345.29K,0,NO CHANGE,0.19%
464287101,OEF,ISHARES TR,1210,0,327.7K,0,NO CHANGE,0.18%
617446448,MS,MORGAN STANLEY,2685,0,313.26K,0,NO CHANGE,0.17%
74144T108,TROW,PRICE T ROWE GROUP INC,3400,0,312.36K,0,NO CHANGE,0.17%
550021109,LULU,LULULEMON ATHLETICA INC,965,0,273.15K,0,NO CHANGE,0.15%
718172109,PM,PHILIP MORRIS INTL INC,1700,0,269.84K,0,NO CHANGE,0.15%
438128308,HMC,HONDA MOTOR LTD,1273,0,269.56K,0,NO CHANGE,0.15%
75513E101,RTX,RTX CORPORATION,2018,0,267.3K,0,NO CHANGE,0.14%
921943858,VEA,VANGUARD TAX-MANAGED FDS,5200,0,264.32K,0,NO CHANGE,0.14%
452308109,ITW,ILLINOIS TOOL WKS INC,1000,0,248.01K,0,NO CHANGE,0.13%
30231G102,XOM,EXXON MOBIL CORP,1935,0,230.13K,0,NO CHANGE,0.12%
824348106,SHW,SHERWIN WILLIAMS CO,615,0,214.75K,0,NO CHANGE,0.12%
053015103,ADP,AUTOMATIC DATA PROCESSING IN,2160,-1,659.95K,-305.53,-0%,0.36%
74348A467,NOBL,PROSHARES TR,3637,-10,371.58K,-1.02K,-0.3%,0.2%
92826C839,V,VISA INC,16604,-10,5.82M,-3.5K,-0.1%,3.1%
464287622,IWB,ISHARES TR,942,-12,288.84K,-3.68K,-1.3%,0.16%
040413106,ANET,ARISTA NETWORKS INC,10661,-75,826.01K,-5.81K,-0.7%,0.44%
189054109,CLX,CLOROX CO DEL,1830,-50,269.47K,-7.36K,-2.7%,0.15%
46429B663,HDV,ISHARES TR,14345,-64,1.74M,-7.75K,-0.4%,0.94%
464287507,IJH,ISHARES TR,28022,-140,1.64M,-8.17K,-0.5%,0.88%
464287671,IUSG,ISHARES TR,2807,-67,356.76K,-8.52K,-2.3%,0.19%
92189F486,FLTR,VANECK ETF TRUST,29965,-346,765.6K,-8.84K,-1.1%,0.41%
464287804,IJR,ISHARES TR,28935,-112,3.03M,-11.71K,-0.4%,1.6%
464289438,IWY,ISHARES TR,1344,-69,283.4K,-14.55K,-4.9%,0.15%
717081103,PFE,PFIZER INC,7955,-590,201.58K,-14.95K,-6.9%,0.11%
464287499,IWR,ISHARES TR,34996,-204,2.98M,-17.35K,-0.6%,1.6%
512807108,LRCX,LAM RESEARCH CORP,5403,-250,392.82K,-18.18K,-4.4%,0.21%
437076102,HD,HOME DEPOT INC,5964,-50,2.19M,-18.32K,-0.8%,1.2%
863667101,SYK,STRYKER CORPORATION,1970,-50,733.33K,-18.61K,-2.5%,0.4%
594918104,MSFT,MICROSOFT CORP,19231,-60,7.22M,-22.52K,-0.3%,3.9%
742718109,PG,PROCTER AND GAMBLE CO,3627,-136,618.11K,-23.18K,-3.6%,0.33%
037833100,AAPL,APPLE INC,39383,-105,8.75M,-23.32K,-0.3%,4.7%
539830109,LMT,LOCKHEED MARTIN CORP,3033,-55,1.35M,-24.57K,-1.8%,0.73%
45168D104,IDXX,IDEXX LABS INC,697,-75,292.7K,-31.5K,-9.7%,0.16%
464287549,IGM,ISHARES TR,53743,-350,4.87M,-31.73K,-0.6%,2.6%
98978V103,ZTS,ZOETIS INC,2668,-200,439.35K,-32.93K,-7%,0.24%
478160104,JNJ,JOHNSON & JOHNSON,7489,-225,1.24M,-37.31K,-2.9%,0.67%
464287630,IWN,ISHARES TR,3810,-250,575.19K,-37.74K,-6.2%,0.31%
02079K305,GOOGL,ALPHABET INC,18145,-255,2.81M,-39.43K,-1.4%,1.5%
049468101,TEAM,ATLASSIAN CORPORATION,5925,-195,1.26M,-41.38K,-3.2%,0.68%
023135106,AMZN,AMAZON COM INC,30368,-225,5.78M,-42.81K,-0.7%,3.1%
81762P102,NOW,SERVICENOW INC,4046,-55,3.22M,-43.79K,-1.3%,1.7%
46120E602,ISRG,INTUITIVE SURGICAL INC,9114,-95,4.51M,-47.05K,-1%,2.4%
031162100,AMGN,AMGEN INC,4015,-155,1.25M,-48.29K,-3.7%,0.67%
697435105,PANW,PALO ALTO NETWORKS INC,14487,-285,2.47M,-48.63K,-1.9%,1.3%
58733R102,MELI,MERCADOLIBRE INC,1001,-25,1.95M,-48.77K,-2.4%,1.1%
922475108,VEEV,VEEVA SYS INC,1124,-220,260.35K,-50.96K,-16.4%,0.14%
464287242,LQD,ISHARES TR,2622,-498,284.93K,-54.12K,-16%,0.15%
880770102,TER,TERADYNE INC,3926,-675,324.32K,-55.76K,-14.7%,0.17%
91324P102,UNH,UNITEDHEALTH GROUP INC,579,-109,303.25K,-57.09K,-15.8%,0.16%
G1151C101,ACN,ACCENTURE PLC IRELAND,692,-240,215.93K,-74.89K,-25.8%,0.12%
883556102,TMO,THERMO FISHER SCIENTIFIC INC,3708,-165,1.85M,-82.11K,-4.3%,0.99%
427866108,HSY,HERSHEY CO,1571,-501,268.66K,-85.68K,-24.2%,0.14%
46138G870,VRP,INVESCO EXCH TRADED FD TR II,18164,-3556,440.29K,-86.2K,-16.4%,0.24%
532457108,LLY,ELI LILLY & CO,7425,-125,6.13M,-103.24K,-1.7%,3.3%
98138H101,WDAY,WORKDAY INC,2575,-700,601.34K,-163.47K,-21.4%,0.32%
60937P106,MDB,MONGODB INC,2572,-1005,451.13K,-176.28K,-28.1%,0.24%
00724F101,ADBE,ADOBE INC,4225,-478,1.62M,-183.33K,-10.2%,0.87%
78464A284,HYMB,SPDR SER TR,20825,-8000,525.21K,-201.76K,-27.8%,0.28%
49338L103,KEYS,KEYSIGHT TECHNOLOGIES INC,0,-1275,0,-204.8K,CLOSE,0%
461202103,INTU,INTUIT,0,-327,0,-205.52K,CLOSE,0%
67066G104,NVDA,NVIDIA CORPORATION,297262,-3010,32.22M,-326.22K,-1%,17.4%
Total,,,,,185.64M,-1.5M,-0.7%,100%
