CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
876511106,TGB,TASEKO MINES LTD,2054081,2054081,4.6M,4.6M,NEW,3.6%
02079K107,GOOG,ALPHABET INC,25421,25421,3.97M,3.97M,NEW,3.1%
595017104,MCHP,MICROCHIP TECHNOLOGY INC.,62192,62192,3.01M,3.01M,NEW,2.3%
464287432,TLT,ISHARES TR,63000,31500,5.73M,2.87M,+100%,4.4%
922908363,VOO,VANGUARD INDEX FDS,5331,5331,2.74M,2.74M,NEW,2.1%
30303M102,META,META PLATFORMS INC,4732,4732,2.73M,2.73M,NEW,2.1%
46090E103,QQQ,INVESCO QQQ TR,5661,5661,2.65M,2.65M,NEW,2.1%
G0772R208,NTB,BANK OF NT BUTTERFIELD&SON L,57031,57031,2.22M,2.22M,NEW,1.7%
57667L107,MTCH,MATCH GROUP INC NEW,67244,67244,2.1M,2.1M,NEW,1.6%
464286400,EWZ,ISHARES INC,80217,80217,2.07M,2.07M,NEW,1.6%
443628102,HBM,HUDBAY MINERALS INC,266586,266586,2.02M,2.02M,NEW,1.6%
78463X202,FEZ,SPDR INDEX SHS FDS,37139,37139,2.02M,2.02M,NEW,1.6%
718172109,PM,PHILIP MORRIS INTL INC,38444,12000,6.1M,1.9M,+45.4%,4.7%
G9460G101,VAL,VALARIS LTD,65820,41410,2.58M,1.63M,+169.6%,2%
88642R109,TDW,TIDEWATER INC NEW,58459,34000,2.47M,1.44M,+139%,1.9%
48581R205,KSPI,KASPI KZ JSC,14832,14832,1.38M,1.38M,NEW,1.1%
79466L302,CRM,SALESFORCE INC,5118,5118,1.37M,1.37M,NEW,1.1%
88033G407,THC,TENET HEALTHCARE CORP,68289,9922,9.18M,1.33M,+17%,7.1%
22266M104,COUR,COURSERA INC,198564,198564,1.32M,1.32M,NEW,1%
539830109,LMT,LOCKHEED MARTIN CORP,1485,1485,663.36K,663.36K,NEW,0.51%
012653101,ALB,ALBEMARLE CORP,7270,7270,523.59K,523.59K,NEW,0.4%
878742204,TECK,TECK RESOURCES LTD,26000,13000,947.18K,473.59K,+100%,0.73%
85207K107,PSLV,SPROTT PHYSICAL SILVER TR,240680,40000,2.79M,464K,+19.9%,2.2%
464286715,TUR,ISHARES INC,9188,9188,301.55K,301.55K,NEW,0.23%
68634K106,ORLA,ORLA MNG LTD NEW,18420,18420,172.23K,172.23K,NEW,0.13%
G9503X103,WALD,WALDENCAST PLC,210069,16124,630.21K,48.37K,+8.3%,0.49%
63001N106,NATL,NCR ATLEOS CORPORATION,387101,0,10.21M,0,NO CHANGE,7.9%
G69451105,PAX,PATRIA INVESTMENTS LIMITED,776585,0,8.77M,0,NO CHANGE,6.8%
29273V100,ET,ENERGY TRANSFER L P,428146,0,7.96M,0,NO CHANGE,6.1%
008474108,AEM,AGNICO EAGLE MINES LTD,61915,0,6.71M,0,NO CHANGE,5.2%
31946M103,FCNCA,FIRST CTZNS BANCSHARES INC N,1548,0,2.87M,0,NO CHANGE,2.2%
852066208,SII,SPROTT INC,38510,0,1.73M,0,NO CHANGE,1.3%
Y41053102,INSW,INTERNATIONAL SEAWAYS INC,22500,0,747K,0,NO CHANGE,0.58%
04010L103,ARCC,ARES CAPITAL CORP,24366,0,539.95K,0,NO CHANGE,0.42%
Y2065G121,DHT,DHT HOLDINGS INC,48260,0,506.73K,0,NO CHANGE,0.39%
67074C103,NBB,NUVEEN TAXABLE MUNICPAL INM,31270,0,500.94K,0,NO CHANGE,0.39%
93627C101,HCC,WARRIOR MET COAL INC,1007,0,48.05K,0,NO CHANGE,0.04%
165167735,EXE,CHESAPEAKE ENERGY CORP,87,0,9.69K,0,NO CHANGE,<.01%
38071H122,GROYWS,GOLD ROYALTY CORP,319127,-82073,79.78K,-20.52K,-20.5%,0.06%
00760J108,AEHR,AEHR TEST SYS,0,-18562,0,-308.69K,CLOSE,0%
62886E108,VYX,NCR CORP NEW,0,-37736,0,-522.27K,CLOSE,0%
44955L106,IAUX,I-80 GOLD CORP,239160,-977900,139.14K,-568.94K,-80.3%,0.11%
64107A105,NPWR,NET POWER INC,0,-55118,0,-583.7K,CLOSE,0%
68828E809,ODV,OSISKO DEVELOPMENT CORP,0,-579043,0,-943.84K,CLOSE,0%
85207H104,PHYS,SPROTT PHYSICAL GOLD TR,295959,-47048,7.12M,-1.13M,-13.7%,5.5%
60937P106,MDB,MONGODB INC,10553,-8072,1.85M,-1.42M,-43.3%,1.4%
011532108,AGI,ALAMOS GOLD INC NEW,245598,-61100,6.57M,-1.63M,-19.9%,5.1%
00181T107,GOLD,A-MARK PRECIOUS METALS INC,17163,-72000,435.43K,-1.83M,-80.8%,0.34%
23804L103,DDOG,DATADOG INC,0,-19095,0,-2.73M,CLOSE,0%
833445109,SNOW,SNOWFLAKE INC,10090,-19310,1.47M,-2.82M,-65.7%,1.1%
302301106,EZPW,EZCORP INC,0,-258099,0,-3.15M,CLOSE,0%
644535106,NGD,NEW GOLD INC CDA,606840,-1002500,2.25M,-3.72M,-62.3%,1.7%
91912E105,VALE,VALE S A,0,-429550,0,-3.81M,CLOSE,0%
594918104,MSFT,MICROSOFT CORP,7051,-13026,2.65M,-4.89M,-64.9%,2%
Total,,,,,129.49M,15.95M,+14.4%,100%
