CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
03769M106,APO,Apollo Global Management Inc,623495,336498,85.38M,46.08M,+117.2%,6.9%
526057104,LEN,Lennar Corp,342711,342711,39.34M,39.34M,NEW,3.2%
67066G104,NVDA,NVIDIA Corp,1441032,347413,156.18M,37.65M,+31.8%,12.6%
57636Q104,MA,Mastercard Inc,52364,52364,28.7M,28.7M,NEW,2.3%
601137102,MRP,Millrose Properties Inc,589986,589986,15.64M,15.64M,NEW,1.3%
92537N108,VRT,Vertiv Holdings Co,732118,165172,52.86M,11.93M,+29.1%,4.3%
808513105,SCHW,Charles Schwab Corp/The,333681,109957,26.12M,8.61M,+49.1%,2.1%
30303M102,META,Meta Platforms Inc,90334,14657,52.06M,8.45M,+19.4%,4.2%
68389X105,ORCL,Oracle Corp,398728,59929,55.75M,8.38M,+17.7%,4.5%
718172109,PM,Philip Morris International In,479695,25540,76.14M,4.05M,+5.6%,6.2%
093671105,HRB,H&R Block Inc,560907,71217,30.8M,3.91M,+14.5%,2.5%
235851102,DHR,Danaher Corp,346246,16500,70.98M,3.38M,+5%,5.7%
91324P102,UNH,UnitedHealth Group Inc,77152,1000,40.41M,523.75K,+1.3%,3.3%
03990B101,ARES,Ares Management Corp,227151,-1500,33.3M,-219.91K,-0.7%,2.7%
G3643J108,FLUT,Flutter Entertainment PLC,295450,-10711,65.46M,-2.37M,-3.5%,5.3%
771049103,RBLX,ROBLOX Corp,583233,-185581,34M,-10.82M,-24.1%,2.8%
11135F101,AVGO,Broadcom Inc,619209,-65371,103.67M,-10.95M,-9.5%,8.4%
512807306,LRCX,Lam Research Corp,1844035,-216910,134.06M,-15.77M,-10.5%,10.9%
594918104,MSFT,Microsoft Corp,21493,-45850,8.07M,-17.21M,-68.1%,0.65%
874039100,TSM,Taiwan Semiconductor Manufactu,469033,-171928,77.86M,-28.54M,-26.8%,6.3%
92826C839,V,Visa Inc,138097,-85011,48.4M,-29.79M,-38.1%,3.9%
038222105,AMAT,Applied Materials Inc,0,-482211,0,-78.42M,CLOSE,0%
Total,,,,,1.24B,22.55M,+1.7%,100%
