CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
874039100,TSM,TAIWAN SEMICONDUCTOR MFG LTD,16669,16669,2.77M,2.77M,NEW,2.2%
11135F101,AVGO,BROADCOM INC,31419,7382,5.26M,1.24M,+30.7%,4.1%
90353T100,UBER,UBER TECHNOLOGIES INC,15570,15570,1.13M,1.13M,NEW,0.89%
512807306,LRCX,LAM RESEARCH CORP,6550,6550,476.19K,476.19K,NEW,0.37%
22788C105,CRWD,CROWDSTRIKE HLDGS INC,3823,1073,1.35M,378.32K,+39%,1.1%
30303M102,META,META PLATFORMS INC,19337,482,11.14M,277.8K,+2.6%,8.7%
369604301,GE,GE AEROSPACE,1279,1279,255.99K,255.99K,NEW,0.2%
433000106,HIMS,HIMS & HERS HEALTH INC,7150,7150,211.28K,211.28K,NEW,0.17%
69608A108,PLTR,PALANTIR TECHNOLOGIES INC,156486,1816,13.21M,153.27K,+1.2%,10.4%
85208M102,SFM,SPROUTS FMRS MKT INC,4220,400,644.14K,61.06K,+10.5%,0.51%
573874104,MRVL,MARVELL TECHNOLOGY INC,6490,730,399.59K,44.95K,+12.7%,0.31%
64110L106,NFLX,NETFLIX INC,2935,20,2.74M,18.65K,+0.7%,2.1%
83406F102,SOFI,SOFI TECHNOLOGIES INC,15580,1490,181.19K,17.33K,+10.6%,0.14%
836100107,SOUN,SOUNDHOUND AI INC,25300,2000,205.44K,16.24K,+8.6%,0.16%
87265H109,TPH,TRI POINTE HOMES INC,11600,0,370.27K,0,NO CHANGE,0.29%
03073E105,COR,CENCORA INC,1314,0,365.41K,0,NO CHANGE,0.29%
22160K105,COST,COSTCO WHSL CORP NEW,316,0,298.87K,0,NO CHANGE,0.23%
91324P102,UNH,UNITEDHEALTH GROUP INC,520,0,272.35K,0,NO CHANGE,0.21%
69331C108,PCG,PG&E CORP,12216,0,209.87K,0,NO CHANGE,0.16%
609839105,MPWR,MONOLITHIC PWR SYS INC,533,-20,309.13K,-11.6K,-3.6%,0.24%
697435105,PANW,PALO ALTO NETWORKS INC,52292,-142,8.92M,-24.23K,-0.3%,7%
007903107,AMD,ADVANCED MICRO DEVICES INC,7326,-397,752.67K,-40.79K,-5.1%,0.59%
038222105,AMAT,APPLIED MATLS INC,5900,-1008,856.21K,-146.28K,-14.6%,0.67%
023135106,AMZN,AMAZON COM INC,51711,-1005,9.84M,-191.21K,-1.9%,7.7%
883556102,TMO,THERMO FISHER SCIENTIFIC INC,543,-449,270.2K,-223.42K,-45.3%,0.21%
92826C839,V,VISA INC,1250,-645,438.07K,-226.05K,-34%,0.34%
00724F101,ADBE,ADOBE INC,1962,-608,752.49K,-233.19K,-23.7%,0.59%
871607107,SNPS,SYNOPSYS INC,798,-617,342.22K,-264.6K,-43.6%,0.27%
88160R101,TSLA,TESLA INC,27821,-1598,7.21M,-414.14K,-5.4%,5.7%
594918104,MSFT,MICROSOFT CORP,3946,-1300,1.48M,-487.99K,-24.8%,1.2%
02079K305,GOOGL,ALPHABET INC,15227,-3333,2.35M,-515.41K,-18%,1.8%
57636Q104,MA,MASTERCARD INCORPORATED,848,-1141,464.81K,-625.41K,-57.4%,0.36%
67066G104,NVDA,NVIDIA CORPORATION,449322,-6176,48.7M,-669.35K,-1.4%,38.2%
037833100,AAPL,APPLE INC,10872,-4579,2.41M,-1.02M,-29.6%,1.9%
74762E102,PWR,QUANTA SVCS INC,3511,-5651,892.43K,-1.44M,-61.7%,0.7%
Total,,,,,127.49M,521.35K,+0.4%,100%
