CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
458140100,INTC,INTEL CORP,3613683,3613683,82.07M,82.07M,NEW,12.5%
30303M102,META,META PLATFORMS INC,108495,108495,62.53M,62.53M,NEW,9.5%
67066G104,NVDA,NVIDIA CORPORATION,1307000,513696,141.65M,55.67M,+64.8%,21.6%
88023B103,TEM,TEMPUS AI INC,707279,707279,34.12M,34.12M,NEW,5.2%
88160R101,TSLA,TESLA INC,118600,118590,30.74M,30.73M,+1185900%,4.7%
15101Q207,CLS,CELESTICA INC,382640,382640,30.16M,30.16M,NEW,4.6%
433000106,HIMS,HIMS & HERS HEALTH INC,696441,696441,20.58M,20.58M,NEW,3.1%
833445109,SNOW,SNOWFLAKE INC,188726,139318,27.58M,20.36M,+282%,4.2%
770700102,HOOD,ROBINHOOD MKTS INC,431339,431339,17.95M,17.95M,NEW,2.7%
67079K100,SMR,NUSCALE PWR CORP,1007814,1007814,14.27M,14.27M,NEW,2.2%
02156V109,OKLO,OKLO INC,539706,539706,11.67M,11.67M,NEW,1.8%
946784105,WAY,WAYSTAR HLDG CORP,279540,279540,10.44M,10.44M,NEW,1.6%
219350105,GLW,CORNING INC,147116,147116,6.73M,6.73M,NEW,1%
595112103,MU,MICRON TECHNOLOGY INC,72800,72800,6.33M,6.33M,NEW,0.96%
21873S108,CRWV,COREWEAVE INC,153646,153646,5.7M,5.7M,NEW,0.87%
90138F102,TWLO,TWILIO INC,55477,55477,5.43M,5.43M,NEW,0.83%
80004C200,SNDK,SANDISK CORP,114000,114000,5.43M,5.43M,NEW,0.83%
679295105,OKTA,OKTA INC,42698,42698,4.49M,4.49M,NEW,0.69%
69608A108,PLTR,PALANTIR TECHNOLOGIES INC,46910,46910,3.96M,3.96M,NEW,0.6%
256163106,DOCU,DOCUSIGN INC,46117,46117,3.75M,3.75M,NEW,0.57%
781154109,RBRK,RUBRIK INC.,60202,60202,3.67M,3.67M,NEW,0.56%
22788C105,CRWD,CROWDSTRIKE HLDGS INC,9289,9289,3.28M,3.28M,NEW,0.5%
528877103,LX,LEXINFINTECH HLDGS LTD,298876,298876,3.02M,3.02M,NEW,0.46%
87918A105,TDOC,TELADOC HEALTH INC,306943,306943,2.44M,2.44M,NEW,0.37%
80810D103,SDGR,SCHRODINGER INC,61000,61000,1.2M,1.2M,NEW,0.18%
01609W102,BABA,ALIBABA GROUP HLDG LTD,10,10,1.32K,1.32K,NEW,<.01%
00851L103,API,AGORA INC,2995000,0,12.04M,0,NO CHANGE,1.8%
15643U104,LEU,CENTRUS ENERGY CORP,386110,-10892,24.02M,-677.59K,-2.7%,3.7%
82982T106,SITM,SITIME CORP,0,-5537,0,-1.19M,CLOSE,0%
03823U102,AAOI,APPLIED OPTOELECTRONICS INC,275868,-87096,4.23M,-1.34M,-24%,0.65%
N97284108,NBIS,NEBIUS GROUP N.V.,0,-73927,0,-2.05M,CLOSE,0%
92537N108,VRT,VERTIV HOLDINGS CO,0,-25210,0,-2.86M,CLOSE,0%
916896103,UEC,URANIUM ENERGY CORP,0,-590010,0,-3.95M,CLOSE,0%
92840M102,VST,VISTRA CORP,0,-33511,0,-4.62M,CLOSE,0%
55024U109,LITE,LUMENTUM HLDGS INC,0,-68015,0,-5.71M,CLOSE,0%
M7S64H106,MNDY,MONDAY COM LTD,0,-25553,0,-6.02M,CLOSE,0%
36828A101,GEV,GE VERNOVA INC,0,-19817,0,-6.52M,CLOSE,0%
G6331P104,AOSL,ALPHA & OMEGA SEMICONDUCTOR,0,-216411,0,-8.01M,CLOSE,0%
G25457105,CRDO,CREDO TECHNOLOGY GROUP HOLDI,115940,-249234,4.66M,-10.01M,-68.3%,0.71%
037833100,AAPL,APPLE INC,52443,-46775,11.65M,-10.39M,-47.1%,1.8%
91332U101,U,UNITY SOFTWARE INC,0,-489010,0,-10.99M,CLOSE,0%
171779309,CIEN,CIENA CORP,0,-162390,0,-13.77M,CLOSE,0%
G20048100,BTDR,BITDEER TECHNOLOGIES GROUP,0,-665351,0,-14.42M,CLOSE,0%
594918104,MSFT,MICROSOFT CORP,0,-56010,0,-23.61M,CLOSE,0%
19260Q107,COIN,COINBASE GLOBAL INC,0,-97633,0,-24.24M,CLOSE,0%
11135F101,AVGO,BROADCOM INC,0,-116319,0,-26.97M,CLOSE,0%
023135106,AMZN,AMAZON COM INC,314452,-185794,59.83M,-35.35M,-37.1%,9.1%
Total,,,,,655.63M,233.31M,+48.6%,100%
