CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
82509L107,SHOP,SHOPIFY INC,34654,34654,3.31M,3.31M,NEW,0.6%
22788C105,CRWD,CROWDSTRIKE HLDGS INC,6007,6007,2.12M,2.12M,NEW,0.39%
23804L103,DDOG,DATADOG INC,55571,17212,5.51M,1.71M,+44.9%,1%
852234103,XYZ,BLOCK INC,107210,20350,5.82M,1.11M,+23.4%,1.1%
M7S64H106,MNDY,MONDAY COM LTD,49954,1881,12.15M,457.38K,+3.9%,2.2%
26603R106,DUOL,DUOLINGO INC,18340,1028,5.7M,319.24K,+5.9%,1%
874039100,TSM,TAIWAN SEMICONDUCTOR MFG LTD,2026277,0,336.36M,0,NO CHANGE,61.4%
67066G104,NVDA,NVIDIA CORPORATION,1438022,0,155.85M,0,NO CHANGE,28.4%
617700109,MORN,MORNINGSTAR INC,4100,0,1.23M,0,NO CHANGE,0.22%
58506Q109,MEDP,MEDPACE HLDS INC,3700,0,1.13M,0,NO CHANGE,0.21%
833445109,SNOW,SNOWFLAKE INC,34968,-727,5.11M,-106.26K,-2%,0.93%
74275K108,PCOR,PROCORE TECHNOLOGIES INC,84041,-2780,5.55M,-183.54K,-3.2%,1%
18915M107,NET,CLOUDFLARE INC,22157,-9573,2.5M,-1.08M,-30.2%,0.46%
12510Q100,CCC,CCC INTELLIGENT SOLUTIONS HL,0,-110700,0,-1.3M,CLOSE,0%
L8681T102,SPOT,SPOTIFY TECHNOLOGY S A,10137,-4185,5.58M,-2.3M,-29.2%,1%
30303M102,META,META PLATFORMS INC,0,-10000,0,-5.86M,CLOSE,0%
023135106,AMZN,AMAZON COM INC,0,-40000,0,-8.78M,CLOSE,0%
Total,,,,,547.91M,-10.58M,-1.6%,100%
