CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
770700102,HOOD,ROBINHOOD MKTS INC,39600,39600,1.65M,1.65M,NEW,5.4%
42809H107,HES,HESS CORP,2161,2161,345.18K,345.18K,NEW,1.1%
29530P102,ERIE,ERIE INDTY CO,744,744,311.77K,311.77K,NEW,1%
651639106,NEM,NEWMONT CORP,6453,6453,311.55K,311.55K,NEW,1%
60741F104,MBLY,MOBILEYE GLOBAL INC,20870,20870,300.42K,300.42K,NEW,0.99%
90353T100,UBER,UBER TECHNOLOGIES INC,4090,4090,298K,298K,NEW,0.99%
G9460G101,VAL,VALARIS LTD,7425,7425,291.51K,291.51K,NEW,0.96%
609207105,MDLZ,MONDELEZ INTL INC,4295,4295,291.42K,291.42K,NEW,0.96%
390607109,GLDD,GREAT LAKES DREDGE & DOCK CO,30941,30941,269.19K,269.19K,NEW,0.89%
29605J106,ESAB,ESAB CORPORATION,2201,2201,256.42K,256.42K,NEW,0.85%
83417M104,SEDG,SOLAREDGE TECHNOLOGIES INC,15657,15657,253.33K,253.33K,NEW,0.84%
56585A102,MPC,MARATHON PETE CORP,1719,1719,250.44K,250.44K,NEW,0.83%
69753M105,PLMR,PALOMAR HLDGS INC,1794,1794,245.92K,245.92K,NEW,0.81%
615369105,MCO,MOODYS CORP,523,523,243.56K,243.56K,NEW,0.81%
931427108,WBA,WALGREENS BOOTS ALLIANCE INC,37903,21637,423.38K,241.69K,+133%,1.4%
M2682V108,CYBR,CYBERARK SOFTWARE LTD,711,711,240.32K,240.32K,NEW,0.79%
740367404,PFBC,PREFERRED BK LOS ANGELES CA,2842,2842,237.76K,237.76K,NEW,0.79%
209115104,ED,CONSOLIDATED EDISON INC,2113,2113,233.68K,233.68K,NEW,0.77%
833445109,SNOW,SNOWFLAKE INC,1597,1597,233.42K,233.42K,NEW,0.77%
377322102,GKOS,GLAUKOS CORP,2325,2325,228.83K,228.83K,NEW,0.76%
79466L302,CRM,SALESFORCE INC,845,845,226.76K,226.76K,NEW,0.75%
