CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
464287804,IJR,ISHARES TR,45130,45130,4.6M,4.6M,NEW,5.6%
81369Y803,XLK,SELECT SECTOR SPDR TR,16963,16963,3.5M,3.5M,NEW,4.3%
038222105,AMAT,APPLIED MATLS INC,21681,21681,3.15M,3.15M,NEW,3.8%
464287507,IJH,ISHARES TR,44655,44655,2.61M,2.61M,NEW,3.2%
464287200,IVV,ISHARES TR,4155,4155,2.33M,2.33M,NEW,2.8%
11135F101,AVGO,BROADCOM INC,12800,12800,2.14M,2.14M,NEW,2.6%
594918104,MSFT,MICROSOFT CORP,4880,4880,1.83M,1.83M,NEW,2.2%
126408103,CSX,CSX CORP,51323,51323,1.51M,1.51M,NEW,1.8%
969904101,WSM,WILLIAMS SONOMA INC,9000,9000,1.42M,1.42M,NEW,1.7%
031162100,AMGN,AMGEN INC,4558,4558,1.42M,1.42M,NEW,1.7%
81369Y407,XLY,SELECT SECTOR SPDR TR,6798,6798,1.34M,1.34M,NEW,1.6%
G51502105,JCI,JOHNSON CTLS INTL PLC,14945,14945,1.2M,1.2M,NEW,1.5%
81369Y209,XLV,SELECT SECTOR SPDR TR,7842,7842,1.15M,1.15M,NEW,1.4%
464287150,ITOT,ISHARES TR,9230,9230,1.13M,1.13M,NEW,1.4%
487836108,K,KELLANOVA,13155,13155,1.09M,1.09M,NEW,1.3%
81369Y605,XLF,SELECT SECTOR SPDR TR,20904,20904,1.04M,1.04M,NEW,1.3%
00287Y109,ABBV,ABBVIE INC,4572,4572,957.91K,957.91K,NEW,1.2%
59156R108,MET,METLIFE INC,11407,11407,915.87K,915.87K,NEW,1.1%
872540109,TJX,TJX COS INC NEW,7352,7352,895.47K,895.47K,NEW,1.1%
81369Y308,XLP,SELECT SECTOR SPDR TR,10772,10772,879.76K,879.76K,NEW,1.1%
532457108,LLY,ELI LILLY & CO,1015,1015,837.93K,837.93K,NEW,1%
742718109,PG,PROCTER AND GAMBLE CO,4910,4910,836.76K,836.76K,NEW,1%
882508104,TXN,TEXAS INSTRS INC,4610,4610,828.42K,828.42K,NEW,1%
025816109,AXP,AMERICAN EXPRESS CO,3075,3075,827.33K,827.33K,NEW,1%
58933Y105,MRK,MERCK & CO INC,9153,9153,821.56K,821.56K,NEW,1%
478160104,JNJ,JOHNSON & JOHNSON,4935,4935,818.42K,818.42K,NEW,1%
231021106,CMI,CUMMINS INC,2575,2575,807.11K,807.11K,NEW,0.98%
855244109,SBUX,STARBUCKS CORP,8170,8170,801.39K,801.39K,NEW,0.98%
126650100,CVS,CVS HEALTH CORP,11560,11560,783.19K,783.19K,NEW,0.95%
548661107,LOW,LOWES COS INC,3275,3275,763.83K,763.83K,NEW,0.93%
459200101,IBM,INTERNATIONAL BUSINESS MACHS,2971,2971,738.77K,738.77K,NEW,0.9%
717081103,PFE,PFIZER INC,28245,28245,715.73K,715.73K,NEW,0.87%
744320102,PRU,PRUDENTIAL FINL INC,6140,6140,685.72K,685.72K,NEW,0.84%
002824100,ABT,ABBOTT LABS,5135,5135,681.16K,681.16K,NEW,0.83%
81369Y506,XLE,SELECT SECTOR SPDR TR,7115,7115,664.89K,664.89K,NEW,0.81%
713448108,PEP,PEPSICO INC,4277,4277,641.25K,641.25K,NEW,0.78%
219350105,GLW,CORNING INC,13900,13900,636.34K,636.34K,NEW,0.78%
032654105,ADI,ANALOG DEVICES INC,3024,3024,609.85K,609.85K,NEW,0.74%
291011104,EMR,EMERSON ELEC CO,5443,5443,596.77K,596.77K,NEW,0.73%
375558103,GILD,GILEAD SCIENCES INC,5080,5080,569.21K,569.21K,NEW,0.69%
H1467J104,CB,CHUBB LIMITED,1865,1865,563.21K,563.21K,NEW,0.69%
001055102,AFL,AFLAC INC,5028,5028,559.06K,559.06K,NEW,0.68%
G3223R108,EG,EVEREST GROUP LTD,1601,1601,549.48K,549.48K,NEW,0.67%
032095101,APH,AMPHENOL CORP NEW,8336,8336,546.76K,546.76K,NEW,0.67%
962166104,WY,WEYERHAEUSER CO MTN BE,18400,18400,538.75K,538.75K,NEW,0.66%
871829107,SYY,SYSCO CORP,7130,7130,535.03K,535.03K,NEW,0.65%
