CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
531229755,FWONK,LIBERTY MEDIA CORP DEL,3490000,2933000,314.13M,264M,+526.6%,9.1%
294429105,EFX,EQUIFAX INC,1000000,1000000,243.56M,243.56M,NEW,7.1%
808513105,SCHW,SCHWAB CHARLES CORP,2250000,2250000,176.13M,176.13M,NEW,5.1%
531229771,FWONA,LIBERTY MEDIA CORP DEL,625000,551164,50.92M,44.9M,+746.5%,1.5%
934550203,WMG,WARNER MUSIC GROUP CORP,7000000,1000000,219.45M,31.35M,+16.7%,6.4%
650111107,NYT,NEW YORK TIMES CO,6250000,500000,310M,24.8M,+8.7%,9%
278768106,SATS,ECHOSTAR CORP,7758328,758328,198.46M,19.4M,+10.8%,5.8%
40412C101,HCA,HCA HEALTHCARE INC,1250000,25000,431.94M,8.64M,+2%,12.6%
40171V100,GWRE,GUIDEWIRE SOFTWARE INC,2300000,0,430.93M,0,NO CHANGE,12.5%
88023U101,SGI,SOMNIGROUP INTERNATIONAL INC,7000000,0,419.16M,0,NO CHANGE,12.2%
893641100,TDG,TRANSDIGM GROUP INC,200000,0,276.66M,0,NO CHANGE,8%
83601L102,SHC,SOTERA HEALTH CO,20010000,0,233.32M,0,NO CHANGE,6.8%
N00985106,AER,AERCAP HOLDINGS NV,1000000,0,102.17M,0,NO CHANGE,3%
43300A203,HLT,HILTON WORLDWIDE HLDGS INC,150000,-850000,34.13M,-193.42M,-85%,0.99%
21036P108,STZ,CONSTELLATION BRANDS INC,0,-1250000,0,-276.25M,CLOSE,0%
02079K305,GOOGL,ALPHABET INC,0,-1500000,0,-283.95M,CLOSE,0%
Total,,,,,3.44B,59.16M,+1.8%,100%
