CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
084670108,BRK.A,BERKSHIRE HATHAWAY INC DEL,4,4,3.19M,3.19M,NEW,0.09%
771049103,RBLX,ROBLOX CORP,106461,40758,6.21M,2.38M,+62%,0.18%
464287200,IVV,ISHARES TR,6411,1056,3.6M,593.36K,+19.7%,0.1%
244199105,DE,DEERE & CO,1029,1029,483.13K,483.13K,NEW,0.01%
464288612,GVI,ISHARES TR,6893,3315,730.8K,351.46K,+92.6%,0.02%
46432F859,ISTB,ISHARES TR,15083,7258,729.26K,350.92K,+92.8%,0.02%
464288240,ACWX,ISHARES TR,14005,5861,776.58K,324.99K,+72%,0.02%
464287507,IJH,ISHARES TR,27839,4046,1.62M,236.08K,+17%,0.05%
92826C839,V,VISA INC,625,625,219.21K,219.21K,NEW,<.01%
020002101,ALL,ALLSTATE CORP,1002,1002,207.44K,207.44K,NEW,<.01%
855244109,SBUX,STARBUCKS CORP,2075,2075,203.52K,203.52K,NEW,<.01%
464287804,IJR,ISHARES TR,8413,1494,879.71K,156.22K,+21.6%,0.03%
084670702,BRK.B,BERKSHIRE HATHAWAY INC DEL,1316,94,700.88K,50.06K,+7.7%,0.02%
46432F339,QUAL,ISHARES TR,1871,285,319.71K,48.7K,+18%,<.01%
464287234,EEM,ISHARES TR,12434,547,543.37K,23.9K,+4.6%,0.02%
464287150,ITOT,ISHARES TR,59097,173,7.21M,21.11K,+0.3%,0.21%
46434G822,EWJ,ISHARES INC,4196,270,287.68K,18.51K,+6.9%,<.01%
464287465,EFA,ISHARES TR,9140,112,747.03K,9.15K,+1.2%,0.02%
84265V105,SCCO,SOUTHERN COPPER CORP,10296,74,962.26K,6.92K,+0.7%,0.03%
922908769,VTI,VANGUARD INDEX FDS,2703,1,742.96K,274.86,+0%,0.02%
363576109,AJG,GALLAGHER ARTHUR J & CO,16030,0,5.53M,0,NO CHANGE,0.16%
922042742,VT,VANGUARD INTL EQUITY INDEX F,43400,0,5.03M,0,NO CHANGE,0.15%
931142103,WMT,WALMART INC,40000,0,3.51M,0,NO CHANGE,0.1%
808524722,SCHK,SCHWAB STRATEGIC TR,120288,0,3.24M,0,NO CHANGE,0.09%
697435105,PANW,PALO ALTO NETWORKS INC,15232,0,2.6M,0,NO CHANGE,0.08%
46432F834,IXUS,ISHARES TR,24122,0,1.68M,0,NO CHANGE,0.05%
609207105,MDLZ,MONDELEZ INTL INC,21237,0,1.44M,0,NO CHANGE,0.04%
023135106,AMZN,AMAZON COM INC,5960,0,1.13M,0,NO CHANGE,0.03%
922908629,VO,VANGUARD INDEX FDS,3987,0,1.03M,0,NO CHANGE,0.03%
679295105,OKTA,OKTA INC,8775,0,923.31K,0,NO CHANGE,0.03%
922908751,VB,VANGUARD INDEX FDS,1571,0,348.37K,0,NO CHANGE,0.01%
09260D107,BX,BLACKSTONE INC,1659,0,231.9K,0,NO CHANGE,<.01%
464288273,SCZ,ISHARES TR,10195,-20,647.69K,-1.27K,-0.2%,0.02%
808524771,FNDX,SCHWAB STRATEGIC TR,22082,-2432,521.35K,-57.42K,-9.9%,0.02%
037833100,AAPL,APPLE INC,7671,-502,1.7M,-111.51K,-6.1%,0.05%
98138H101,WDAY,WORKDAY INC,12319,-669,2.88M,-156.23K,-5.2%,0.08%
30303M102,META,META PLATFORMS INC,5309,-349,3.06M,-201.16K,-6.2%,0.09%
33733E104,FTCS,FIRST TR EXCHANGE-TRADED FD,0,-2763,0,-242.65K,CLOSE,0%
88339J105,TTD,THE TRADE DESK INC,0,-2270,0,-266.79K,CLOSE,0%
22788C105,CRWD,CROWDSTRIKE HLDGS INC,0,-890,0,-304.52K,CLOSE,0%
46429B655,FLOT,ISHARES TR,13815,-14629,705.28K,-746.83K,-51.4%,0.02%
78468R523,BILS,SPDR SER TR,15683,-8556,1.56M,-851.23K,-35.3%,0.05%
580135101,MCD,MCDONALDS CORP,0,-5025,0,-1.46M,CLOSE,0%
88160R101,TSLA,TESLA INC,0,-7787,0,-3.14M,CLOSE,0%
67066G104,NVDA,NVIDIA CORPORATION,31302725,-928865,3.39B,-100.67M,-2.9%,98%
Total,,,,,3.46B,-99.34M,-2.3%,100%
