CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
770700102,HOOD,ROBINHOOD MKTS INC,177600,177600,7.39M,7.39M,NEW,7.6%
91332U101,U,UNITY SOFTWARE INC,345900,345900,6.78M,6.78M,NEW,7%
88160R101,TSLA,TESLA INC,22100,22100,5.73M,5.73M,NEW,5.9%
M2682V108,CYBR,CYBERARK SOFTWARE LTD,13200,13200,4.46M,4.46M,NEW,4.6%
056752108,BIDU,BAIDU INC,115700,42100,10.65M,3.87M,+57.2%,11%
20717M103,CFLT,CONFLUENT INC,304759,58100,7.14M,1.36M,+23.6%,7.4%
11135F101,AVGO,BROADCOM INC,61100,5500,10.23M,920.87K,+9.9%,10.6%
146869102,CVNA,CARVANA CO,34700,3500,7.26M,731.78K,+11.2%,7.5%
093712107,BE,BLOOM ENERGY CORP,279000,17100,5.49M,336.19K,+6.5%,5.7%
58733R102,MELI,MERCADOLIBRE INC,5567,0,10.86M,0,NO CHANGE,11.2%
888787108,TOST,TOAST INC,80862,0,2.68M,0,NO CHANGE,2.8%
00827B106,AFRM,AFFIRM HLDGS INC,94800,-8000,4.28M,-361.52K,-7.8%,4.4%
M6191J100,FROG,JFROG LTD,195753,-12200,6.26M,-390.4K,-5.9%,6.5%
N14506104,ESTC,ELASTIC N V,86200,-27500,7.68M,-2.45M,-24.2%,7.9%
81730H109,S,SENTINELONE INC,0,-202700,0,-4.5M,CLOSE,0%
G6683N103,NU,NU HLDGS LTD,0,-1082633,0,-11.22M,CLOSE,0%
Total,,,,,96.89M,12.66M,+14.1%,100%
