CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
594918104,MSFT,MICROSOFT CORP,23400,5430,8.78M,2.04M,+30.2%,5.6%
81762P102,NOW,SERVICENOW INC,5500,2300,4.38M,1.83M,+71.9%,2.8%
007903107,AMD,ADVANCED MICRO DEVICES INC,40932,12600,4.21M,1.29M,+44.5%,2.7%
23804L103,DDOG,DATADOG INC,34000,12500,3.37M,1.24M,+58.1%,2.1%
453204109,PI,IMPINJ INC,10500,10500,952.35K,952.35K,NEW,0.6%
573874104,MRVL,MARVELL TECHNOLOGY INC,41500,15200,2.56M,935.86K,+57.8%,1.6%
74276L105,PRCT,PROCEPT BIOROBOTICS CORP,16000,16000,932.16K,932.16K,NEW,0.59%
443573100,HUBS,HUBSPOT INC,6600,1300,3.77M,742.68K,+24.5%,2.4%
833445109,SNOW,SNOWFLAKE INC,23500,4800,3.43M,701.57K,+25.7%,2.2%
29355A107,ENPH,ENPHASE ENERGY INC,29000,10000,1.8M,620.5K,+52.6%,1.1%
090043100,BILL,BILL HOLDINGS INC,33000,13500,1.51M,619.51K,+69.2%,0.96%
697435105,PANW,PALO ALTO NETWORKS INC,17200,3600,2.94M,614.3K,+26.5%,1.9%
882508104,TXN,TEXAS INSTRS INC,13000,3000,2.34M,539.1K,+30%,1.5%
243537107,DECK,DECKERS OUTDOOR CORP,5050,4550,564.64K,508.74K,+910%,0.36%
338307101,FIVN,FIVE9 INC,56000,18000,1.52M,488.7K,+47.4%,0.97%
038222105,AMAT,APPLIED MATLS INC,26650,3000,3.87M,435.36K,+12.7%,2.5%
88160R101,TSLA,TESLA INC,12300,1646,3.19M,426.58K,+15.4%,2%
22788C105,CRWD,CROWDSTRIKE HLDGS INC,9000,1200,3.17M,423.1K,+15.4%,2%
30063P105,EXAS,EXACT SCIENCES CORP,30000,6000,1.3M,259.74K,+25%,0.82%
169656105,CMG,CHIPOTLE MEXICAN GRILL INC,19200,4800,964.03K,241.01K,+33.3%,0.61%
595017104,MCHP,MICROCHIP TECHNOLOGY INC.,52400,3500,2.54M,169.44K,+7.2%,1.6%
025816109,AXP,AMERICAN EXPRESS CO,4500,600,1.21M,161.43K,+15.4%,0.77%
79466L302,CRM,SALESFORCE INC,4650,600,1.25M,161.02K,+14.8%,0.79%
45826J105,NTLA,INTELLIA THERAPEUTICS INC,81000,19000,575.91K,135.09K,+30.6%,0.37%
60937P106,MDB,MONGODB INC,12900,600,2.26M,105.24K,+4.9%,1.4%
09073M104,TECH,BIO-TECHNE CORP,22000,1734,1.29M,101.66K,+8.6%,0.82%
406216101,HAL,HALLIBURTON CO,3700,3700,93.87K,93.87K,NEW,0.06%
18915M107,NET,CLOUDFLARE INC,22800,800,2.57M,90.15K,+3.6%,1.6%
58933Y105,MRK,MERCK & CO INC,10000,1000,897.6K,89.76K,+11.1%,0.57%
29786A106,ETSY,ETSY INC,3900,1700,184K,80.21K,+77.3%,0.12%
23331A109,DHI,D R HORTON INC,1900,600,241.55K,76.28K,+46.2%,0.15%
31428X106,FDX,FEDEX CORP,1200,300,292.54K,73.13K,+33.3%,0.19%
526057104,LEN,LENNAR CORP,1800,600,206.6K,68.87K,+50%,0.13%
H17182108,CRSP,CRISPR THERAPEUTICS AG,21000,2000,714.63K,68.06K,+10.5%,0.45%
07373V105,BEAM,BEAM THERAPEUTICS INC,45000,3000,878.85K,58.59K,+7.1%,0.56%
94845U105,WBTN,WEBTOON ENTMT INC,7500,7500,57.52K,57.52K,NEW,0.04%
911363109,URI,UNITED RENTALS INC,290,80,181.74K,50.14K,+38.1%,0.12%
37045V100,GM,GENERAL MTRS CO,10500,1000,493.81K,47.03K,+10.5%,0.31%
87043Q108,SG,SWEETGREEN INC,4100,1700,102.58K,42.53K,+70.8%,0.07%
717081103,PFE,PFIZER INC,46500,1600,1.18M,40.54K,+3.6%,0.75%
345370860,F,FORD MTR CO,32000,4000,320.96K,40.12K,+14.3%,0.2%
26856L103,ELF,E L F BEAUTY INC,1350,600,84.77K,37.67K,+80%,0.05%
