CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
55087P104,LYFT,LYFT INC,975000,975000,11.57M,11.57M,NEW,2.9%
02079K305,GOOGL,ALPHABET INC,384105,38835,59.4M,6.01M,+11.2%,14.8%
81762P102,NOW,SERVICENOW INC,30600,5300,24.36M,4.22M,+20.9%,6.1%
023135106,AMZN,AMAZON COM INC,301827,0,57.43M,0,NO CHANGE,14.3%
64110L106,NFLX,NETFLIX INC,58500,0,54.55M,0,NO CHANGE,13.6%
594918104,MSFT,MICROSOFT CORP,129230,0,48.51M,0,NO CHANGE,12.1%
00724F101,ADBE,ADOBE INC,116120,0,44.54M,0,NO CHANGE,11.1%
037833100,AAPL,APPLE INC,52300,0,11.62M,0,NO CHANGE,2.9%
771049103,RBLX,ROBLOX CORP,134100,0,7.82M,0,NO CHANGE,2%
874039100,TSM,TAIWAN SEMICONDUCTOR MFG LTD,22000,0,3.65M,0,NO CHANGE,0.91%
N07059210,ASML,ASML HOLDING N V,3200,0,2.12M,0,NO CHANGE,0.53%
19260Q107,COIN,COINBASE GLOBAL INC,10719,0,1.85M,0,NO CHANGE,0.46%
654106103,NKE,NIKE INC,20000,0,1.27M,0,NO CHANGE,0.32%
74275K108,PCOR,PROCORE TECHNOLOGIES INC,13925,0,919.33K,0,NO CHANGE,0.23%
29786A106,ETSY,ETSY INC,11500,0,542.57K,0,NO CHANGE,0.14%
79466L302,CRM,SALESFORCE INC,2000,0,536.72K,0,NO CHANGE,0.13%
30303M102,META,META PLATFORMS INC,98492,-7233,56.77M,-4.17M,-6.8%,14.2%
254687106,DIS,DISNEY WALT CO,135800,-148900,13.4M,-14.7M,-52.3%,3.3%
Total,,,,,400.85M,2.93M,+0.7%,100%
