CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
16119P108,CHTR,CHARTER COMMUNICATIONS INC,129428,86253,47.7M,31.79M,+199.8%,12.7%
983793100,XPO,XPO INC,170009,170009,18.29M,18.29M,NEW,4.9%
808513105,SCHW,SCHWAB CHARLES CORP,436275,217433,34.15M,17.02M,+99.4%,9.1%
00508Y102,AYI,ACUITY BRANDS INC,161542,51467,42.54M,13.55M,+46.8%,11.3%
58985J105,MLNK,MERIDIANLINK INC,693943,-8238,12.86M,-152.65K,-1.2%,3.4%
74275K108,PCOR,PROCORE TECHNOLOGIES INC,321739,-3819,21.24M,-252.13K,-1.2%,5.6%
03783C100,APPF,APPFOLIO INC,111740,-1327,24.57M,-291.81K,-1.2%,6.5%
40171V100,GWRE,GUIDEWIRE SOFTWARE INC,179558,-2131,33.64M,-399.26K,-1.2%,8.9%
698884103,PAR,PAR TECHNOLOGY CORP,563073,-6688,34.54M,-410.24K,-1.2%,9.2%
03831W108,APP,APPLOVIN CORP,404315,-288124,107.13M,-76.34M,-41.6%,28.4%
Total,,,,,376.67M,2.8M,+0.7%,100%
