CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
78462F103,SPY,SPDR S&P 500 ETF TR TR,217216,9141,121.51M,5.11M,+4.4%,9.2%
47103U746,JSI,JANUS DETROIT STR TR,66184,66184,3.46M,3.46M,NEW,0.26%
03463K752,UYLD,ANGEL OAK FUNDS TRUST,54517,54517,2.79M,2.79M,NEW,0.21%
617446448,MS,MORGAN STANLEY,32748,19045,3.82M,2.22M,+139%,0.29%
02072L433,ROE,EA SERIES TRUST,59420,59420,1.74M,1.74M,NEW,0.13%
46090E103,QQQ,INVESCO QQQ TR,40463,3679,18.97M,1.73M,+10%,1.4%
46137V357,RSP,INVESCO T S&P500 EQL WGT,12522,9470,2.17M,1.64M,+310.3%,0.16%
00775Y645,SAMT,ADVISORS INNER CIRCLE FD III,89642,47994,2.62M,1.4M,+115.2%,0.2%
46641Q159,JPIE,J P MORGAN EXCHANGE TRADED F,47784,27151,2.2M,1.25M,+131.6%,0.17%
47103U845,JAAA,JANUS DETROIT STR TR HENDRSON AAA,187022,18902,9.48M,958.53K,+11.2%,0.72%
03463K760,CARY,ANGEL OAK FUNDS TRUST,45711,45711,949K,949K,NEW,0.07%
74255Y607,PSC,PRINCIPAL EXCHANGE TRADED FD,18427,18427,895K,895K,NEW,0.07%
577125818,MEM,MATTHEWS ASIA FDS,70547,28614,2.07M,838.78K,+68.2%,0.16%
025072877,AVUV,AMERICAN CENTY TR US SML CP VALU,90349,9485,7.88M,826.84K,+11.7%,0.6%
47103U886,VNLA,JANUS DETROIT STR TR HENDRSN SHRT,39208,14296,1.93M,702.62K,+57.4%,0.15%
80004C200,SNDK,SANDISK CORP,13180,13180,628K,628K,NEW,0.05%
025072703,AVDE,AMERICAN CENTY ETF TR,27091,9350,1.79M,619.51K,+52.7%,0.14%
025072349,AVLV,AMERICAN CENTY TR US LARGE CAP VLU,124524,7689,8.12M,501.39K,+6.6%,0.61%
46654Q609,JGRO,J P MORGAN EXCHANGE TRADED F,6525,6525,481K,481K,NEW,0.04%
464288588,MBB,ISHARES TR,4821,4821,452K,452K,NEW,0.03%
37954Y293,MLPX,GLOBAL X FDS GLB X MLP ENRG,5722,5722,365K,365K,NEW,0.03%
47103U852,JMBS,JANUS DETROIT STR TR,67923,7865,3.07M,355.48K,+13.1%,0.23%
922020748,VCRB,VANGUARD MALVERN FDS,84702,4459,6.56M,345.24K,+5.6%,0.5%
78468R663,BIL,SPDR SER TR SPDR,5697,3221,523K,295.7K,+130.1%,0.04%
47759T100,JKS,JINKOSOLAR HLDG CO LTD,15350,15350,286K,286K,NEW,0.02%
46641Q837,JPST,J P MORGAN EXCHANGE-TRADED F ULTRA SHRT,63093,5331,3.19M,269.87K,+9.2%,0.24%
345370860,F,FORD MTR CO DEL,340328,23731,3.41M,237.99K,+7.5%,0.26%
281020107,EIX,EDISON INTL,3622,3622,213K,213K,NEW,0.02%
921943858,VEA,VANGUARD TAX-MANAGED INTL FD FTSE DEV MKT,4181,4181,213K,213K,NEW,0.02%
46438F101,IBIT,ISHARES BITCOIN TRUST ETF,7548,3586,353K,167.71K,+90.5%,0.03%
832696405,SJM,SMUCKER J M CO,6987,1386,827K,164.05K,+24.7%,0.06%
G76279101,ROIV,ROIVANT SCIENCES LTD,15945,15945,161K,161K,NEW,0.01%
959802109,WU,WESTERN UN CO,12734,12734,135K,135K,NEW,0.01%
G0084W101,ADNT,ADIENT PLC ORD,34776,10218,447K,131.34K,+41.6%,0.03%
G85158106,STNE,STONECO LTD COM,11429,11429,120K,120K,NEW,<.01%
97717W851,DXJ,WISDOMTREE TR JAPN HEDGE,6412,1025,706K,112.86K,+19%,0.05%
717081103,PFE,PFIZER INC,134154,3673,3.4M,93.06K,+2.8%,0.26%
74168J101,PRME,PRIME MEDICINE INC,819001,45000,1.63M,89.56K,+5.8%,0.12%
922042742,VT,VANGUARD INTL EQUITY INDEX F TT WRLD ST,4020,670,466K,77.67K,+20%,0.04%
494368103,KMB,KIMBERLY CLARK CORP,2376,400,338K,56.9K,+20.2%,0.03%
42824C109,HPE,HEWLETT PACKARD ENTERPRISE C,79158,3553,1.22M,54.8K,+4.7%,0.09%
30233G209,EYPT,EYEPOINT PHARMACEUTICALS INC,10050,10050,54K,54K,NEW,<.01%
921909768,VXUS,VANGUARD STAR FD VG TL INTL STK,75282,812,4.67M,50.43K,+1.1%,0.35%
149123101,CAT,CATERPILLAR INC DEL,2517,151,830K,49.79K,+6.4%,0.06%
46434G822,EWJ,ISHARES INC MSCI JPN,7492,571,514K,39.17K,+8.3%,0.04%
75886F107,REGN,REGENERON PHARMACEUTICALS,16140,59,10.24M,37.42K,+0.4%,0.77%
260557103,DOW,DOW INC,46359,1011,1.62M,35.31K,+2.2%,0.12%
G29183103,ETN,EATON CORP PLC,860,119,234K,32.38K,+16.1%,0.02%
464288687,PFF,ISHARES TR U.S. PFD STK,8621,1017,265K,31.26K,+13.4%,0.02%
78463V107,GLD,SPDR GOLD TR GOLD,4828,102,1.39M,29.39K,+2.2%,0.11%
922908363,VOO,VANGUARD INDEX FDS S&P 500 ETF,15071,54,7.75M,27.75K,+0.4%,0.59%
G8994E103,TT,TRANE TECHNOLOGIES PLC,22917,77,7.72M,25.94K,+0.3%,0.58%
922908751,VB,VANGUARD INDEX FDS SMALL CP,14589,100,3.23M,22.17K,+0.7%,0.24%
H11356104,BG,BUNGE LIMITED,47993,280,3.67M,21.4K,+0.6%,0.28%
03615A108,ANVS,ANNOVIS BIO INC,46100,14149,69K,21.18K,+44.3%,<.01%
724078100,PIPR,PIPER JAFFRAY COS,20229,80,5.01M,19.81K,+0.4%,0.38%
88579Y101,MMM,3M CO,2229,135,327K,19.8K,+6.4%,0.02%
35671D857,FCX,FREEPORT-MCMORAN INC,162681,507,6.16M,19.19K,+0.3%,0.47%
880779103,TEX,TEREX CORP NEW,62924,486,2.38M,18.36K,+0.8%,0.18%
039483102,ADM,ARCHER DANIELS MIDLAND CO,48666,348,2.34M,16.7K,+0.7%,0.18%
78464A474,SPSB,SPDR SERIES TRUST PORTFOLIO SHORT,40080,500,1.21M,15.04K,+1.3%,0.09%
44891N208,IAC,IAC INTERACTIVECORP NEW,9739,320,447K,14.69K,+3.4%,0.03%
539830109,LMT,LOCKHEED MARTIN CORP,492,26,220K,11.63K,+5.6%,0.02%
57667L107,MTCH,MATCH GROUP INC NEW,19931,302,622K,9.42K,+1.5%,0.05%
191216100,KO,COCA COLA CO,3658,121,262K,8.67K,+3.4%,0.02%
62914V106,NIO,NIO INC SPON,21312,2225,81K,8.46K,+11.7%,<.01%
81369Y209,XLV,SELECT SECTOR SPDR TR SBI HEALTHCARE,4025,45,588K,6.57K,+1.1%,0.04%
042735100,ARW,ARROW ELECTRS INC,22131,62,2.3M,6.44K,+0.3%,0.17%
857477103,STT,STATE STR CORP,5053,57,452K,5.1K,+1.1%,0.03%
125523100,CI,CIGNA CORP NEW,14989,14,4.93M,4.61K,+0.1%,0.37%
81762P102,NOW,SERVICENOW INC,1087,4,865K,3.18K,+0.4%,0.07%
922042858,VWO,VANGUARD INTL EQUITY INDEX F FTSE EMR MKT,37957,46,1.72M,2.08K,+0.1%,0.13%
46434G848,PICK,ISHARES INC MSCI GBL,17294,20,621K,718.17,+0.1%,0.05%
928254101,VIRT,VIRTU FINL INC,146980,4,5.6M,152.48,+0%,0.42%
33738R506,RDVY,FIRST TR EXCHANGE-TRADED FD RISNG DIVD,8889,1,520K,58.5,+0%,0.04%
683797104,OPY,OPPENHEIMER HLDGS INC,305703,0,18.23M,0,NO CHANGE,1.4%
06738E204,BCS,BARCLAYS PLC,1183340,0,18.18M,0,NO CHANGE,1.4%
58733R102,MELI,MERCADOLIBRE INC,5500,0,10.73M,0,NO CHANGE,0.81%
40434L105,HPQ,HP INC,140024,0,3.88M,0,NO CHANGE,0.29%
733174700,BPOP,POPULAR INC,28137,0,2.6M,0,NO CHANGE,0.2%
7591EP100,RF,REGIONS FINL CORP NEW,109071,0,2.37M,0,NO CHANGE,0.18%
15135B101,CNC,CENTENE CORP DEL,37458,0,2.27M,0,NO CHANGE,0.17%
631103108,NDAQ,NASDAQ INC,29900,0,2.27M,0,NO CHANGE,0.17%
22052L104,CTVA,CORTEVA INC,31535,0,1.99M,0,NO CHANGE,0.15%
13462K109,CWH,CAMPING WORLD HLDGS INC,107500,0,1.74M,0,NO CHANGE,0.13%
958102105,WDC,WESTERN DIGITAL CORP,39544,0,1.6M,0,NO CHANGE,0.12%
45687V106,IR,INGERSOLL RAND INC,19918,0,1.59M,0,NO CHANGE,0.12%
Y2573F102,FLEX,FLEXTRONICS INTL LTD,48000,0,1.59M,0,NO CHANGE,0.12%
87161C501,SNV,SYNOVUS FINL CORP,33039,0,1.54M,0,NO CHANGE,0.12%
N97284108,NBIS,NEBIUS GROUP N.V.,61000,0,1.29M,0,NO CHANGE,0.1%
922908769,VTI,VANGUARD INDEX FDS TOTAL STK,3985,0,1.09M,0,NO CHANGE,0.08%
922042775,VEU,VANGUARD INTL EQUITY INDEX F ALLWRLD EX,16969,0,1.03M,0,NO CHANGE,0.08%
92203J407,BNDX,VANGUARD CHARLOTTE FDS INTL BD IDX,17018,0,831K,0,NO CHANGE,0.06%
H42097107,UBS,UBS GROUP AG,24847,0,761K,0,NO CHANGE,0.06%
025072364,AVIV,AMERICAN CENTY TR INTERNATIONAL LR,12970,0,735K,0,NO CHANGE,0.06%
33736Q104,QABA,FIRST TR NASDAQ ABA CMNTY BK UT COM SHS,13517,0,707K,0,NO CHANGE,0.05%
464287465,EFA,ISHARES TR MSCI EAFE,6185,0,506K,0,NO CHANGE,0.04%
G6964L206,PSFE,PAYSAFE LIMITED,28513,0,447K,0,NO CHANGE,0.03%
78646V107,SAFE,SAFEHOLD INC,22045,0,413K,0,NO CHANGE,0.03%
301505707,ROBO,EXCHANGE TRADED CONCEPTS TR ROBO GLB,7939,0,409K,0,NO CHANGE,0.03%
020002101,ALL,ALLSTATE CORP,1955,0,405K,0,NO CHANGE,0.03%
81369Y100,XLB,SELECT SECTOR SPDR TR SBI MATERIALS,3593,0,309K,0,NO CHANGE,0.02%
922042676,VNQI,VANGUARD INTL EQUITY INDEX F GLB EX US,6991,0,283K,0,NO CHANGE,0.02%
464287796,IYE,ISHARES TR U.S. ENERGY,5367,0,265K,0,NO CHANGE,0.02%
81369Y803,XLK,SELECT SECTOR SPDR TR TECHNOLOGY,1243,0,257K,0,NO CHANGE,0.02%
31813A109,FINW,FINWISE BANCORP,14000,0,245K,0,NO CHANGE,0.02%
233051200,DBEF,DBX ETF TR,5379,0,233K,0,NO CHANGE,0.02%
316092840,FDVV,FIDELITY COVINGTON TRUST,4694,0,233K,0,NO CHANGE,0.02%
464287234,EEM,ISHARES TR MSCI EMG MKT,4800,0,210K,0,NO CHANGE,0.02%
05156X850,ACB,AURORA CANNABIS INC,20000,0,88K,0,NO CHANGE,<.01%
10948C107,BV,BRIGHTVIEW HLDGS INC,55000,-1,706K,-12.84,-0%,0.05%
92719V100,VMEO,VIMEO INC COMMON,14071,-11,74K,-57.85,-0.1%,<.01%
922908553,VNQ,VANGUARD INDEX FDS REIT,6133,-1,555K,-90.49,-0%,0.04%
