CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
594918104,MSFT,MICROSOFT CORP,420000,366700,157.66M,137.66M,+688%,14%
09857L108,BKNG,BOOKING HOLDINGS INC,37600,17800,173.22M,82M,+89.9%,15.3%
90353T100,UBER,UBER TECHNOLOGIES INC,885000,885000,64.48M,64.48M,NEW,5.7%
781154109,RBRK,RUBRIK INC.,132111,132111,8.06M,8.06M,NEW,0.71%
578784100,MAZE,MAZE THERAPEUTICS INC,637528,637528,7.02M,7.02M,NEW,0.62%
02079K305,GOOGL,ALPHABET INC,718812,32000,111.16M,4.95M,+4.7%,9.8%
74623V103,PCT,PURECYCLE TECHNOLOGIES INC,2498170,0,17.29M,0,NO CHANGE,1.5%
88025U109,TXG,10X GENOMICS INC,170000,0,1.48M,0,NO CHANGE,0.13%
74623V111,PCTTW,PURECYCLE TECHNOLOGIES INC,714285,0,1.11M,0,NO CHANGE,0.1%
88160R101,TSLA,TESLA INC,0,-20200,0,-8.16M,CLOSE,0%
11135F101,AVGO,BROADCOM INC,321700,-53000,53.86M,-8.87M,-14.1%,4.8%
023135106,AMZN,AMAZON COM INC,0,-67500,0,-14.81M,CLOSE,0%
46090E103,QQQ,INVESCO QQQ TR,211820,-56000,99.33M,-26.26M,-20.9%,8.8%
037833100,AAPL,APPLE INC,0,-108700,0,-27.22M,CLOSE,0%
67066G104,NVDA,NVIDIA CORPORATION,507831,-280800,55.04M,-30.43M,-35.6%,4.9%
80874P109,LNWO,LIGHT & WONDER INC,1058892,-382805,91.71M,-33.15M,-26.6%,8.1%
007903107,AMD,ADVANCED MICRO DEVICES INC,0,-473199,0,-57.16M,CLOSE,0%
874039100,TSM,TAIWAN SEMICONDUCTOR MFG LTD,0,-434790,0,-85.87M,CLOSE,0%
30303M102,META,META PLATFORMS INC,498381,-804500,287.25M,-463.68M,-61.7%,25.5%
Total,,,,,1.13B,-451.45M,-26.7%,100%
