CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
30303M102,META,META PLATFORMS INC,123674,4243,71.28M,2.45M,+3.6%,14.1%
11135F101,AVGO,BROADCOM INC,53017,9195,8.88M,1.54M,+21%,1.8%
084670702,BRK.B,BERKSHIRE HATHAWAY INC DEL,5385,2279,2.87M,1.21M,+73.4%,0.57%
595112103,MU,MICRON TECHNOLOGY INC,9311,9270,809.03K,805.47K,+22609.8%,0.16%
931142103,WMT,WALMART INC,60570,7741,5.32M,679.58K,+14.7%,1.1%
38747R827,NVDL,GRANITESHARES ETF TR,35751,17503,1.34M,654.61K,+95.9%,0.26%
042068205,ARM,ARM HOLDINGS PLC,5865,5215,626.32K,556.91K,+802.3%,0.12%
031162100,AMGN,AMGEN INC,7047,1698,2.2M,529.01K,+31.7%,0.43%
464287671,IUSG,ISHARES TR,3000,3000,381.24K,381.24K,NEW,0.08%
09857L108,BKNG,BOOKING HOLDINGS INC,70,70,322.48K,322.48K,NEW,0.06%
88160R101,TSLA,TESLA INC,2151,1220,557.45K,316.18K,+131%,0.11%
097023105,BA,BOEING CO,3312,1782,564.86K,303.92K,+116.5%,0.11%
464287200,IVV,ISHARES TR,460,460,258.47K,258.47K,NEW,0.05%
170386106,COFS,CHOICEONE FINL SVCS INC,8235,8235,236.92K,236.92K,NEW,0.05%
92189F601,NLR,VANECK ETF TRUST,5095,3025,373.31K,221.64K,+146.1%,0.07%
90353T100,UBER,UBER TECHNOLOGIES INC,69045,2782,5.03M,202.7K,+4.2%,1%
922908363,VOO,VANGUARD INDEX FDS,384,381,197.34K,195.8K,+12700%,0.04%
46428Q109,SLV,ISHARES SILVER TR,22631,6000,701.34K,185.94K,+36.1%,0.14%
75513E101,RTX,RTX CORPORATION,7450,1166,986.83K,154.45K,+18.6%,0.2%
922908652,VXF,VANGUARD INDEX FDS,736,736,126.78K,126.78K,NEW,0.03%
921937827,BSV,VANGUARD BD INDEX FDS,1569,1568,122.79K,122.71K,+156800%,0.02%
464287309,IVW,ISHARES TR,865,865,80.3K,80.3K,NEW,0.02%
922908744,VTV,VANGUARD INDEX FDS,955,455,164.97K,78.6K,+91%,0.03%
46432F339,QUAL,ISHARES TR,434,434,74.17K,74.17K,NEW,0.01%
97717W547,WTV,WISDOMTREE TR,870,870,71.49K,71.49K,NEW,0.01%
464288877,EFV,ISHARES TR,1173,1172,69.14K,69.08K,+117200%,0.01%
46137V498,XSMO,INVESCO EXCHANGE TRADED FD T,1080,1080,67.77K,67.77K,NEW,0.01%
46137V464,XMMO,INVESCO EXCHANGE TRADED FD T,580,580,65.98K,65.98K,NEW,0.01%
922908736,VUG,VANGUARD INDEX FDS,177,177,65.64K,65.64K,NEW,0.01%
464288885,EFG,ISHARES TR,639,639,63.9K,63.9K,NEW,0.01%
21037T109,CEG,CONSTELLATION ENERGY CORP,534,314,107.67K,63.31K,+142.7%,0.02%
478160104,JNJ,JOHNSON & JOHNSON,2746,333,455.4K,55.22K,+13.8%,0.09%
74347G440,BITO,PROSHARES TR,16124,3000,295.39K,54.96K,+22.9%,0.06%
78468R622,JNK,SPDR SER TR,562,562,53.56K,53.56K,NEW,0.01%
921943858,VEA,VANGUARD TAX-MANAGED FDS,995,995,50.58K,50.58K,NEW,0.01%
172967424,C,CITIGROUP INC,904,665,64.17K,47.21K,+278.2%,0.01%
46432F842,IEFA,ISHARES TR,609,609,46.07K,46.07K,NEW,<.01%
201723103,CMC,COMMERCIAL METALS CO,25809,913,1.19M,42.01K,+3.7%,0.24%
22788C105,CRWD,CROWDSTRIKE HLDGS INC,250,115,88.14K,40.55K,+85.2%,0.02%
437076102,HD,HOME DEPOT INC,708,99,259.48K,36.28K,+16.3%,0.05%
00287Y109,ABBV,ABBVIE INC,4070,150,852.75K,31.43K,+3.8%,0.17%
46434G103,IEMG,ISHARES INC,522,522,28.17K,28.17K,NEW,<.01%
464287804,IJR,ISHARES TR,268,268,28.02K,28.02K,NEW,<.01%
03073E105,COR,CENCORA INC,100,100,27.81K,27.81K,NEW,<.01%
464287721,IYW,ISHARES TR,190,190,26.68K,26.68K,NEW,<.01%
46438F101,IBIT,ISHARES BITCOIN TRUST ETF,5095,500,238.5K,23.41K,+10.9%,0.05%
921937819,BIV,VANGUARD BD INDEX FDS,242,242,18.53K,18.53K,NEW,<.01%
817565104,SCI,SERVICE CORP INTL,194,194,15.56K,15.56K,NEW,<.01%
68389X105,ORCL,ORACLE CORP,129,100,18.04K,13.98K,+344.8%,<.01%
04626A103,ALAB,ASTERA LABS INC,5000,200,298.35K,11.93K,+4.2%,0.06%
464285204,IAU,ISHARES GOLD TR,750,175,44.22K,10.32K,+30.4%,<.01%
46434V803,HEFA,ISHARES TR,186,186,6.75K,6.75K,NEW,<.01%
462260100,IOVA,IOVANCE BIOTHERAPEUTICS INC,2000,2000,6.66K,6.66K,NEW,<.01%
464287598,IWD,ISHARES TR,32,32,6.02K,6.02K,NEW,<.01%
75629V104,RXRX,RECURSION PHARMACEUTICALS IN,1000,1000,5.29K,5.29K,NEW,<.01%
808524755,FNDF,SCHWAB STRATEGIC TR,120,120,4.34K,4.34K,NEW,<.01%
922042874,VGK,VANGUARD INTL EQUITY INDEX F,50,50,3.51K,3.51K,NEW,<.01%
H17182108,CRSP,CRISPR THERAPEUTICS AG,100,100,3.4K,3.4K,NEW,<.01%
921908844,VIG,VANGUARD SPECIALIZED FUNDS,3376,17,654.89K,3.3K,+0.5%,0.13%
46137V357,RSP,INVESCO EXCHANGE TRADED FD T,14,14,2.43K,2.43K,NEW,<.01%
88688T100,TLRY,TILRAY BRANDS INC,4958,3000,3.26K,1.97K,+153.2%,<.01%
808524201,SCHX,SCHWAB STRATEGIC TR,129,86,2.85K,1.9K,+200%,<.01%
01609W102,BABA,ALIBABA GROUP HLDG LTD,14,14,1.85K,1.85K,NEW,<.01%
46137V282,RSPT,INVESCO EXCHANGE TRADED FD T,50,50,1.71K,1.71K,NEW,<.01%
816307300,SLQT,SELECTQUOTE INC,500,500,1.67K,1.67K,NEW,<.01%
922908751,VB,VANGUARD INDEX FDS,7,7,1.55K,1.55K,NEW,<.01%
717081103,PFE,PFIZER INC,9481,53,240.25K,1.34K,+0.6%,0.05%
922908611,VBR,VANGUARD INDEX FDS,7,7,1.3K,1.3K,NEW,<.01%
922908553,VNQ,VANGUARD INDEX FDS,14,14,1.27K,1.27K,NEW,<.01%
922042676,VNQI,VANGUARD INTL EQUITY INDEX F,28,28,1.13K,1.13K,NEW,<.01%
46137V746,PWB,INVESCO EXCHANGE TRADED FD T,7,7,673,673,NEW,<.01%
680223104,ORI,OLD REP INTL CORP,15,15,589,589,NEW,<.01%
83307B101,SNDL,SNDL INC,4040,415,5.7K,585.21,+11.4%,<.01%
922908629,VO,VANGUARD INDEX FDS,216,1,55.98K,259.16,+0.5%,0.01%
37954Y715,BOTZ,GLOBAL X FDS,3,3,86,86,NEW,<.01%
85237B101,TRON,SRM ENTERTAINMENT INC,74,74,31,31,NEW,<.01%
904311206,UA,UNDER ARMOUR INC,14,1,84,6,+7.7%,<.01%
42227T105,HCWC,HEALTHY CHOICE WELLNESS CORP,1,1,1,1,NEW,<.01%
053015103,ADP,AUTOMATIC DATA PROCESSING IN,2000,0,611.06K,0,NO CHANGE,0.12%
37733W204,GSK,GSK PLC,13379,0,518.3K,0,NO CHANGE,0.1%
459200101,IBM,INTERNATIONAL BUSINESS MACHS,1926,0,478.92K,0,NO CHANGE,0.09%
438516106,HON,HONEYWELL INTL INC,2200,0,465.85K,0,NO CHANGE,0.09%
594972408,MSTR,MICROSTRATEGY INC,1500,0,432.4K,0,NO CHANGE,0.09%
580135101,MCD,MCDONALDS CORP,1068,0,333.61K,0,NO CHANGE,0.07%
57636Q104,MA,MASTERCARD INCORPORATED,600,0,328.87K,0,NO CHANGE,0.07%
747525103,QCOM,QUALCOMM INC,1202,0,184.64K,0,NO CHANGE,0.04%
48251W104,KKR,KKR & CO INC,1413,0,163.36K,0,NO CHANGE,0.03%
