CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
03831W108,APP,APPLOVIN CORP,2879000,328000,762.85M,86.91M,+12.9%,17.2%
81141R100,SE,SEA LTD,1670200,426700,217.94M,55.68M,+34.3%,4.9%
22160N109,CSGP,COSTAR GROUP INC,1331300,615500,105.48M,48.77M,+86%,2.4%
46120E602,ISRG,INTUITIVE SURGICAL INC,98400,98400,48.73M,48.73M,NEW,1.1%
48251W104,KKR,KKR & CO INC,350400,350400,40.51M,40.51M,NEW,0.91%
023135106,AMZN,AMAZON COM INC,1187400,212700,225.91M,40.47M,+21.8%,5.1%
892672106,TW,TRADEWEB MKTS INC,228500,228500,33.92M,33.92M,NEW,0.76%
88033G407,THC,TENET HEALTHCARE CORP,230900,230900,31.06M,31.06M,NEW,0.7%
127387108,CDNS,CADENCE DESIGN SYSTEM INC,169800,66400,43.19M,16.89M,+64.2%,0.97%
303250104,FICO,FAIR ISAAC CORP,239680,4200,442.01M,7.75M,+1.8%,10%
337738108,FISV,FISERV INC,1389400,1200,306.82M,265K,+0.1%,6.9%
92826C839,V,VISA INC,860800,0,301.68M,0,NO CHANGE,6.8%
16411R208,LNG,CHENIERE ENERGY INC,699700,0,161.91M,0,NO CHANGE,3.6%
45866F104,ICE,INTERCONTINENTAL EXCHANGE IN,814300,0,140.47M,0,NO CHANGE,3.2%
743315103,PGR,PROGRESSIVE CORP,393800,0,111.45M,0,NO CHANGE,2.5%
64107A113,NPWRWS,NET POWER INC,500800,-16400,152.74K,-5K,-3.2%,<.01%
02079K305,GOOGL,ALPHABET INC,923100,-500,142.75M,-77.32K,-0.1%,3.2%
64107A105,NPWR,NET POWER INC,1688100,-55400,4.44M,-145.7K,-3.2%,0.1%
53947R105,LOAR,LOAR HOLDINGS INC,0,-19100,0,-1.41M,CLOSE,0%
30303M102,META,META PLATFORMS INC,241700,-7400,139.31M,-4.27M,-3%,3.1%
443201108,HWM,HOWMET AEROSPACE INC,5340800,-34500,692.86M,-4.48M,-0.6%,15.6%
294429105,EFX,EQUIFAX INC,747300,-24600,182.01M,-5.99M,-3.2%,4.1%
91324P102,UNH,UNITEDHEALTH GROUP INC,196600,-28870,102.97M,-15.12M,-12.8%,2.3%
58506Q109,MEDP,MEDPACE HLDGS INC,0,-121100,0,-40.23M,CLOSE,0%
594918104,MSFT,MICROSOFT CORP,361600,-128100,135.74M,-48.09M,-26.2%,3.1%
79466L302,CRM,SALESFORCE INC,235600,-196500,63.23M,-52.73M,-45.5%,1.4%
70450Y103,PYPL,PAYPAL HLDGS INC,0,-1156900,0,-98.74M,CLOSE,0%
Total,,,,,4.44B,139.66M,+3.2%,100%
