CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
81141R100,SE,SEA LTD,494400,353900,64.51M,46.18M,+251.9%,4.6%
74967X103,RH,RH,145700,145700,34.15M,34.15M,NEW,2.4%
254687106,DIS,DISNEY WALT CO,339700,339700,33.53M,33.53M,NEW,2.4%
67066G104,NVDA,NVIDIA CORPORATION,815750,302200,88.41M,32.75M,+58.8%,6.3%
461202103,INTU,INTUIT,73600,47600,45.19M,29.23M,+183.1%,3.2%
11135F101,AVGO,BROADCOM INC,739500,166100,123.81M,27.81M,+29%,8.9%
N00985106,AER,AERCAP HOLDINGS NV,938703,228503,95.91M,23.35M,+32.2%,6.9%
60937P106,MDB,MONGODB INC,90000,90000,15.79M,15.79M,NEW,1.1%
546347105,LPX,LOUISIANA PAC CORP,1093055,164643,100.54M,15.14M,+17.7%,7.2%
874039100,TSM,TAIWAN SEMICONDUCTOR MFG LTD,381954,89100,63.4M,14.79M,+30.4%,4.5%
G4124C109,GRAB,GRAB HOLDINGS LIMITED,4635000,2995000,21M,13.57M,+182.6%,1.5%
69370C100,PTC,PTC INC,164989,84100,25.57M,13.03M,+104%,1.8%
146869102,CVNA,CARVANA CO,160817,48900,33.62M,10.22M,+43.7%,2.4%
75734B100,RDDT,REDDIT INC,135000,85700,14.16M,8.99M,+173.8%,1%
82509L107,SHOP,SHOPIFY INC,91800,91800,8.77M,8.77M,NEW,0.63%
824348106,SHW,SHERWIN WILLIAMS CO,24100,24100,8.42M,8.42M,NEW,0.6%
09581B103,OWL,BLUE OWL CAPITAL INC,3635765,389300,72.86M,7.8M,+12%,5.2%
023135106,AMZN,AMAZON COM INC,837477,20125,159.34M,3.83M,+2.5%,11.4%
98980F104,GTM,ZOOMINFO TECHNOLOGIES INC,928480,0,9.28M,0,NO CHANGE,0.67%
36828A101,GEV,GE VERNOVA INC,162773,-3952,49.69M,-1.21M,-2.4%,3.6%
88160R101,TSLA,TESLA INC,36200,-9800,9.38M,-2.54M,-21.3%,0.67%
64110L106,NFLX,NETFLIX INC,20200,-2900,18.84M,-2.7M,-12.6%,1.4%
21037T109,CEG,CONSTELLATION ENERGY CORP,134400,-16900,27.1M,-3.41M,-11.2%,1.9%
25401T603,DBRG,DIGITALBRIDGE GROUP INC,2169971,-440000,19.14M,-3.88M,-16.9%,1.4%
22266T109,CPNG,COUPANG INC,0,-176800,0,-3.89M,CLOSE,0%
70932M107,PFSI,PENNYMAC FINL SVCS INC NEW,86800,-41000,8.69M,-4.1M,-32.1%,0.62%
L8681T102,SPOT,SPOTIFY TECHNOLOGY S A,0,-9200,0,-4.12M,CLOSE,0%
09857L108,BKNG,BOOKING HOLDINGS INC,7350,-1000,33.86M,-4.61M,-12%,2.4%
03769M106,APO,APOLLO GLOBAL MGMT INC,51800,-49100,7.09M,-6.72M,-48.7%,0.51%
294429105,EFX,EQUIFAX INC,0,-31850,0,-8.12M,CLOSE,0%
25809K105,DASH,DOORDASH INC,503376,-68600,92M,-12.54M,-12%,6.6%
89400J107,TRU,TRANSUNION,0,-166739,0,-15.46M,CLOSE,0%
52110M109,LAZ,LAZARD INC,0,-329080,0,-16.94M,CLOSE,0%
31488V107,FERG,FERGUSON ENTERPRISES INC,26500,-124400,4.25M,-19.93M,-82.4%,0.3%
88023U101,SGI,SOMNIGROUP INTERNATIONAL INC,856898,-346200,51.31M,-20.73M,-28.8%,3.7%
03831W108,APP,APPLOVIN CORP,144754,-93200,38.36M,-24.7M,-39.2%,2.7%
79466L302,CRM,SALESFORCE INC,0,-141260,0,-47.23M,CLOSE,0%
594918104,MSFT,MICROSOFT CORP,44705,-163400,16.78M,-61.34M,-78.5%,1.2%
30303M102,META,META PLATFORMS INC,0,-112719,0,-66M,CLOSE,0%
Total,,,,,1.39B,17.19M,+1.1%,100%
