CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
01609W102,BABA,ALIBABA GROUP HLDG LTD,300000,300000,39.67M,39.67M,NEW,5.2%
91332U101,U,UNITY SOFTWARE INC,591500,591500,11.59M,11.59M,NEW,1.5%
722304102,PDD,PDD HOLDINGS INC,453250,0,53.64M,0,NO CHANGE,7%
771049103,RBLX,ROBLOX CORP,642000,-123000,37.42M,-7.17M,-16.1%,4.9%
G6683N103,NU,NU HLDGS LTD,3902000,-749000,39.96M,-7.67M,-16.1%,5.2%
N97284108,NBIS,NEBIUS GROUP N.V.,2170476,-1020000,45.82M,-21.53M,-32%,6%
G4124C109,GRAB,GRAB HOLDINGS LIMITED,0,-4953000,0,-23.38M,CLOSE,0%
58733R102,MELI,MERCADOLIBRE INC,9500,-16300,18.53M,-31.8M,-63.2%,2.4%
81141R100,SE,SEA LTD,3968088,-275537,517.8M,-35.95M,-6.5%,67.7%
Total,,,,,764.43M,-76.25M,-10.3%,100%
