CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
N6596X109,NXPI,NXP SEMICONDUCTORS N V,62315,62315,11.84M,11.84M,NEW,3.6%
482480100,KLAC,KLA CORP,16862,16862,11.46M,11.46M,NEW,3.5%
80004C200,SNDK,SANDISK CORP,193600,193600,9.22M,9.22M,NEW,2.8%
803054204,SAP,SAP SE,33629,33629,9.03M,9.03M,NEW,2.8%
595112103,MU,MICRON TECHNOLOGY INC,100000,100000,8.69M,8.69M,NEW,2.7%
01609W102,BABA,ALIBABA GROUP HLDG LTD,62574,62574,8.27M,8.27M,NEW,2.5%
57636Q104,MA,MASTERCARD INCORPORATED,40955,14955,22.45M,8.2M,+57.5%,6.9%
64110L106,NFLX,NETFLIX INC,8779,8779,8.19M,8.19M,NEW,2.5%
461202103,INTU,INTUIT,10722,10722,6.58M,6.58M,NEW,2%
81141R100,SE,SEA LTD,49426,49426,6.45M,6.45M,NEW,2%
30303M102,META,META PLATFORMS INC,20702,10702,11.93M,6.17M,+107%,3.7%
M7S64H106,MNDY,MONDAY COM LTD,22400,22400,5.45M,5.45M,NEW,1.7%
458140100,INTC,INTEL CORP,330000,230000,7.49M,5.22M,+230%,2.3%
G1151C101,ACN,ACCENTURE PLC IRELAND,16100,16100,5.02M,5.02M,NEW,1.5%
26603R106,DUOL,DUOLINGO INC,15027,15027,4.67M,4.67M,NEW,1.4%
M2682V108,CYBR,CYBERARK SOFTWARE LTD,13067,13067,4.42M,4.42M,NEW,1.4%
861012102,STM,STMICROELECTRONICS N V,200684,200684,4.41M,4.41M,NEW,1.4%
48203R104,JNPR,JUNIPER NETWORKS INC,108109,108109,3.91M,3.91M,NEW,1.2%
98954M200,Z,ZILLOW GROUP INC,136581,56581,9.36M,3.88M,+70.7%,2.9%
337738108,FISV,FISERV INC,26548,17548,5.86M,3.88M,+195%,1.8%
11135F101,AVGO,BROADCOM INC,23000,23000,3.85M,3.85M,NEW,1.2%
007903107,AMD,ADVANCED MICRO DEVICES INC,35551,35551,3.65M,3.65M,NEW,1.1%
70450Y103,PYPL,PAYPAL HLDGS INC,55097,55097,3.6M,3.6M,NEW,1.1%
697435105,PANW,PALO ALTO NETWORKS INC,20000,20000,3.41M,3.41M,NEW,1.1%
55024U109,LITE,LUMENTUM HLDGS INC,83512,53512,5.21M,3.34M,+178.4%,1.6%
M22465104,CHKP,CHECK POINT SOFTWARE TECH LT,35993,13993,8.2M,3.19M,+63.6%,2.5%
15101Q207,CLS,CELESTICA INC,40000,40000,3.15M,3.15M,NEW,0.97%
040413205,ANET,ARISTA NETWORKS INC,39774,39774,3.08M,3.08M,NEW,0.95%
722304102,PDD,PDD HOLDINGS INC,23334,23334,2.76M,2.76M,NEW,0.85%
770700102,HOOD,ROBINHOOD MKTS INC,60704,60704,2.53M,2.53M,NEW,0.78%
03831W108,APP,APPLOVIN CORP,18000,9500,4.77M,2.52M,+111.8%,1.5%
958102105,WDC,WESTERN DIGITAL CORP,120027,55027,4.85M,2.22M,+84.7%,1.5%
81730H109,S,SENTINELONE INC,116106,116106,2.11M,2.11M,NEW,0.65%
771049103,RBLX,ROBLOX CORP,25000,25000,1.46M,1.46M,NEW,0.45%
934550203,WMG,WARNER MUSIC GROUP CORP,40000,40000,1.25M,1.25M,NEW,0.39%
G3643J108,FLUT,FLUTTER ENTMT PLC,16409,4909,3.64M,1.09M,+42.7%,1.1%
69608A108,PLTR,PALANTIR TECHNOLOGIES INC,12000,12000,1.01M,1.01M,NEW,0.31%
704326107,PAYX,PAYCHEX INC,26117,6117,4.03M,943.73K,+30.6%,1.2%
15677J108,DAY,DAYFORCE INC,50765,13765,2.96M,802.91K,+37.2%,0.91%
679295105,OKTA,OKTA INC,43024,5024,4.53M,528.63K,+13.2%,1.4%
67066G104,NVDA,NVIDIA CORPORATION,46778,4278,5.07M,463.65K,+10.1%,1.6%
18915M107,NET,CLOUDFLARE INC,70000,0,7.89M,0,NO CHANGE,2.4%
512807306,LRCX,LAM RESEARCH CORP,197102,-2898,14.33M,-210.68K,-1.4%,4.4%
34959E109,FTNT,FORTINET INC,57500,-2500,5.53M,-240.65K,-4.2%,1.7%
871607107,SNPS,SYNOPSYS INC,0,-1000,0,-485.36K,CLOSE,0%
032654105,ADI,ANALOG DEVICES INC,57168,-2832,11.53M,-571.13K,-4.7%,3.5%
049468101,TEAM,ATLASSIAN CORPORATION,15891,-4109,3.37M,-871.97K,-20.5%,1%
83088M102,SWKS,SKYWORKS SOLUTIONS INC,49051,-15949,3.17M,-1.03M,-24.5%,0.98%
254687106,DIS,DISNEY WALT CO,41730,-13270,4.12M,-1.31M,-24.1%,1.3%
17275R102,CSCO,CISCO SYS INC,146963,-23037,9.07M,-1.42M,-13.6%,2.8%
72352L106,PINS,PINTEREST INC,0,-50000,0,-1.45M,CLOSE,0%
457152106,INGM,INGRAM MICRO HLDG CORP,0,-80000,0,-1.55M,CLOSE,0%
882508104,TXN,TEXAS INSTRS INC,0,-10000,0,-1.88M,CLOSE,0%
19260Q107,COIN,COINBASE GLOBAL INC,0,-9000,0,-2.23M,CLOSE,0%
88160R101,TSLA,TESLA INC,0,-6000,0,-2.42M,CLOSE,0%
565394103,CART,MAPLEBEAR INC,90350,-61478,3.6M,-2.45M,-40.5%,1.1%
89677Q107,TCOM,TRIP COM GROUP LTD,35989,-40011,2.29M,-2.54M,-52.6%,0.7%
