CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
023135106,AMZN,AMAZON COM INC,77610,41553,14.77M,7.91M,+115.2%,14.8%
38141G104,GS,GOLDMAN SACHS GROUP INC,11980,11980,6.54M,6.54M,NEW,6.6%
983134107,WYNN,WYNN RESORTS LTD,77920,77920,6.51M,6.51M,NEW,6.5%
617446448,MS,MORGAN STANLEY,55424,55424,6.47M,6.47M,NEW,6.5%
009066101,ABNB,AIRBNB INC,51181,51181,6.11M,6.11M,NEW,6.1%
30303M102,META,META PLATFORMS INC,10234,10234,5.9M,5.9M,NEW,5.9%
64110L106,NFLX,NETFLIX INC,6101,6101,5.69M,5.69M,NEW,5.7%
448579102,H,HYATT HOTELS CORP,53376,31679,6.54M,3.88M,+146%,6.6%
01609W102,BABA,ALIBABA GROUP HLDG LTD,54335,14583,7.18M,1.93M,+36.7%,7.2%
88160R101,TSLA,TESLA INC,130246,-107354,33.75M,-27.82M,-45.2%,33.9%
Total,,,,,99.46M,23.11M,+20.9%,100%
