CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
29446Y502,EQX,EQUINOX GOLD CORP,33000000,33000000,226.83M,226.83M,NEW,43.2%
80013R206,SAND,SANDSTORM GOLD LTD,20851772,20851772,157.09M,157.09M,NEW,29.9%
83056P715,SKE,SKEENA RES LTD NEW,7720340,7720340,77.86M,77.86M,NEW,14.8%
46655E100,DC,DAKOTA GOLD CORP,9711503,9711503,25.74M,25.74M,NEW,4.9%
44955L106,IAUX,I-80 GOLD CORP,20727351,20727351,12.24M,12.24M,NEW,2.3%
46578C108,IE,IVANHOE ELECTRIC INC,889694,889694,5.17M,5.17M,NEW,0.98%
29258Y103,EXK,ENDEAVOUR SILVER CORP,84691,84691,361.4K,361.4K,NEW,0.07%
59151K108,MEOH,METHANEX CORP,9243,9243,324.15K,324.15K,NEW,0.06%
91912E105,VALE,VALE S A,32161,32161,320.97K,320.97K,NEW,0.06%
443628102,HBM,HUDBAY MINERALS INC,41580,41580,315.28K,315.28K,NEW,0.06%
55903Q104,MAG,MAG SILVER CORP,17512,17512,266.42K,266.42K,NEW,0.05%
156431108,CENX,CENTURY ALUM CO,11205,11205,207.97K,207.97K,NEW,0.04%
185899101,CLF,CLEVELAND-CLIFFS INC NEW,18085,18085,148.66K,148.66K,NEW,0.03%
19425C100,CNL,COLLECTIVE MINING LTD,12570,12570,109.64K,109.64K,NEW,0.02%
H5012F103,LAR,LITHIUM ARGENTINA AG,48005,48005,102.73K,102.73K,NEW,0.02%
192108504,CDE,COEUR MNG INC,17027,17027,100.8K,100.8K,NEW,0.02%
292671708,UUUU,ENERGY FUELS INC,26072,26072,97.25K,97.25K,NEW,0.02%
83419D201,SLSR,SOLARIS RES INC,5454201,0,18.35M,0,NO CHANGE,3.5%
38071H106,GROY,GOLD ROYALTY CORP,0,-950000,0,-1.15M,CLOSE,0%
Total,,,,,525.63M,506.13M,+2802.4%,100%
