CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
88557W101,QFIN,QIFU TECHNOLOGY INC,555000,555000,24.93M,24.93M,NEW,9.4%
02079K107,GOOG,ALPHABET INC,222774,13774,34.8M,2.15M,+6.6%,13.2%
15135U109,CVE,CENOVUS ENERGY INC,1165000,60000,16.21M,834.6K,+5.4%,6.1%
243537107,DECK,DECKERS OUTDOOR CORP,258900,-25000,28.95M,-2.8M,-8.8%,11%
92189F106,GDX,VANECK ETF TRUST,776300,-62000,35.69M,-2.85M,-7.4%,13.5%
92189F791,GDXJ,VANECK ETF TRUST,612200,-78000,35.02M,-4.46M,-11.3%,13.3%
722304102,PDD,PDD HOLDINGS INC,160700,-70000,19.02M,-8.28M,-30.3%,7.2%
867224107,SU,SUNCOR ENERGY INC NEW,0,-339000,0,-12.1M,CLOSE,0%
00108J109,ACMR,ACM RESH INC,0,-1374699,0,-20.76M,CLOSE,0%
647581206,EDU,NEW ORIENTAL ED & TECHNOLOGY,0,-426272,0,-27.36M,CLOSE,0%
03831W108,APP,APPLOVIN CORP,262218,-398882,69.48M,-105.69M,-60.3%,26.3%
Total,,,,,264.08M,-156.38M,-33.4%,100%
