CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
235851102,DHR,DANAHER CORPORATION,3163561,1815017,648.53M,372.08M,+134.6%,1.8%
30303M102,META,META PLATFORMS INC,628604,536835,362.3M,309.41M,+585%,1%
032654105,ADI,ANALOG DEVICES INC,1680389,1380695,338.88M,278.44M,+460.7%,0.95%
007903107,AMD,ADVANCED MICRO DEVICES INC,2166693,2166693,222.61M,222.61M,NEW,0.63%
136385101,CNQ,CANADIAN NAT RES LTD,7020820,6672916,216.25M,205.53M,+1918%,0.61%
60937P106,MDB,MONGODB INC,1394393,1155682,244.58M,202.71M,+484.1%,0.69%
438516106,HON,HONEYWELL INTL INC,883831,883831,187.15M,187.15M,NEW,0.53%
337932107,FE,FIRSTENERGY CORP,4126511,4126511,166.79M,166.79M,NEW,0.47%
03027X100,AMT,AMERICAN TOWER CORP NEW,1391242,738197,302.73M,160.63M,+113%,0.85%
060505104,BAC,BANK AMERICA CORP,5206406,3767426,217.26M,157.21M,+261.8%,0.61%
219350105,GLW,CORNING INC,5071879,3281046,232.19M,150.21M,+183.2%,0.65%
72352L106,PINS,PINTEREST INC,4591816,4591816,142.35M,142.35M,NEW,0.4%
053332102,AZO,AUTOZONE INC,36599,36599,139.54M,139.54M,NEW,0.39%
380237107,GDDY,GODADDY INC,1287174,771565,231.87M,138.99M,+149.6%,0.65%
808513105,SCHW,SCHWAB CHARLES CORP,2654931,1767794,207.83M,138.38M,+199.3%,0.58%
594972AJ0,MSTR,MICROSTRATEGY INC,62500000,62500000,127.29M,127.29M,NEW,0.36%
742718109,PG,PROCTER AND GAMBLE CO,736248,736248,125.47M,125.47M,NEW,0.35%
G25457105,CRDO,CREDO TECHNOLOGY GROUP HOLDI,6197532,3112911,248.89M,125.01M,+100.9%,0.7%
M87915274,TSEM,TOWER SEMICONDUCTOR LTD,7259936,3501362,258.89M,124.86M,+93.2%,0.73%
25278X109,FANG,DIAMONDBACK ENERGY INC,1541791,778745,246.5M,124.51M,+102.1%,0.69%
19247G107,COHR,COHERENT CORP,3473829,1913183,225.59M,124.24M,+122.6%,0.63%
03073E105,COR,CENCORA INC,435734,435734,121.17M,121.17M,NEW,0.34%
30161N101,EXC,EXELON CORP,2623598,2623598,120.9M,120.9M,NEW,0.34%
66987V109,NVS,NOVARTIS AG,1082375,1082375,120.66M,120.66M,NEW,0.34%
81141R100,SE,SEA LTD,3054020,893525,398.52M,116.6M,+41.4%,1.1%
842587DP9,SO,SOUTHERN CO,104000000,104000000,116.58M,116.58M,NEW,0.33%
14040H105,COF,CAPITAL ONE FINL CORP,1027409,645679,184.21M,115.77M,+169.1%,0.52%
49271V100,KDP,KEURIG DR PEPPER INC,6850796,3342259,234.43M,114.37M,+95.3%,0.66%
75281A109,RRC,RANGE RES CORP,2783668,2783668,111.15M,111.15M,NEW,0.31%
303250104,FICO,FAIR ISAAC CORP,58395,58395,107.69M,107.69M,NEW,0.3%
171779309,CIEN,CIENA CORP,1991253,1736443,120.33M,104.93M,+681.5%,0.34%
666807102,NOC,NORTHROP GRUMMAN CORP,204080,204080,104.49M,104.49M,NEW,0.29%
406216101,HAL,HALLIBURTON CO,4103175,4103175,104.1M,104.1M,NEW,0.29%
G8473T100,STE,STERIS PLC,458022,458022,103.81M,103.81M,NEW,0.29%
35671D857,FCX,FREEPORT-MCMORAN INC,2706310,2706310,102.46M,102.46M,NEW,0.29%
844741108,LUV,SOUTHWEST AIRLS CO,2930711,2930711,98.41M,98.41M,NEW,0.28%
23331A109,DHI,D R HORTON INC,765992,765992,97.38M,97.38M,NEW,0.27%
036752103,ELV,ELEVANCE HEALTH INC,217598,217598,94.65M,94.65M,NEW,0.27%
N3167Y103,RACE,FERRARI N V,213839,213839,91.5M,91.5M,NEW,0.26%
723484101,PNW,PINNACLE WEST CAP CORP,902539,902539,85.97M,85.97M,NEW,0.24%
L8681T102,SPOT,SPOTIFY TECHNOLOGY S A,505476,156121,278.03M,85.87M,+44.7%,0.78%
92840M102,VST,VISTRA CORP,1574665,722954,184.93M,84.9M,+84.9%,0.52%
30225T102,EXR,EXTRA SPACE STORAGE INC,580264,564157,86.16M,83.77M,+3502.6%,0.24%
11135F101,AVGO,BROADCOM INC,1131946,495298,189.52M,82.93M,+77.8%,0.53%
02043Q107,ALNY,ALNYLAM PHARMACEUTICALS INC,300635,300635,81.18M,81.18M,NEW,0.23%
55405Y100,MTSI,MACOM TECH SOLUTIONS HLDGS I,2775406,802952,278.6M,80.6M,+40.7%,0.78%
22266T109,CPNG,COUPANG INC,3675588,3656988,80.61M,80.2M,+19661.2%,0.23%
65290E101,NXT,NEXTRACKER INC,1898951,1898951,80.02M,80.02M,NEW,0.22%
60741F104,MBLY,MOBILEYE GLOBAL INC,5556618,5556618,79.99M,79.99M,NEW,0.22%
243537107,DECK,DECKERS OUTDOOR CORP,720954,699297,80.61M,78.19M,+3229%,0.23%
25243Q205,DEO,DIAGEO PLC,727901,727901,76.28M,76.28M,NEW,0.21%
550021109,LULU,LULULEMON ATHLETICA INC,268815,268815,76.09M,76.09M,NEW,0.21%
876030107,TPR,TAPESTRY INC,2626335,1073713,184.92M,75.6M,+69.2%,0.52%
46284V101,IRM,IRON MTN INC DEL,2075282,874622,178.56M,75.25M,+72.8%,0.5%
693506107,PPG,PPG INDS INC,680907,680907,74.46M,74.46M,NEW,0.21%
20030N101,CMCSA,COMCAST CORP NEW,4042329,2000624,149.16M,73.82M,+98%,0.42%
595017104,MCHP,MICROCHIP TECHNOLOGY INC.,1502471,1502471,72.73M,72.73M,NEW,0.2%
92939U106,WEC,WEC ENERGY GROUP INC,656520,656520,71.55M,71.55M,NEW,0.2%
741623102,PRMB,PRIMO BRANDS CORPORATION,1995744,1995744,70.83M,70.83M,NEW,0.2%
61945C103,MOS,MOSAIC CO NEW,4180042,2618983,112.9M,70.74M,+167.8%,0.32%
30034WAD8,EVRG,EVERGY INC,60000000,60000000,70.52M,70.52M,NEW,0.2%
16679L109,CHWY,CHEWY INC,2376023,2131842,77.24M,69.31M,+873.1%,0.22%
26614N102,DD,DUPONT DE NEMOURS INC,1062990,926385,79.38M,69.18M,+678.1%,0.22%
31488V107,FERG,FERGUSON ENTERPRISES INC,503027,429110,80.6M,68.76M,+580.5%,0.23%
464288646,IGSB,ISHARES TR,2432000,1307000,127.36M,68.45M,+116.2%,0.36%
146869102,CVNA,CARVANA CO,882148,317655,184.44M,66.42M,+56.3%,0.52%
834203309,SLNO,SOLENO THERAPEUTICS INC,915995,915995,65.45M,65.45M,NEW,0.18%
09857L108,BKNG,BOOKING HOLDINGS INC,52069,14191,239.88M,65.38M,+37.5%,0.67%
209115104,ED,CONSOLIDATED EDISON INC,591053,591053,65.36M,65.36M,NEW,0.18%
90138A103,VNET,VNET GROUP INC,8388402,7962502,68.78M,65.29M,+1869.6%,0.19%
46438F101,IBIT,ISHARES BITCOIN TRUST ETF,4250022,1389053,198.94M,65.02M,+48.6%,0.56%
G51502105,JCI,JOHNSON CTLS INTL PLC,1319849,806400,105.73M,64.6M,+157.1%,0.3%
28176E108,EW,EDWARDS LIFESCIENCES CORP,1468733,880527,106.45M,63.82M,+149.7%,0.3%
23282W605,CYTK,CYTOKINETICS INC,1722984,1553071,69.25M,62.42M,+914%,0.19%
91324P102,UNH,UNITEDHEALTH GROUP INC,495821,119003,259.69M,62.33M,+31.6%,0.73%
02079K305,GOOGL,ALPHABET INC,401962,401962,62.16M,62.16M,NEW,0.17%
403949100,DINO,HF SINCLAIR CORP,1877884,1810248,61.74M,59.52M,+2676.5%,0.17%
254687106,DIS,DISNEY WALT CO,3696578,596465,364.85M,58.87M,+19.2%,1%
816851109,SRE,SEMPRA,808552,808552,57.7M,57.7M,NEW,0.16%
90184D100,TWST,TWIST BIOSCIENCE CORP,1432852,1432852,56.25M,56.25M,NEW,0.16%
30034W106,EVRG,EVERGY INC,3148161,809474,217.07M,55.81M,+34.6%,0.61%
09062X103,BIIB,BIOGEN INC,407257,407257,55.73M,55.73M,NEW,0.16%
840441109,SSB,SOUTHSTATE CORPORATION,600383,600383,55.73M,55.73M,NEW,0.16%
M6191J100,FROG,JFROG LTD,1738711,1738711,55.64M,55.64M,NEW,0.16%
653656108,NICE,NICE LTD,360400,360400,55.56M,55.56M,NEW,0.16%
69331C108,PCG,PG&E CORP,15142837,3198718,260.15M,54.95M,+26.8%,0.73%
949746101,WFC,WELLS FARGO CO NEW,1980049,763971,142.15M,54.85M,+62.8%,0.4%
55024U109,LITE,LUMENTUM HLDGS INC,3827414,874624,238.6M,54.52M,+29.6%,0.67%
45866F104,ICE,INTERCONTINENTAL EXCHANGE IN,313769,313769,54.13M,54.13M,NEW,0.15%
07725L102,ONC,BEIGENE LTD,223443,198277,60.81M,53.97M,+787.9%,0.17%
G87110105,FTI,TECHNIPFMC PLC,1731768,1688050,54.88M,53.49M,+3861.2%,0.15%
459506101,IFF,INTERNATIONAL FLAVORS&FRAGRA,1120885,674699,86.99M,52.36M,+151.2%,0.24%
828806109,SPG,SIMON PPTY GROUP INC NEW,308232,308232,51.19M,51.19M,NEW,0.14%
69047Q102,OVV,OVINTIV INC,1245229,1175229,53.3M,50.3M,+1678.9%,0.15%
71654V408,PBR,PETROLEO BRASILEIRO SA PETRO,3473812,3473812,49.81M,49.81M,NEW,0.14%
216648501,COO,COOPER COS INC,768702,589563,64.84M,49.73M,+329.1%,0.18%
