CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
52603B107,TREE,LENDINGTREE INC NEW,438795,438795,22.06M,22.06M,NEW,1.7%
82452J109,FOUR,SHIFT4 PMTS INC,406499,265528,33.22M,21.7M,+188.4%,2.5%
53635B107,LQDT,LIQUIDITY SVCS INC,626358,626358,19.42M,19.42M,NEW,1.5%
78442P106,SLM,SLM CORP,1512274,611755,44.42M,17.97M,+67.9%,3.4%
278642103,EBAY,EBAY INC.,474658,236526,32.15M,16.02M,+99.3%,2.4%
25401T603,DBRG,DIGITALBRIDGE GROUP INC,2266652,1474720,19.99M,13.01M,+186.2%,1.5%
607828100,MOD,MODINE MFG CO,493575,164676,37.88M,12.64M,+50.1%,2.9%
68373M107,OPRA,OPERA LTD,1529691,781342,24.38M,12.45M,+104.4%,1.9%
056752108,BIDU,BAIDU INC,134546,134546,12.38M,12.38M,NEW,0.94%
G3934V109,GENI,GENIUS SPORTS LIMITED,4281255,1211697,42.86M,12.13M,+39.5%,3.3%
227046109,CROX,CROCS INC,194210,112780,20.63M,11.98M,+138.5%,1.6%
86800U302,SMCI,SUPER MICRO COMPUTER INC,433863,340179,14.86M,11.65M,+363.1%,1.1%
G39108108,GTES,GATES INDL CORP PLC,1731408,614170,31.88M,11.31M,+55%,2.4%
26856L103,ELF,E L F BEAUTY INC,395252,165254,24.82M,10.38M,+71.9%,1.9%
14843C105,CSTL,CASTLE BIOSCIENCES INC,1265223,488644,25.33M,9.78M,+62.9%,1.9%
91307C102,UTHR,UNITED THERAPEUTICS CORP DEL,45068,30819,13.89M,9.5M,+216.3%,1.1%
267475101,DY,DYCOM INDS INC,81002,57754,12.34M,8.8M,+248.4%,0.94%
401617105,GES,GUESS INC,776182,776182,8.59M,8.59M,NEW,0.65%
91688F104,UPWK,UPWORK INC,644548,644548,8.41M,8.41M,NEW,0.64%
92835K103,VPG,VISHAY PRECISION GROUP INC,820973,328772,19.78M,7.92M,+66.8%,1.5%
402635502,GPOR,GULFPORT ENERGY CORP,40488,40488,7.46M,7.46M,NEW,0.57%
14167L103,CDNA,CAREDX INC,411683,411683,7.31M,7.31M,NEW,0.56%
733245104,PRCH,PORCH GROUP INC,3292276,992641,24M,7.24M,+43.2%,1.8%
739128106,POWL,POWELL INDS INC,53224,40631,9.07M,6.92M,+322.6%,0.69%
56146T103,MAMA,MAMAS CREATIONS INC,1817293,998789,11.83M,6.5M,+122%,0.9%
94724R108,WEAV,WEAVE COMMUNICATIONS INC,952162,518667,10.56M,5.75M,+119.6%,0.8%
26142V105,DKNG,DRAFTKINGS INC NEW,492422,171839,16.35M,5.71M,+53.6%,1.2%
55406W103,LUXE,MYT NETHERLANDS PARENT B V,2628728,725443,19.87M,5.48M,+38.1%,1.5%
39304D102,GDOT,GREEN DOT CORP,636067,636067,5.37M,5.37M,NEW,0.41%
516544103,LNTH,LANTHEUS HLDGS INC,867309,54679,84.65M,5.34M,+6.7%,6.4%
15118V207,CELH,CELSIUS HLDGS INC,142549,142549,5.08M,5.08M,NEW,0.39%
668771108,GEN,GEN DIGITAL INC,187169,187169,4.97M,4.97M,NEW,0.38%
62855J104,MYGN,MYRIAD GENETICS INC,549922,549922,4.88M,4.88M,NEW,0.37%
013091103,ACI,ALBERTSONS COS INC,709576,219596,15.6M,4.83M,+44.8%,1.2%
257554105,DOMO,DOMO INC,584277,584277,4.53M,4.53M,NEW,0.34%
68376D104,OPRT,OPORTUN FINL CORP,818354,818354,4.49M,4.49M,NEW,0.34%
76674Q107,RMNI,RIMINI STR INC DEL,1235224,1235224,4.3M,4.3M,NEW,0.33%
75585H206,REAX,THE REAL BROKERAGE INC,1023099,1023099,4.15M,4.15M,NEW,0.32%
N30577105,ZGN,ERMENEGILDO ZEGNA N V,957202,551465,7.08M,4.08M,+135.9%,0.54%
665531307,NOG,NORTHERN OIL &GAS INC,331955,134921,10.04M,4.08M,+68.5%,0.76%
36266G107,GEHC,GE HEALTHCARE TECHNOLOGIES I,47443,47443,3.83M,3.83M,NEW,0.29%
488401100,KMPR,KEMPER CORP,286557,56360,19.16M,3.77M,+24.5%,1.5%
338307101,FIVN,FIVE9 INC,138255,138255,3.75M,3.75M,NEW,0.29%
876030107,TPR,TAPESTRY INC,247107,49207,17.4M,3.46M,+24.9%,1.3%
50077B207,KTOS,KRATOS DEFENSE &SEC SOLUTIO,1460730,112653,43.37M,3.34M,+8.4%,3.3%
87043Q108,SG,SWEETGREEN INC,439850,132849,11.01M,3.32M,+43.3%,0.84%
89377M109,TMDX,TRANSMEDICS GROUP INC,47536,47536,3.2M,3.2M,NEW,0.24%
75321W103,PACK,RANPAK HOLDINGS CORP,573622,573622,3.11M,3.11M,NEW,0.24%
46571Y107,IIIV,I3 VERTICALS INC,789156,113021,19.47M,2.79M,+16.7%,1.5%
73754Y100,PBPB,POTBELLY CORP,1276612,290335,12.14M,2.76M,+29.4%,0.92%
750491102,RDNT,RADNET INC,478406,54066,23.79M,2.69M,+12.7%,1.8%
30041R108,EVER,EVERQUOTE INC,100552,100552,2.63M,2.63M,NEW,0.2%
42225T107,HCAT,HEALTH CATALYST INC,1317079,568050,5.97M,2.57M,+75.8%,0.45%
74766Q101,QTRX,QUANTERIX CORP,2963397,375573,19.29M,2.44M,+14.5%,1.5%
567908108,HZO,MARINEMAX INC,322105,110145,6.93M,2.37M,+52%,0.53%
64111Q104,NTGR,NETGEAR INC,283092,90878,6.92M,2.22M,+47.3%,0.53%
M2197Q107,CLBT,CELLEBRITE DI LTD,988992,74136,19.22M,1.44M,+8.1%,1.5%
535219109,LIND,LINDBLAD EXPEDITIONS HLDGS I,689246,144973,6.39M,1.34M,+26.6%,0.49%
10948C107,BV,BRIGHTVIEW HLDGS INC,421336,94662,5.41M,1.22M,+29%,0.41%
8676EP108,STKL,SUNOPTA INC,1894080,226582,9.21M,1.1M,+13.6%,0.7%
98956A105,ZETA,ZETA GLOBAL HOLDINGS CORP,741852,77489,10.06M,1.05M,+11.7%,0.76%
500688106,KOS,KOSMOS ENERGY LTD,2011814,394308,4.59M,899.02K,+24.4%,0.35%
438333106,HNST,HONEST CO INC,5519206,160205,25.94M,752.96K,+3%,2%
M84137104,SMWB,SIMILARWEB LTD,370191,87288,3.06M,721.87K,+30.9%,0.23%
137404109,CADL,CANDEL THERAPEUTICS INC,881184,127439,4.98M,720.03K,+16.9%,0.38%
70451X104,PAYO,PAYONEER GLOBAL INC,2243548,69989,16.4M,511.62K,+3.2%,1.2%
90041L105,TPB,TURNING PT BRANDS INC,70451,6940,4.19M,412.51K,+10.9%,0.32%
346563109,FORR,FORRESTER RESH INC,280114,28641,2.59M,264.64K,+11.4%,0.2%
G7709Q104,RPRX,ROYALTY PHARMA PLC,352257,8072,10.97M,251.28K,+2.3%,0.83%
92686J106,VKTX,VIKING THERAPEUTICS INC,138748,10328,3.35M,249.42K,+8%,0.25%
746237106,PRTC,PURETECH HEALTH PLC,11885,11885,235.09K,235.09K,NEW,0.02%
02079K107,GOOG,ALPHABET INC,6367,1300,994.72K,203.1K,+25.7%,0.08%
830566105,SKX,SKECHERS U S A INC,199867,1040,11.35M,59.05K,+0.5%,0.86%
874054109,TTWO,TAKE-TWO INTERACTIVE SOFTWAR,42729,233,8.86M,48.29K,+0.5%,0.67%
830830105,SKY,CHAMPION HOMES INC,8971,-25,850.09K,-2.37K,-0.3%,0.06%
147448104,CWST,CASELLA WASTE SYS INC,15303,-34,1.71M,-3.79K,-0.2%,0.13%
45170X205,INVE,IDENTIV INC,1044652,-2272,3.33M,-7.25K,-0.2%,0.25%
501270102,KRUS,KURA SUSHI USA INC,372999,-254,19.1M,-13K,-0.1%,1.5%
23204X103,CTOS,CUSTOM TRUCK ONE SOURCE INC,1397327,-54246,5.9M,-228.92K,-3.7%,0.45%
25961D105,DOUG,DOUGLAS ELLIMAN INC,0,-143000,0,-238.81K,CLOSE,0%
594918104,MSFT,MICROSOFT CORP,5797,-1051,2.18M,-394.53K,-15.3%,0.17%
44951W106,IESC,IES HLDGS INC,0,-2186,0,-439.3K,CLOSE,0%
30226D106,EXTR,EXTREME NETWORKS,0,-32917,0,-551.03K,CLOSE,0%
09624H208,BXC,BLUELINX HLDGS INC,24393,-10668,1.83M,-799.89K,-30.4%,0.14%
74967X103,RH,RH,0,-2077,0,-817.49K,CLOSE,0%
73933G202,PSIX,POWER SOLUTIONS INTL INC,296442,-44845,7.49M,-1.13M,-13.1%,0.57%
30303M102,META,META PLATFORMS INC,12443,-2264,7.17M,-1.3M,-15.4%,0.55%
G5S37H101,MRX,MAREX GROUP PLC,174196,-49418,6.15M,-1.75M,-22.1%,0.47%
077347300,BELFB,BEL FUSE INC,184224,-24246,13.79M,-1.82M,-11.6%,1%
816307300,SLQT,SELECTQUOTE INC,0,-503501,0,-1.87M,CLOSE,0%
