CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
03831W108,APP,Applovin Corp,52730,52730,13.97M,13.97M,NEW,4.5%
399909100,GGAL,Grupo Financiero Galicia SA,194992,194992,10.62M,10.62M,NEW,3.4%
11135F101,AVGO,Broadcom Inc,134649,55039,22.54M,9.22M,+69.1%,7.3%
30303M102,META,Meta Platforms Inc,60810,15004,35.05M,8.65M,+32.8%,11.3%
82452J109,FOUR,Shift4 Payments Inc,150902,80000,12.33M,6.54M,+112.8%,4%
420682058,ARM,Arm Holdings Plc,74044,31945,7.91M,3.41M,+75.9%,2.6%
19247G107,COHR,Coherent Corp,71568,27568,4.65M,1.79M,+62.7%,1.5%
69608A108,PLTR,Palantir Technologies Inc,15300,15300,1.29M,1.29M,NEW,0.42%
717051076,BLCO,Bausch Lomb Corp,811368,0,11.76M,0,NO CHANGE,3.8%
57636Q104,MA,MasterCard Inc,3100,0,1.7M,0,NO CHANGE,0.55%
75513E101,RTX,RTX Corp,5000,0,662.3K,0,NO CHANGE,0.21%
49338L103,KEYS,Keysight Technologies Inc,3650,0,546.66K,0,NO CHANGE,0.18%
40415F101,HDB,HDFC Bank Ltd,6500,0,431.86K,0,NO CHANGE,0.14%
83444M101,SOLV,Solventum Corp,4800,0,364.99K,0,NO CHANGE,0.12%
46266C105,IQV,IQVIA Holdings Inc,16302,-1440,2.87M,-253.87K,-8.1%,0.93%
848574109,SPR,Spirit Aerosystems Holdings Inc,0,-25017,0,-852.58K,CLOSE,0%
26818M108,DYN,Dyne Therapeutics Inc,98900,-132000,1.03M,-1.38M,-57.2%,0.33%
722304102,PDD,PDD Holdings Inc,0,-17000,0,-1.72M,CLOSE,0%
G25457105,CRDO,Credo Technology Group Holding Ltd,54000,-46000,2.17M,-1.85M,-46%,0.7%
47103N106,JBI,Janus International Group Inc,39443,-282911,283.99K,-2.04M,-87.8%,0.09%
883556102,TMO,Thermo Fisher Scientific Inc,1550,-5500,771.28K,-2.74M,-78%,0.25%
47103J105,JANX,Janux Therapeutics Inc,76800,-102507,2.07M,-2.77M,-57.2%,0.67%
336433107,FSLR,First Solar Inc,0,-15000,0,-2.79M,CLOSE,0%
23804L103,DDOG,Datadog Inc,0,-19649,0,-3.04M,CLOSE,0%
235851102,DHR,Danaher Corp,5600,-16000,1.15M,-3.28M,-74.1%,0.37%
874039100,TSM,Taiwan Semiconductor Manufacturing Co Ltd,22500,-28448,3.73M,-4.72M,-55.8%,1.2%
81762P102,NOW,SeviceNow Inc,1200,-6422,955.37K,-5.11M,-84.3%,0.31%
855244109,SBUX,Starbucks Corp,113140,-58860,11.1M,-5.77M,-34.2%,3.6%
01609W102,BABA,Alibaba Group Holding Ltd,0,-70000,0,-5.82M,CLOSE,0%
92840M102,VST,Vistra Corp,196740,-60649,23.11M,-7.12M,-23.6%,7.5%
19260Q107,COIN,Coinbase Global Inc,0,-25643,0,-8.09M,CLOSE,0%
47215P106,JD,JD.com Inc,0,-228000,0,-8.31M,CLOSE,0%
023135106,AMZN,Amazon.Com Inc,166158,-44221,31.61M,-8.41M,-21%,10.2%
02079K305,GOOGL,ALPHABET INC CLASS A,0,-62350,0,-11.8M,CLOSE,0%
92537N108,VRT,Vertiv Holdings Co,348824,-173261,25.19M,-12.51M,-33.2%,8.1%
532457108,LLY,Eli Lilly and Co,0,-16434,0,-12.69M,CLOSE,0%
144285103,CRS,Carpenter Technology Corp,24494,-82425,4.44M,-14.93M,-77.1%,1.4%
46438F101,IBIT,iShares Bitcoin Trust ETF,270000,-360000,12.64M,-16.85M,-57.1%,4.1%
970231058,BA,Boeing Co,0,-116465,0,-20.61M,CLOSE,0%
594918104,MSFT,Microsoft Corp,47981,-70174,18.01M,-26.34M,-59.4%,5.8%
88160R101,TSLA,Tesla Inc,50400,-124008,13.06M,-32.14M,-71.1%,4.2%
67066G104,NVDA,NVIDIA Corp,294617,-540313,31.93M,-58.56M,-64.7%,10.3%
Total,,,,,309.96M,-227.02M,-34.8%,100%
