CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
097023105,BA,BOEING CO,517000,40000,88.2M,6.82M,+8.4%,26.4%
09857L108,BKNG,BOOKING HOLDINGS INC,2500,1000,11.5M,4.6M,+66.7%,3.4%
482497104,BEKE,KE HLDGS INC,550000,150000,11.04M,3.01M,+37.5%,3.3%
90353T100,UBER,UBER TECHNOLOGIES INC,150000,40000,10.94M,2.92M,+36.4%,3.3%
233051879,ASHR,Xtrackers Hvst CSI300 CA,250000,100000,6.64M,2.66M,+66.7%,2%
090040106,BILI,BILIBILI INC,100000,100000,1.91M,1.91M,NEW,0.57%
500767306,KWEB,KRANESHARES TR,150000,50000,5.23M,1.74M,+50%,1.6%
00218A105,ASPI,ASP ISOTOPES INC,350000,131028,1.62M,606.66K,+59.8%,0.49%
50077B207,KTOS,KRATOS DEFENSE & SEC SOLUTIO,1773655,0,52.61M,0,NO CHANGE,15.8%
464287655,IWM,ISHARES TR,90000,0,17.96M,0,NO CHANGE,5.4%
02079K305,GOOGL,ALPHABET INC,80000,0,12.36M,0,NO CHANGE,3.7%
44332N106,HTHT,H WORLD GROUP LTD,250000,0,9.25M,0,NO CHANGE,2.8%
G17977110,BUR,BURFORD CAP LTD,575000,0,7.59M,0,NO CHANGE,2.3%
464287184,FXI,ISHARES TR,125000,0,4.48M,0,NO CHANGE,1.3%
23344D108,DADA,DADA NEXUS LTD,4121811,-491457,8.53M,-1.02M,-10.7%,2.6%
45841N107,IBKR,INTERACTIVE BROKERS GROUP IN,85000,-15000,14.08M,-2.48M,-15%,4.2%
G1466R173,BORR,BORR DRILLING LTD,0,-1300000,0,-5.07M,CLOSE,0%
13646K108,CP,CANADIAN PACIFIC KANSAS CITY,0,-150000,0,-10.86M,CLOSE,0%
G0772R208,NTB,BANK OF NT BUTTERFIELD&SON L,1549437,-244000,69.87M,-11M,-13.6%,20.9%
Total,,,,,333.81M,-6.16M,-1.9%,100%
