CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
874039100,TSM,TAIWAN SEMICONDUCTOR MFG LTD,195459,195459,32.45M,32.45M,NEW,11%
833445109,SNOW,SNOWFLAKE INC,196183,196183,28.67M,28.67M,NEW,9.7%
67066G104,NVDA,NVIDIA CORPORATION,780680,0,84.61M,0,NO CHANGE,28.7%
02079K305,GOOGL,ALPHABET INC,240312,-6740,37.16M,-1.04M,-2.7%,12.6%
023135106,AMZN,AMAZON COM INC,181952,-8708,34.62M,-1.66M,-4.6%,11.7%
594918104,MSFT,MICROSOFT CORP,65275,-16382,24.5M,-6.15M,-20.1%,8.3%
81762P102,NOW,SERVICENOW INC,32374,-10520,25.77M,-8.38M,-24.5%,8.7%
79466L302,CRM,SALESFORCE INC,101776,-31748,27.31M,-8.52M,-23.8%,9.3%
037833100,AAPL,APPLE INC,0,-186042,0,-46.59M,CLOSE,0%
Total,,,,,295.1M,-11.21M,-3.1%,100%
