CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
09857L108,BKNG,BOOKING HOLDINGS INC,55000,25000,253.38M,115.17M,+83.3%,11.3%
874039100,TSM,TAIWAN SEMICONDUCTOR MFG LTD,2025000,650000,336.15M,107.9M,+47.3%,15%
594918104,MSFT,MICROSOFT CORP,910000,260000,341.6M,97.6M,+40%,15.2%
023135106,AMZN,AMAZON COM INC,1660000,460000,315.83M,87.52M,+38.3%,14.1%
30303M102,META,META PLATFORMS INC,155000,105000,89.34M,60.52M,+210%,4%
02079K305,GOOGL,ALPHABET INC,2900000,225000,448.46M,34.79M,+8.4%,20%
049468101,TEAM,ATLASSIAN CORPORATION,0,-100000,0,-24.34M,CLOSE,0%
57636Q104,MA,MASTERCARD INCORPORATED,0,-50000,0,-26.33M,CLOSE,0%
92826C839,V,VISA INC,300000,-110000,105.14M,-38.55M,-26.8%,4.7%
64110L106,NFLX,NETFLIX INC,50000,-60000,46.63M,-55.95M,-54.5%,2.1%
20030N101,CMCSA,COMCAST CORP NEW,4850000,-2450000,178.97M,-90.41M,-33.6%,8%
78410G104,SBAC,SBA COMMUNICATIONS CORP NEW,0,-470000,0,-95.79M,CLOSE,0%
16119P108,CHTR,CHARTER COMMUNICATIONS INC N,250000,-350000,92.13M,-128.99M,-58.3%,4.1%
90353T100,UBER,UBER TECHNOLOGIES INC,500000,-2100000,36.43M,-153.01M,-80.8%,1.6%
Total,,,,,2.24B,-109.85M,-4.4%,100%
