CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
69608A108,PLTR,PALANTIR TECHNOLOGIES INC,52450,34950,4.43M,2.95M,+199.7%,1.9%
30303M102,META,META PLATFORMS INC,36480,4740,21.03M,2.73M,+14.9%,9.1%
02156V109,OKLO,OKLO INC,110500,90800,2.39M,1.96M,+460.9%,1%
86800U302,SMCI,SUPER MICRO COMPUTER INC,42600,42600,1.46M,1.46M,NEW,0.63%
042068205,ARM,ARM HOLDINGS PLC,18350,8625,1.96M,921.06K,+88.7%,0.84%
79466L302,CRM,SALESFORCE INC,3152,3152,845.87K,845.87K,NEW,0.36%
023135106,AMZN,AMAZON COM INC,39015,3250,7.42M,618.35K,+9.1%,3.2%
74347R206,QLD,PROSHARES TR,137765,4400,12.24M,391.07K,+3.3%,5.3%
81762P102,NOW,SERVICENOW INC,1150,450,915.56K,358.26K,+64.3%,0.39%
594918104,MSFT,MICROSOFT CORP,29879,685,11.22M,257.14K,+2.3%,4.8%
68389X105,ORCL,ORACLE CORP,6975,1575,975.17K,220.2K,+29.2%,0.42%
11135F101,AVGO,BROADCOM INC,59900,1150,10.03M,192.54K,+2%,4.3%
92189F676,SMH,VANECK ETF TRUST,16515,725,3.49M,153.32K,+4.6%,1.5%
90353T100,UBER,UBER TECHNOLOGIES INC,42925,1350,3.13M,98.36K,+3.2%,1.3%
25459W458,SOXL,DIREXION SHS ETF TR,231245,2800,3.69M,44.66K,+1.2%,1.6%
29273V100,ET,ENERGY TRANSFER L P,17400,1900,323.47K,35.32K,+12.3%,0.14%
697435105,PANW,PALO ALTO NETWORKS INC,27446,100,4.68M,17.06K,+0.4%,2%
02079K305,GOOGL,ALPHABET INC,62277,65,9.63M,10.05K,+0.1%,4.2%
007903107,AMD,ADVANCED MICRO DEVICES INC,4912,80,504.66K,8.22K,+1.7%,0.22%
N6596X109,NXPI,NXP SEMICONDUCTORS N V,7655,0,1.45M,0,NO CHANGE,0.63%
64110L106,NFLX,NETFLIX INC,1548,0,1.44M,0,NO CHANGE,0.62%
02079K107,GOOG,ALPHABET INC,6640,0,1.04M,0,NO CHANGE,0.45%
09260D107,BX,BLACKSTONE INC,6175,0,863.14K,0,NO CHANGE,0.37%
46625H100,JPM,JPMORGAN CHASE & CO.,2787,0,683.65K,0,NO CHANGE,0.29%
654106103,NKE,NIKE INC,7302,0,463.53K,0,NO CHANGE,0.2%
25434V401,DFUS,DIMENSIONAL ETF TRUST,7420,0,448.76K,0,NO CHANGE,0.19%
74347R214,BIB,PROSHARES TR,8000,0,385.44K,0,NO CHANGE,0.17%
747525103,QCOM,QUALCOMM INC,2236,0,343.47K,0,NO CHANGE,0.15%
478160104,JNJ,JOHNSON & JOHNSON,1947,0,322.89K,0,NO CHANGE,0.14%
24703L202,DELL,DELL TECHNOLOGIES INC,2500,0,227.88K,0,NO CHANGE,0.1%
38141G104,GS,GOLDMAN SACHS GROUP INC,395,0,215.78K,0,NO CHANGE,0.09%
247361702,DAL,DELTA AIR LINES INC DEL,4800,0,209.28K,0,NO CHANGE,0.09%
22160K105,COST,COSTCO WHSL CORP NEW,220,0,208.07K,0,NO CHANGE,0.09%
31428X106,FDX,FEDEX CORP,1600,-30,390.05K,-7.31K,-1.8%,0.17%
464287556,IBB,ISHARES TR,13640,-100,1.74M,-12.79K,-0.7%,0.75%
46090E103,QQQ,INVESCO QQQ TR,5080,-90,2.38M,-42.2K,-1.7%,1%
78462F103,SPY,SPDR S&P 500 ETF TR,2191,-85,1.23M,-47.55K,-3.7%,0.53%
907818108,UNP,UNION PAC CORP,5035,-250,1.19M,-59.06K,-4.7%,0.51%
532457108,LLY,ELI LILLY & CO,2310,-100,1.91M,-82.59K,-4.1%,0.82%
25459W862,SPXL,DIREXION SHS ETF TR,32875,-600,4.62M,-84.23K,-1.8%,2%
Y95308105,WVE,WAVE LIFE SCIENCES LTD,0,-10000,0,-123.7K,CLOSE,0%
81369Y407,XLY,SELECT SECTOR SPDR TR,0,-895,0,-200.79K,CLOSE,0%
254687106,DIS,DISNEY WALT CO,0,-1825,0,-203.21K,CLOSE,0%
G1151C101,ACN,ACCENTURE PLC IRELAND,0,-600,0,-211.07K,CLOSE,0%
464287721,IYW,ISHARES TR,10075,-1650,1.41M,-231.73K,-14.1%,0.61%
852234103,XYZ,BLOCK INC,0,-3450,0,-293.22K,CLOSE,0%
88160R101,TSLA,TESLA INC,13220,-2340,3.43M,-606.43K,-15%,1.5%
25459W847,TNA,DIREXION SHS ETF TR,64205,-31000,1.88M,-907.06K,-32.6%,0.81%
037833100,AAPL,APPLE INC,124233,-10925,27.6M,-2.43M,-8.1%,11.9%
67066G104,NVDA,NVIDIA CORPORATION,696424,-79746,75.48M,-8.64M,-10.3%,32.5%
Total,,,,,231.92M,-906.75K,-0.3%,100%
