CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
42225T107,HCAT,HEALTH CATALYST INC,1705072,1705072,7.72M,7.72M,NEW,3.4%
338307101,FIVN,FIVE9 INC,202178,202178,5.49M,5.49M,NEW,2.4%
98956A105,ZETA,ZETA GLOBAL HOLDINGS CORP,370961,370961,5.03M,5.03M,NEW,2.2%
62886E108,VYX,NCR VOYIX CORPORATION,506952,506952,4.94M,4.94M,NEW,2.2%
909214306,UIS,UNISYS CORP,617959,617959,2.84M,2.84M,NEW,1.3%
24477E103,DH,DEFINITIVE HEALTHCARE CORP,869275,869275,2.51M,2.51M,NEW,1.1%
75960P104,RELY,REMITLY GLOBAL INC,311372,109523,6.48M,2.28M,+54.3%,2.9%
92557A101,DSP,VIANT TECHNOLOGY INC,118631,118631,1.47M,1.47M,NEW,0.65%
68401U204,OPRX,OPTIMIZERX CORP,1508303,157880,13.06M,1.37M,+11.7%,5.8%
073463309,BODI,THE BEACHBODY COMPANY INC,335562,147466,2.51M,1.1M,+78.4%,1.1%
26142V105,DKNG,DRAFTKINGS INC NEW,158864,32791,5.28M,1.09M,+26%,2.3%
126327105,LAW,CS DISCO INC,185970,185970,761K,761K,NEW,0.34%
37637K108,GTLB,GITLAB INC,117745,5899,5.53M,277.25K,+5.3%,2.4%
34629L103,FRGE,FORGE GLOBAL HOLDINGS INC,371008,371008,209K,209K,NEW,0.09%
69007J304,OUT,OUTFRONT MEDIA INC,10816,10816,175K,175K,NEW,0.08%
M7S64H106,MNDY,MONDAY COM LTD,79270,490,19.27M,119.15K,+0.6%,8.5%
886029206,THRY,THRYV HLDGS INC,652733,2059,8.36M,26.38K,+0.3%,3.7%
02079K305,GOOGL,ALPHABET INC,1761,25,272K,3.86K,+1.4%,0.12%
02079K107,GOOG,ALPHABET INC,130373,0,20.37M,0,NO CHANGE,9%
023135106,AMZN,AMAZON COM INC,93240,0,17.74M,0,NO CHANGE,7.8%
888787108,TOST,TOAST INC,334963,0,11.11M,0,NO CHANGE,4.9%
74346Y103,PRO,PROS HOLDINGS INC,396160,0,7.54M,0,NO CHANGE,3.3%
04342Y104,ASAN,ASANA INC,381716,0,5.56M,0,NO CHANGE,2.5%
679295105,OKTA,OKTA INC,89646,-2,9.43M,-210.45,-0%,4.2%
48251K100,KREF,KKR REAL ESTATE FIN TR INC,15957,-473,172K,-5.1K,-2.9%,0.08%
23834J201,DAVE,DAVE INC,283017,-375,23.39M,-31K,-0.1%,10.3%
18915M107,NET,CLOUDFLARE INC,316960,-1107,35.72M,-124.75K,-0.3%,15.8%
68404L201,OPCH,OPTION CARE HEALTH INC,0,-35108,0,-815K,CLOSE,0%
05637B105,BLZE,BACKBLAZE INC,697083,-523019,3.37M,-2.53M,-42.9%,1.5%
25961D105,DOUG,DOUGLAS ELLIMAN INC,0,-1512950,0,-2.53M,CLOSE,0%
268150109,DT,DYNATRACE INC,0,-68191,0,-3.71M,CLOSE,0%
00437E102,ACCD,ACCOLADE INC,0,-1585643,0,-5.42M,CLOSE,0%
74275K108,PCOR,PROCORE TECHNOLOGIES INC,0,-77324,0,-5.79M,CLOSE,0%
049468101,TEAM,ATLASSIAN CORPORATION,0,-31573,0,-7.68M,CLOSE,0%
20717M103,CFLT,CONFLUENT INC,0,-279874,0,-7.83M,CLOSE,0%
M4R82T106,FVRR,FIVERR INTL LTD,0,-247409,0,-7.85M,CLOSE,0%
70432V102,PAYC,PAYCOM SOFTWARE INC,0,-49409,0,-10.13M,CLOSE,0%
457679108,CTV,INNOVID CORP,0,-3800944,0,-11.74M,CLOSE,0%
Total,,,,,226.33M,-28.77M,-11%,100%
