CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
67066G104,NVDA,NVIDIA CORPORATION,3304972,134928,358.19M,14.62M,+4.3%,15.4%
92189F676,SMH,VANECK ETF TRUST,81148,23360,17.16M,4.94M,+40.4%,0.74%
30303M102,META,META PLATFORMS INC,260034,5446,149.87M,3.14M,+2.1%,6.4%
722304102,PDD,PDD HOLDINGS INC,42881,22856,5.07M,2.71M,+114.1%,0.22%
46438F101,IBIT,ISHARES BITCOIN TRUST ETF,360149,48938,16.86M,2.29M,+15.7%,0.72%
770700102,HOOD,ROBINHOOD MKTS INC,45000,45000,1.87M,1.87M,NEW,0.08%
007903107,AMD,ADVANCED MICRO DEVICES INC,32864,18000,3.38M,1.85M,+121.1%,0.15%
11135F101,AVGO,BROADCOM INC,295503,10341,49.48M,1.73M,+3.6%,2.1%
040413205,ANET,ARISTA NETWORKS INC,29380,19008,2.28M,1.47M,+183.3%,0.1%
888787108,TOST,TOAST INC,64215,43428,2.13M,1.44M,+208.9%,0.09%
836100107,SOUN,SOUNDHOUND AI INC,154936,154936,1.26M,1.26M,NEW,0.05%
82509L107,SHOP,SHOPIFY INC,110020,12540,10.5M,1.2M,+12.9%,0.45%
N07059210,ASML,ASML HOLDING N V,6082,1681,4.03M,1.11M,+38.2%,0.17%
90353T100,UBER,UBER TECHNOLOGIES INC,35543,14549,2.59M,1.06M,+69.3%,0.11%
58733R102,MELI,MERCADOLIBRE INC,3132,542,6.11M,1.06M,+20.9%,0.26%
75513E101,RTX,RTX CORPORATION,59996,7730,7.95M,1.02M,+14.8%,0.34%
532457108,LLY,ELI LILLY & CO,1213,1213,1M,1M,NEW,0.04%
03831W108,APP,APPLOVIN CORP,3708,3708,982.51K,982.51K,NEW,0.04%
00217D100,ASTS,AST SPACEMOBILE INC,42633,42633,969.47K,969.47K,NEW,0.04%
512807306,LRCX,LAM RESEARCH CORP,25732,13161,1.87M,956.8K,+104.7%,0.08%
26740W109,QBTS,D-WAVE QUANTUM INC,121060,121060,920.06K,920.06K,NEW,0.04%
22788C105,CRWD,CROWDSTRIKE HLDGS INC,9845,2512,3.47M,885.68K,+34.3%,0.15%
81762P102,NOW,SERVICENOW INC,1680,946,1.34M,753.15K,+128.9%,0.06%
023135106,AMZN,AMAZON COM INC,867680,2653,165.08M,504.76K,+0.3%,7.1%
450056106,IRTC,IRHYTHM TECHNOLOGIES INC,4650,4650,486.76K,486.76K,NEW,0.02%
21873S108,CRWV,COREWEAVE INC,12665,12665,469.62K,469.62K,NEW,0.02%
94106L109,WM,WASTE MGMT INC DEL,1735,1735,401.67K,401.67K,NEW,0.02%
