CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
G0896C103,TBBB,BBB FOODS INC,1500000,1150000,41.64M,31.92M,+328.6%,10.2%
38267D109,GSHD,GOOSEHEAD INS INC,462500,237500,48.8M,25.06M,+105.6%,12%
722304102,PDD,PDD HOLDINGS INC,425000,125000,44.48M,13.08M,+41.7%,10.9%
58733R102,MELI,MERCADOLIBRE INC,17500,1500,45.74M,3.92M,+9.4%,11.2%
04965M106,ATAT,ATOUR LIFESTYLE HLDGS LTD,1150000,100000,37.39M,3.25M,+9.5%,9.2%
M7S64H106,MNDY,MONDAY COM LTD,25000,10000,7.86M,3.14M,+66.7%,1.9%
03831W108,APP,APPLOVIN CORP,95000,0,33.26M,0,NO CHANGE,8.2%
26142V105,DKNG,DRAFTKINGS INC NEW,0,-70000,0,-2.32M,CLOSE,0%
22266T109,CPNG,COUPANG INC,1250000,-100000,37.45M,-3M,-7.4%,9.2%
49845K101,KVYO,KLAVIYO INC,0,-100000,0,-3.03M,CLOSE,0%
98138H101,WDAY,WORKDAY INC,0,-15000,0,-3.5M,CLOSE,0%
30303M102,META,META PLATFORMS INC,80000,-5000,59.05M,-3.69M,-5.9%,14.5%
461202103,INTU,INTUIT,0,-10000,0,-6.14M,CLOSE,0%
146869102,CVNA,CARVANA CO,90000,-50000,30.33M,-16.85M,-35.7%,7.4%
023135106,AMZN,AMAZON COM INC,0,-125000,0,-23.78M,CLOSE,0%
032654105,ADI,ANALOG DEVICES INC,90000,-110000,21.42M,-26.18M,-55%,5.3%
Total,,,,,407.41M,-8.11M,-2.3%,100%
