CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
66987V109,NVS,NOVARTIS AG,208708,208708,25.26M,25.26M,NEW,2.9%
83175M205,SNN,SMITH & NEPHEW PLC,898635,821393,27.53M,25.16M,+1063.4%,3.1%
759530108,RELX,RELX PLC (EX REED ELSEVIER PLC),560958,366761,30.48M,19.93M,+188.9%,3.5%
110448107,BTI,BRITISH AMERICAN TOBACCO PLC,862252,403115,40.81M,19.08M,+87.8%,4.7%
294821608,ERIC,ERICSSON (LM),5121349,2009723,43.43M,17.04M,+64.6%,5%
92857W308,VOD,VODAFONE GROUP PLC,2972904,1598700,31.69M,17.04M,+116.3%,3.6%
151290889,CX,CEMEX SAB DE CV,2235569,2235569,15.49M,15.49M,NEW,1.8%
25243Q205,DEO,DIAGEO PLC,309277,141195,31.19M,14.24M,+84%,3.6%
803054204,SAP,SAP SE,41448,41448,12.6M,12.6M,NEW,1.4%
88031M109,TS,TENARIS SA,467268,334755,17.48M,12.52M,+252.6%,2%
055622104,BP,BP PLC,563350,404088,16.86M,12.09M,+253.7%,1.9%
45857P806,IHG,INTERCONTINENTAL HOTELS GROUP PLC,103927,103927,11.99M,11.99M,NEW,1.4%
405552100,HLN,HALEON PLC,1051461,1039425,10.9M,10.78M,+8636%,1.2%
06738E204,BCS,BARCLAYS PLC,570607,570607,10.61M,10.61M,NEW,1.2%
760125104,RTO,RENTOKIL INITIAL PLC,459270,406838,11.02M,9.76M,+775.9%,1.3%
372303206,GMAB,GENMAB A/S,447055,447055,9.24M,9.24M,NEW,1.1%
82575P107,SBSW,SIBANYE STILLWATER LTD,1119817,1119817,8.09M,8.09M,NEW,0.92%
404280406,HSBC,HSBC HOLDINGS PLC,170779,120110,10.38M,7.3M,+237%,1.2%
36251C103,GMS,GMS INC,64029,64029,6.96M,6.96M,NEW,0.8%
767204100,RIO,RIO TINTO PLC,398115,118428,23.22M,6.91M,+42.3%,2.7%
09627Y109,BPMC,BLUEPRINT MEDICINES CORP,52650,52650,6.75M,6.75M,NEW,0.77%
847215100,SPTN,SPARTANNASH CO,252357,252357,6.68M,6.68M,NEW,0.76%
55903Q104,MAG,MAG SILVER CORP,314486,314486,6.65M,6.65M,NEW,0.76%
10806B100,BRDG,BRIDGE INVESTMENT GROUP HOLDINGS INC,659231,659231,6.6M,6.6M,NEW,0.75%
41165Y100,HONE,HARBORONE BANCORP INC,557561,557561,6.51M,6.51M,NEW,0.74%
69478X105,PPBI,PACIFIC PREMIER BANCORP INC,295961,295961,6.24M,6.24M,NEW,0.71%
82983N108,STR,SITIO ROYALTIES Corp,329196,329196,6.05M,6.05M,NEW,0.69%
45674M101,INFA,INFORMATICA INC,238224,238224,5.8M,5.8M,NEW,0.66%
311642102,FARO,FARO TECHNOLOGIES INC,115874,115874,5.09M,5.09M,NEW,0.58%
85205L107,SWTX,SPRINGWORKS THERAPEUTICS INC,107630,107630,5.06M,5.06M,NEW,0.58%
03524A108,BUD,ANHEUSER-BUSCH INBEV SA/NV,101613,73500,6.98M,5.05M,+261.4%,0.8%
127387108,CDNS,CADENCE DESIGN SYSTEMS INC,14724,14724,4.54M,4.54M,NEW,0.52%
617446448,MS,MORGAN STANLEY,32046,32046,4.51M,4.51M,NEW,0.52%
209115104,ED,CONSOLIDATED EDISON INC,44165,44165,4.43M,4.43M,NEW,0.51%
858119100,STLD,STEEL DYNAMICS INC,34382,34382,4.4M,4.4M,NEW,0.5%
902973304,USB,US BANCORP,94637,94637,4.28M,4.28M,NEW,0.49%
980228308,WDS,WOODSIDE ENERGY GROUP LTD,295923,273158,4.57M,4.21M,+1199.9%,0.52%
92540K109,VTMX,CORP INMOBILIARIA VESTA SAB DE CV,199263,142660,5.46M,3.91M,+252%,0.62%
639057207,NWG,NATWEST GROUP PLC,853854,269839,12.08M,3.82M,+46.2%,1.4%
783513203,RYAAY,RYANAIR HOLDINGS PLC,100237,64487,5.78M,3.72M,+180.4%,0.66%
902653104,UDR,UDR INC,89898,89898,3.67M,3.67M,NEW,0.42%
064058100,BK,BANK OF NEW YORK MELLON CORP,40109,40109,3.65M,3.65M,NEW,0.42%
682680103,OKE,ONEOK INC,44714,44714,3.65M,3.65M,NEW,0.42%
260557103,DOW,DOW INC,168198,137461,4.45M,3.64M,+447.2%,0.51%
780259305,SHEL,SHELL PLC,105129,49682,7.4M,3.5M,+89.6%,0.85%
14365C103,CUK,CARNIVAL PLC,893500,133601,22.79M,3.41M,+17.6%,2.6%
500472303,PHG,KONINKLIJKE PHILIPS NV,240461,139353,5.77M,3.34M,+137.8%,0.66%
20825C104,COP,CONOCOPHILLIPS,32509,32509,2.92M,2.92M,NEW,0.33%
023436108,AMED,AMEDISYS INC,44498,28686,4.38M,2.82M,+181.4%,0.5%
45687V106,IR,INGERSOLL-RAND INC (EX GARDNER DENVER HOLDINGS),33685,33685,2.8M,2.8M,NEW,0.32%
049560105,ATO,ATMOS ENERGY Corp,16576,16576,2.55M,2.55M,NEW,0.29%
704326107,PAYX,PAYCHEX INC,17482,17482,2.54M,2.54M,NEW,0.29%
233331107,DTE,DTE ENERGY CO,18330,18330,2.43M,2.43M,NEW,0.28%
670100205,NVO,NOVO NORDISK A/S,33779,33779,2.33M,2.33M,NEW,0.27%
40049J206,TV,GRUPO TELEVISA SAB,1059866,1059866,2.32M,2.32M,NEW,0.27%
78463X889,SPDW,SPDR PORTFOLIO DEVELOPED WORLD EX-US ETF,57191,57191,2.32M,2.32M,NEW,0.26%
526057104,LEN,LENNAR Corp.,28190,20577,3.12M,2.28M,+270.3%,0.36%
843878307,SSBK,SOUTHERN STATES BANCSHARES INC,76216,62166,2.77M,2.26M,+442.5%,0.32%
478160104,JNJ,JOHNSON & JOHNSON,14791,14791,2.26M,2.26M,NEW,0.26%
98978V103,ZTS,ZOETIS INC,14387,14387,2.24M,2.24M,NEW,0.26%
921943858,VEA,VANGUARD FTSE DEVELOPED MARKETS ETF,38984,38984,2.22M,2.22M,NEW,0.25%
464286608,EZU,ISHARES MSCI EUROZONE ETF,36605,36605,2.18M,2.18M,NEW,0.25%
29444U700,EQIX,EQUINIX INC,2678,2678,2.13M,2.13M,NEW,0.24%
548661107,LOW,LOWE'S COS INC,9385,9385,2.08M,2.08M,NEW,0.24%
29476L107,EQR,EQUITY RESIDENTIAL,30693,30693,2.07M,2.07M,NEW,0.24%
580135101,MCD,MCDONALD'S CORP,7002,7002,2.05M,2.05M,NEW,0.23%
29788T103,ETWO,E2OPEN PARENT HOLDINGS INC,630839,630839,2.04M,2.04M,NEW,0.23%
550021109,LULU,LULULEMON ATHLETICA INC,8572,8572,2.04M,2.04M,NEW,0.23%
872540109,TJX,TJX,16479,16479,2.03M,2.03M,NEW,0.23%
217204106,CPRT,COPART INC,40975,40975,2.01M,2.01M,NEW,0.23%
172908105,CTAS,CINTAS CORP,8785,8785,1.96M,1.96M,NEW,0.22%
776696106,ROP,ROPER TECHNOLOGIES INC,3363,3363,1.91M,1.91M,NEW,0.22%
78409V104,SPGI,S&P GLOBAL INC,3592,3592,1.89M,1.89M,NEW,0.22%
052769106,ADSK,AUTODESK INC,6116,6116,1.89M,1.89M,NEW,0.22%
34959E109,FTNT,FORTINET INC,17866,17866,1.89M,1.89M,NEW,0.22%
461202103,INTU,INTUIT INC,2394,2394,1.89M,1.89M,NEW,0.22%
747525103,QCOM,QUALCOMM INC,11839,11839,1.89M,1.89M,NEW,0.22%
806882106,RDUS,RADIUS RECYCLING INC,157911,62226,4.69M,1.85M,+65%,0.54%
037833100,AAPL,APPLE INC,8851,8851,1.82M,1.82M,NEW,0.21%
46434G830,EWI,ISHARES MSCI ITALY ETF,37054,37054,1.78M,1.78M,NEW,0.2%
74383L105,PVBC,PROVIDENT BANCORP Inc,142236,142236,1.78M,1.78M,NEW,0.2%
98954M101,ZG,ZILLOW GROUP (EX. ZILLOW INC),31227,24856,2.14M,1.7M,+390.1%,0.24%
67103H107,ORLY,O'REILLY AUTOMOTIVE INC,18870,18870,1.7M,1.7M,NEW,0.19%
539439109,LYG,LLOYDS BANKING GROUP PLC,397446,397446,1.69M,1.69M,NEW,0.19%
55261F104,MTB,M&T BANK Corp,8236,8236,1.6M,1.6M,NEW,0.18%
036752103,ELV,ELEVANCE HEALTH INC,4045,4045,1.57M,1.57M,NEW,0.18%
91324P102,UNH,UNITEDHEALTH GROUP INC,5026,5026,1.57M,1.57M,NEW,0.18%
060505104,BAC,BANK OF AMERICA CORP,33087,33087,1.57M,1.57M,NEW,0.18%
74435K204,PUK,PRUDENTIAL PLC,778900,60543,19.49M,1.51M,+8.4%,2.2%
92826C839,V,VISA INC,4244,4244,1.51M,1.51M,NEW,0.17%
143658300,CCL,CARNIVAL CORP,52816,52816,1.49M,1.49M,NEW,0.17%
049468101,TEAM,ATLASSIAN CORP,7202,7202,1.46M,1.46M,NEW,0.17%
