CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
78463V107,GLD,SPDR GOLD TR,75200,75200,22.92M,22.92M,NEW,7.9%
67066G104,NVDA,NVIDIA CORPORATION,487744,100222,77.06M,15.83M,+25.9%,26.5%
852234103,XYZ,BLOCK INC,162735,162735,11.05M,11.05M,NEW,3.8%
443573100,HUBS,HUBSPOT INC,14228,14228,7.92M,7.92M,NEW,2.7%
060505104,BAC,BANK AMERICA CORP,142995,142995,6.77M,6.77M,NEW,2.3%
023135106,AMZN,AMAZON COM INC,116891,30287,25.64M,6.64M,+35%,8.8%
478160104,JNJ,JOHNSON & JOHNSON,38072,38072,5.82M,5.82M,NEW,2%
11135F101,AVGO,BROADCOM INC,98696,16428,27.21M,4.53M,+20%,9.4%
88160R101,TSLA,TESLA INC,42702,10952,13.56M,3.48M,+34.5%,4.7%
88339J105,TTD,THE TRADE DESK INC,24384,24384,1.76M,1.76M,NEW,0.6%
040413205,ANET,ARISTA NETWORKS INC,2103,2103,215.16K,215.16K,NEW,0.07%
69608A108,PLTR,PALANTIR TECHNOLOGIES INC,1018,1018,138.77K,138.77K,NEW,0.05%
458140100,INTC,INTEL CORP,0,-2845,0,-64.61K,CLOSE,0%
30303M102,META,META PLATFORMS INC,24140,-621,17.82M,-458.35K,-2.5%,6.1%
882508104,TXN,TEXAS INSTRS INC,0,-21811,0,-3.92M,CLOSE,0%
24703L202,DELL,DELL TECHNOLOGIES INC,0,-59430,0,-5.42M,CLOSE,0%
052769106,ADSK,AUTODESK INC,0,-39000,0,-10.21M,CLOSE,0%
464286400,EWZ,ISHARES INC,0,-542176,0,-14.02M,CLOSE,0%
007903107,AMD,ADVANCED MICRO DEVICES INC,0,-139422,0,-14.32M,CLOSE,0%
594918104,MSFT,MICROSOFT CORP,65600,-33600,32.63M,-16.71M,-33.9%,11.2%
573874104,MRVL,MARVELL TECHNOLOGY INC,0,-337303,0,-20.77M,CLOSE,0%
037833100,AAPL,APPLE INC,122800,-134092,25.19M,-27.51M,-52.2%,8.7%
464287184,FXI,ISHARES TR,0,-1189398,0,-42.63M,CLOSE,0%
00724F101,ADBE,ADOBE INC,0,-133349,0,-51.14M,CLOSE,0%
02079K107,GOOG,ALPHABET INC,83000,-319715,14.72M,-56.71M,-79.4%,5.1%
Total,,,,,290.43M,-176.81M,-42.7%,100%
