CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
007903107,AMD,ADVANCED MICRO DEVICES,1846654,588405,262.02M,83.49M,+46.8%,2.6%
009066101,ABNB,AIRBNB INC-CLASS A,744590,625196,98.51M,82.71M,+523.6%,0.98%
172573107,CRCL,CIRCLE INTERNET GROUP INC,401720,401720,72.49M,72.49M,NEW,0.72%
874039100,TSM,TAIWAN SEMICONDUCTOR-SP ADR,438831,239331,99.36M,54.19M,+120%,0.99%
25809K105,DASH,DOORDASH INC - A,160710,160710,39.61M,39.61M,NEW,0.4%
40131M109,GH,GUARDANT HEALTH INC,2030428,673438,105.62M,35.03M,+49.6%,1.1%
21873S108,CRWV,COREWEAVE INC-CL A,206041,206041,33.6M,33.6M,NEW,0.34%
773121108,RKLB,ROCKET LAB CORP,925924,925924,33.08M,33.08M,NEW,0.33%
37637K108,GTLB,GITLAB INC-CL A,2041331,644718,92.02M,29.06M,+46.2%,0.92%
G32089107,ETOR,ETORO GROUP LTD-A,419355,419355,27.87M,27.87M,NEW,0.28%
67066G104,NVDA,NVIDIA CORP,1043843,120474,164.78M,19.02M,+13%,1.6%
452327109,ILMN,ILLUMINA INC,867981,194243,82.81M,18.53M,+28.8%,0.83%
83406F102,SOFI,SOFI TECHNOLOGIES INC,3399960,773308,61.88M,14.07M,+29.4%,0.62%
023135106,AMZN,AMAZON.COM INC,1026778,63793,225.23M,13.99M,+6.6%,2.2%
50077B207,KTOS,KRATOS DEFENSE & SECURITY,2081077,300326,96.58M,13.94M,+16.9%,0.96%
46269C102,IRDM,IRIDIUM COMMUNICATIONS INC,4310324,421279,130.04M,12.71M,+10.8%,1.3%
051774107,AUR,AURORA INNOVATION INC,6170556,2173549,32.27M,11.37M,+54.4%,0.32%
83304A106,SNAP,SNAP INC - A,2107288,1021677,18.31M,8.88M,+94.1%,0.18%
07373V105,BEAM,BEAM THERAPEUTICS INC,4726799,456779,80.4M,7.77M,+10.7%,0.8%
88025U109,TXG,10X GENOMICS INC-CLASS A,6009653,646997,69.53M,7.49M,+12.1%,0.69%
67080M103,NRIX,NURIX THERAPEUTICS INC,1389274,633304,15.8M,7.2M,+83.8%,0.16%
36118L106,FUTU,FUTU HOLDINGS LTD-ADR,243210,37078,30.02M,4.58M,+18%,0.3%
65345M108,NXDR,NEXTDOOR HOLDINGS INC,10892743,2392197,17.97M,3.95M,+28.1%,0.18%
732908108,PONY,PONY AI INC,291539,291539,3.85M,3.85M,NEW,0.04%
502431109,LHX,L3HARRIS TECHNOLOGIES INC,84294,15328,21.14M,3.84M,+22.2%,0.21%
632307104,NTRA,NATERA INC,719062,22158,121.42M,3.74M,+3.2%,1.2%
G33033104,KDK,ARES ACQUISITION CORP II,325464,325464,3.68M,3.68M,NEW,0.04%
82509L107,SHOP,SHOPIFY INC - CLASS A,5013998,30649,578.01M,3.53M,+0.6%,5.8%
80810D103,SDGR,SCHRODINGER INC,2591492,174684,52.09M,3.51M,+7.2%,0.52%
008073108,AVAV,AEROVIRONMENT INC,208714,12210,59.47M,3.48M,+6.2%,0.59%
451051106,IBTA,IBOTTA INC-CL A,1107338,53820,40.53M,1.97M,+5.1%,0.4%
06849F108,B,BARRICK MINING CORP,81006,81006,1.69M,1.69M,NEW,0.02%
056752108,BIDU,BAIDU INC - SPON ADR,167582,17575,14.37M,1.51M,+11.7%,0.14%
879360105,TDY,TELEDYNE TECHNOLOGIES INC,10782,2284,5.52M,1.17M,+26.9%,0.06%
46125A100,LUNR,INTUITIVE MACHINES INC,355767,96061,3.86M,1.04M,+37%,0.04%
30231G102,XOM,EXXON MOBIL CORP,51679,7680,5.57M,827.6K,+17.5%,0.06%
67077M108,NTR,NUTRIEN LTD,97957,13364,5.7M,778.05K,+15.8%,0.06%
228368106,CCK,CROWN HOLDINGS INC,5962,5962,613.79K,613.79K,NEW,<.01%
29446Y502,EQX,EQUINOX GOLD CORP,99644,99644,573.95K,573.95K,NEW,<.01%
670346105,NUE,NUCOR CORP,12261,2631,1.59M,340.9K,+27.3%,0.02%
088606108,BHP,BHP GROUP LTD-SPON ADR,96114,5753,4.62M,276.66K,+6.4%,0.05%
874054109,TTWO,TAKE-TWO INTERACTIVE SOFTWRE,7362,944,1.79M,229.11K,+14.7%,0.02%
98419M100,XYL,XYLEM INC,10592,1735,1.37M,224.4K,+19.6%,0.01%
907818108,UNP,UNION PACIFIC CORP,5845,949,1.34M,218.27K,+19.4%,0.01%
42809H107,HES,HESS CORP,7129,1499,987.72K,207.69K,+26.6%,<.01%
35671D857,FCX,FREEPORT-MCMORAN INC,106202,4639,4.6M,201.01K,+4.6%,0.05%
718546104,PSX,PHILLIPS 66,6049,1622,721.52K,193.47K,+36.6%,<.01%
127097103,CTRA,COTERRA ENERGY INC,39217,6588,994.93K,167.14K,+20.2%,<.01%
009158106,APD,AIR PRODUCTS & CHEMICALS INC,10742,578,3.03M,163K,+5.7%,0.03%
91913Y100,VLO,VALERO ENERGY CORP,3511,791,472.02K,106.34K,+29.1%,<.01%
56585A102,MPC,MARATHON PETROLEUM CORP,3416,554,567.23K,91.99K,+19.4%,<.01%
012653101,ALB,ALBEMARLE CORP,15001,61,939.96K,3.82K,+0.4%,<.01%
039483102,ADM,ARCHER-DANIELS-MIDLAND CO,15134,62,798.62K,3.27K,+0.4%,<.01%
26875P101,EOG,EOG RESOURCES INC,6761,27,808.62K,3.23K,+0.4%,<.01%
674599105,OXY,OCCIDENTAL PETROLEUM CORP,15266,63,641.17K,2.65K,+0.4%,<.01%
61945C103,MOS,MOSAIC CO/THE,17816,38,649.57K,1.39K,+0.2%,<.01%
H11356104,BG,BUNGE GLOBAL SA,7726,16,620.48K,1.28K,+0.2%,<.01%
296006109,ERO,ERO COPPER CORP,21045,45,355.03K,759.15,+0.2%,<.01%
