CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
816850101,SMTC,SEMTECH CORP,160000,160000,7.22M,7.22M,NEW,8.4%
007903107,AMD,ADVANCED MICRO DEVICES INC,93000,43500,13.2M,6.17M,+87.9%,15.4%
880770102,TER,TERADYNE INC,60000,60000,5.4M,5.4M,NEW,6.3%
19247G107,COHR,COHERENT CORP,44000,44000,3.93M,3.93M,NEW,4.6%
75776W103,RDW,REDWIRE CORPORATION,170000,170000,2.77M,2.77M,NEW,3.2%
781154109,RBRK,RUBRIK INC.,22000,22000,1.97M,1.97M,NEW,2.3%
679295105,OKTA,OKTA INC,17000,17000,1.7M,1.7M,NEW,2%
N97284108,NBIS,NEBIUS GROUP N.V.,24000,24000,1.33M,1.33M,NEW,1.6%
88160R101,TSLA,TESLA INC,4000,4000,1.27M,1.27M,NEW,1.5%
04626A103,ALAB,ASTERA LABS INC,13000,13000,1.18M,1.18M,NEW,1.4%
46438F101,IBIT,ISHARES BITCOIN TRUST ETF,90000,11700,5.51M,716.16K,+14.9%,6.4%
81762P102,NOW,SERVICENOW INC,6000,0,6.17M,0,NO CHANGE,7.2%
G25457105,CRDO,CREDO TECHNOLOGY GROUP HOLDI,170000,-4000,15.74M,-370.36K,-2.3%,18.4%
874039100,TSM,TAIWAN SEMICONDUCTOR MFG LTD,12000,-3000,2.72M,-679.47K,-20%,3.2%
171779309,CIEN,CIENA CORP,30000,-17690,2.44M,-1.44M,-37.1%,2.9%
594972408,MSTR,MICROSTRATEGY INC,7000,-3800,2.83M,-1.54M,-35.2%,3.3%
040413205,ANET,ARISTA NETWORKS INC,40000,-17000,4.09M,-1.74M,-29.8%,4.8%
11135F101,AVGO,BROADCOM INC,0,-10800,0,-1.81M,CLOSE,0%
573874104,MRVL,MARVELL TECHNOLOGY INC,0,-29700,0,-1.83M,CLOSE,0%
N14506104,ESTC,ELASTIC N V,0,-25000,0,-2.23M,CLOSE,0%
15101Q207,CLS,CELESTICA INC,21000,-15000,3.28M,-2.34M,-41.7%,3.8%
M7S64H106,MNDY,MONDAY COM LTD,9000,-8000,2.83M,-2.52M,-47.1%,3.3%
023135106,AMZN,AMAZON COM INC,0,-14000,0,-2.66M,CLOSE,0%
72352L106,PINS,PINTEREST INC,0,-96000,0,-2.98M,CLOSE,0%
Total,,,,,85.56M,11.52M,+22.2%,100%
