CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
G6683N103,NU,NU HLDGS LTD,12469985,9165363,171.09M,125.75M,+277.3%,26.5%
874039100,TSM,TAIWAN SEMICONDUCTOR MFG LTD,134754,134754,30.52M,30.52M,NEW,4.7%
58733R102,MELI,MERCADOLIBRE INC,49076,4113,128.27M,10.75M,+9.1%,19.9%
46090E103,QQQ,INVESCO QQQ TR,3127,0,1.72M,0,NO CHANGE,0.27%
500767306,KWEB,KRANESHARES TR,40500,0,1.39M,0,NO CHANGE,0.22%
97717X719,CXSE,WISDOMTREE TR,35930,0,1.24M,0,NO CHANGE,0.19%
G9503X111,WALDW,WALDENCAST PLC,82102,0,6.67K,0,NO CHANGE,<.01%
G9470A102,VTEX,VTEX,226055,-17260,1.49M,-113.92K,-7.1%,0.23%
023135106,AMZN,AMAZON COM INC,0,-83811,0,-15.95M,CLOSE,0%
G98239109,XP,XP INC,8103248,-838703,163.69M,-16.94M,-9.4%,25.4%
02079K305,GOOGL,ALPHABET INC,0,-263446,0,-40.74M,CLOSE,0%
30303M102,META,META PLATFORMS INC,0,-76112,0,-43.87M,CLOSE,0%
G85158106,STNE,STONECO LTD,9096070,-2886803,145.9M,-46.3M,-24.1%,22.6%
Total,,,,,645.31M,3.11M,+0.7%,100%
