CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
02079K107,GOOG,ALPHABET INC,184532,184532,32.73M,32.73M,NEW,5.2%
09627Y109,BPMC,BLUEPRINT MEDICINES CORP,120850,120850,15.49M,15.49M,NEW,2.5%
55903Q104,MAG,MAG SILVER CORP,717180,717180,15.17M,15.17M,NEW,2.4%
62482R107,COOP,MR COOPER GROUP INC,99401,99401,14.83M,14.83M,NEW,2.4%
009066AB7,ABNB,AIRBNB INC,23000000,15000000,22.28M,14.53M,+187.5%,3.5%
48251W500,KKRPRD,KKR & CO INC,230000,230000,12.41M,12.41M,NEW,2%
85205L107,SWTX,SPRINGWORKS THERAPEUTICS INC,242834,242834,11.41M,11.41M,NEW,1.8%
018522300,ALE,ALLETE INC,158925,158925,10.18M,10.18M,NEW,1.6%
783513203,RYAAY,RYANAIR HOLDINGS PLC,210123,161122,12.12M,9.29M,+328.8%,1.9%
74267C106,PRA,PROASSURANCE CORP,332995,332995,7.6M,7.6M,NEW,1.2%
03662Q105,ANSS,ANSYS INC,20750,20750,7.29M,7.29M,NEW,1.2%
47215PAJ5,JD,JD.COM INC,6500000,6500000,6.62M,6.62M,NEW,1.1%
682189AU9,ON,ON SEMICONDUCTOR CORP,6627000,6627000,6.11M,6.11M,NEW,0.97%
81369Y506,XLE,SELECT SECTOR SPDR TR,137701,69736,11.68M,5.91M,+102.6%,1.9%
G61188127,LBTYK,LIBERTY GLOBAL LTD,542958,542958,5.6M,5.6M,NEW,0.89%
35909D109,FYBR,FRONTIER COMMUNICATIONS PARE,355460,137261,12.94M,5M,+62.9%,2.1%
41165Y100,HONE,HARBORONE BANCORP INC NEW,331984,331984,3.88M,3.88M,NEW,0.62%
26484T106,DNB,DUN & BRADSTREET HLDGS INC,1007030,425170,9.15M,3.86M,+73.1%,1.5%
595017BG8,MCHP,MICROCHIP TECHNOLOGY INC.,4000000,4000000,3.8M,3.8M,NEW,0.6%
69331C306,PCGPRX,PG&E CORP,275000,100000,10.45M,3.8M,+57.1%,1.7%
H01301128,ALC,ALCON AG,56756,43234,4.99M,3.8M,+319.7%,0.79%
22207T101,BASE,COUCHBASE INC,140000,140000,3.41M,3.41M,NEW,0.54%
48203R104,JNPR,JUNIPER NETWORKS INC,217619,85284,8.69M,3.41M,+64.4%,1.4%
531229771,FWONA,LIBERTY MEDIA CORP DEL,34289,34289,3.26M,3.26M,NEW,0.52%
29788T103,ETWO,E2OPEN PARENT HOLDINGS INC,980000,980000,3.17M,3.17M,NEW,0.5%
01609WBG6,BABA,ALIBABA GROUP HLDG LTD,2500000,2500000,3.16M,3.16M,NEW,0.5%
42824C208,HPEC,HEWLETT PACKARD ENTERPRISE C,550000,50000,32.65M,2.97M,+10%,5.2%
843878307,SSBK,SOUTHERN STS BANCSHARES INC,79170,79170,2.88M,2.88M,NEW,0.46%
023586506,UHALB,U HAUL HOLDING COMPANY,112200,49380,6.1M,2.68M,+78.6%,0.97%
78468R556,XOP,SPDR SERIES TRUST,25267,20824,3.18M,2.62M,+468.7%,0.51%
75737F108,RDFN,REDFIN CORP,225000,225000,2.52M,2.52M,NEW,0.4%
830566105,SKX,SKECHERS U S A INC,38000,38000,2.4M,2.4M,NEW,0.38%
G60409110,MTAL,MAC COPPER LIMITED,193000,193000,2.33M,2.33M,NEW,0.37%
57164YAF4,VAC,MARRIOTT VACATIONS WORLDWIDE,2500000,2500000,2.33M,2.33M,NEW,0.37%
65339F663,NEEPRS,NEXTERA ENERGY INC,275000,50000,12.78M,2.32M,+22.2%,2%
89677QAB3,TCOM,TRIP COM GROUP LTD,2000000,2000000,2.22M,2.22M,NEW,0.35%
65249B109,NWSA,NEWS CORP NEW,432661,70700,12.86M,2.1M,+19.5%,2%
931427108,WBA,WALGREENS BOOTS ALLIANCE INC,202000,182000,2.32M,2.09M,+910%,0.37%
037833100,AAPL,APPLE INC,31938,9105,6.55M,1.87M,+39.9%,1%
44934S206,ICAD,ICAD INC,450000,450000,1.71M,1.71M,NEW,0.27%
37045V100,GM,GENERAL MTRS CO,45776,33512,2.25M,1.65M,+273.3%,0.36%
40172N107,GHLD,GUILD HLDGS CO,80000,80000,1.58M,1.58M,NEW,0.25%
344849104,FL,FOOT LOCKER INC,60000,60000,1.47M,1.47M,NEW,0.23%
05368X102,AVDX,AVIDXCHANGE HOLDINGS INC,150000,150000,1.47M,1.47M,NEW,0.23%
87652V109,TASK,TASKUS INC,86356,86356,1.45M,1.45M,NEW,0.23%
020002101,ALL,ALLSTATE CORP,6878,6878,1.38M,1.38M,NEW,0.22%
20030N101,CMCSA,COMCAST CORP NEW,38473,38473,1.37M,1.37M,NEW,0.22%
86881A100,SGRY,SURGERY PARTNERS INC,244112,61111,5.43M,1.36M,+33.4%,0.86%
67066G104,NVDA,NVIDIA CORPORATION,8446,8446,1.33M,1.33M,NEW,0.21%
53626N102,LION,LIONSGATE STUDIOS CORP,228766,228766,1.33M,1.33M,NEW,0.21%
127387108,CDNS,CADENCE DESIGN SYSTEM INC,3998,3998,1.23M,1.23M,NEW,0.2%
464287655,IWM,ISHARES TR,5643,5643,1.22M,1.22M,NEW,0.19%
M82363124,SATX,SATIXFY COMMUNICATIONS LTD,411211,411211,1.2M,1.2M,NEW,0.19%
G54950103,LIN,LINDE PLC,2519,2519,1.18M,1.18M,NEW,0.19%
G16258108,BEP,BROOKFIELD RENEWABLE PARTNER,276500,45000,7.05M,1.15M,+19.4%,1.1%
138103106,CTLP,CANTALOUPE INC,102480,102480,1.13M,1.13M,NEW,0.18%
35137L204,FOX,FOX CORP,180383,21476,9.31M,1.11M,+13.5%,1.5%
78464A698,KRE,SPDR SERIES TRUST,27258,18586,1.62M,1.1M,+214.3%,0.26%
52634L108,LNSR,LENSAR INC,168600,83600,2.22M,1.1M,+98.4%,0.35%
026874784,AIG,AMERICAN INTL GROUP INC,22306,12404,1.91M,1.06M,+125.3%,0.3%
530307107,LBRDA,LIBERTY BROADBAND CORP,66372,11387,6.08M,1.04M,+20.7%,0.97%
500767306,KWEB,KRANESHARES TRUST,41599,30144,1.43M,1.03M,+263.2%,0.23%
227483104,CCRN,CROSS CTRY HEALTHCARE INC,133106,63000,1.74M,822.15K,+89.9%,0.28%
101137107,BSX,BOSTON SCIENTIFIC CORP,7256,7256,779.37K,779.37K,NEW,0.12%
022307102,ALMS,ALUMIS INC,387002,248202,1.16M,744.61K,+178.8%,0.18%
826599102,SGML,SIGMA LITHIUM CORPORATION,250000,160000,1.12M,720K,+177.8%,0.18%
92539P101,VERV,VERVE THERAPEUTICS INC,63600,63600,714.23K,714.23K,NEW,0.11%
69349H107,TXNM,TXNM ENERGY INC,12000,12000,675.84K,675.84K,NEW,0.11%
H33700107,GB,GLOBAL BLUE GROUP HOLDING AG,349433,88833,2.61M,663.58K,+34.1%,0.41%
571903202,MAR,MARRIOTT INTL INC NEW,2546,2406,695.59K,657.34K,+1718.6%,0.11%
053332102,AZO,AUTOZONE INC,177,177,657.07K,657.07K,NEW,0.1%
482480100,KLAC,KLA CORP,721,721,645.83K,645.83K,NEW,0.1%
92673K108,VIGL,VIGIL NEUROSCIENCE INC,80000,80000,636K,636K,NEW,0.1%
988498101,YUM,YUM BRANDS INC,4195,4195,621.62K,621.62K,NEW,0.1%
406216101,HAL,HALLIBURTON CO,84430,29710,1.72M,605.49K,+54.3%,0.27%
45790W108,INZY,INOZYME PHARMA INC,149199,149199,596.8K,596.8K,NEW,0.09%
428291108,HXL,HEXCEL CORP NEW,9989,9989,564.28K,564.28K,NEW,0.09%
14040H105,COF,CAPITAL ONE FINL CORP,2589,2589,550.84K,550.84K,NEW,0.09%
464288752,ITB,ISHARES TR,5671,5671,528.37K,528.37K,NEW,0.08%
093671105,HRB,BLOCK H & R INC,9493,9493,521.07K,521.07K,NEW,0.08%
722304102,PDD,PDD HOLDINGS INC,6146,4819,643.24K,504.36K,+363.1%,0.1%
81762P102,NOW,SERVICENOW INC,489,489,502.73K,502.73K,NEW,0.08%
854502101,SWK,STANLEY BLACK & DECKER INC,31601,7417,2.14M,502.5K,+30.7%,0.34%
595112103,MU,MICRON TECHNOLOGY INC,3781,3781,466.01K,466.01K,NEW,0.07%
62945V109,NVEE,NV5 GLOBAL INC,20000,20000,461.8K,461.8K,NEW,0.07%
M2029K104,BIRK,BIRKENSTOCK HOLDING PLC,13921,8779,684.63K,431.75K,+170.7%,0.11%
704326107,PAYX,PAYCHEX INC,5791,2880,842.36K,418.92K,+98.9%,0.13%
46137V357,RSP,INVESCO EXCHANGE TRADED FD T,2290,2290,416.19K,416.19K,NEW,0.07%
573874104,MRVL,MARVELL TECHNOLOGY INC,5202,5202,402.63K,402.63K,NEW,0.06%
57636Q104,MA,MASTERCARD INCORPORATED,679,679,381.56K,381.56K,NEW,0.06%
464287184,FXI,ISHARES TR,46193,10351,1.7M,380.5K,+28.9%,0.27%
833034101,SNA,SNAP ON INC,3541,1214,1.1M,377.77K,+52.2%,0.18%
892356106,TSCO,TRACTOR SUPPLY CO,7100,7100,374.67K,374.67K,NEW,0.06%
09227Q100,BLKB,BLACKBAUD INC,33112,5780,2.13M,371.13K,+21.1%,0.34%
902494103,TSN,TYSON FOODS INC,6500,6500,363.61K,363.61K,NEW,0.06%
858119100,STLD,STEEL DYNAMICS INC,6157,2790,788.16K,357.15K,+82.9%,0.13%
464287234,EEM,ISHARES TR,7352,7352,354.66K,354.66K,NEW,0.06%
05478C105,AZEK,AZEK CO INC,6131,6131,333.22K,333.22K,NEW,0.05%
345370860,F,FORD MTR CO,211312,28635,2.29M,310.69K,+15.7%,0.36%
817323306,SQNS,SEQUANS COMMUNICATIONS S A,598166,196162,879.3K,288.36K,+48.8%,0.14%
78464A870,XBI,SPDR SERIES TRUST,50800,3322,4.21M,275.49K,+7%,0.67%
