CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
76200L309,RZLT,REZOLUTE INC,1603986,285019,7.15M,1.27M,+21.6%,72.6%
78463V107,GLD,SPDR GOLD TR,4952,3654,1.51M,1.11M,+281.5%,15.3%
29337E102,ELVN,ENLIVEN THERAPEUTICS INC,13097,13097,262.74K,262.74K,NEW,2.7%
084670702,BRK.B,BERKSHIRE HATHAWAY INC DEL,632,165,307.04K,80.16K,+35.3%,3.1%
60255C885,DFTX,MIND MEDICINE MINDMED INC,34073,0,221.13K,0,NO CHANGE,2.2%
20454B104,CMPX,COMPASS THERAPEUTICS INC,43465,0,113.01K,0,NO CHANGE,1.1%
055477103,BCAX,BICARA THERAPEUTICS INC,10941,0,101.64K,0,NO CHANGE,1%
501976104,KYTX,KYVERNA THERAPEUTICS INC,22981,0,70.55K,0,NO CHANGE,0.72%
45719W205,IKT,INHIBIKASE THERAPEUTICS INC,16393,0,31.97K,0,NO CHANGE,0.32%
21077P108,CNTX,CONTEXT THERAPEUTICS INC,18403,0,12.06K,0,NO CHANGE,0.12%
52886X107,LXEO,LEXEO THERAPEUTICS INC,17332,-519,69.67K,-2.09K,-2.9%,0.71%
007002108,ACET,ADICET BIO INC,0,-17488,0,-13.2K,CLOSE,0%
14147L108,CRDF,CARDIFF ONCOLOGY INC,0,-13287,0,-41.72K,CLOSE,0%
Total,,,,,9.85M,2.67M,+52.6%,100%
