CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
874039100,TSM,TAIWAN SEMICONDUCTOR MFG LTD,346865,346865,78.56M,78.56M,NEW,4.4%
595112103,MU,MICRON TECHNOLOGY INC,565016,565016,69.64M,69.64M,NEW,3.9%
518439104,EL,LAUDER ESTEE COS INC,845787,845787,68.34M,68.34M,NEW,3.9%
N07059210,ASML,ASML HOLDING N V,85268,85268,68.33M,68.33M,NEW,3.9%
458140100,INTC,INTEL CORP,2684349,2684349,60.13M,60.13M,NEW,3.4%
24703L202,DELL,DELL TECHNOLOGIES INC,465630,398121,57.09M,48.81M,+589.7%,3.2%
007903107,AMD,ADVANCED MICRO DEVICES INC,289478,289478,41.08M,41.08M,NEW,2.3%
67066G104,NVDA,NVIDIA CORPORATION,819451,114689,129.47M,18.12M,+16.3%,7.3%
227046109,CROX,CROCS INC,650355,134224,65.87M,13.59M,+26%,3.7%
G9460G101,VAL,VALARIS LTD,235759,235759,9.93M,9.93M,NEW,0.56%
573874104,MRVL,MARVELL TECHNOLOGY INC,116610,116610,9.03M,9.03M,NEW,0.51%
91912E105,VALE,VALE S A,888445,888445,8.63M,8.63M,NEW,0.49%
25402D102,DOCN,DIGITALOCEAN HLDGS INC,295395,295395,8.44M,8.44M,NEW,0.48%
713448108,PEP,PEPSICO INC,63037,63037,8.32M,8.32M,NEW,0.47%
G7997W102,SDRL,SEADRILL LTD,316070,316070,8.3M,8.3M,NEW,0.47%
G65431127,NE,NOBLE CORP PLC,286730,286730,7.61M,7.61M,NEW,0.43%
77543R102,ROKU,ROKU INC,176975,86220,15.55M,7.58M,+95%,0.88%
03831W108,APP,APPLOVIN CORP,20258,20258,7.09M,7.09M,NEW,0.4%
75281A109,RRC,RANGE RES CORP,145873,145873,5.93M,5.93M,NEW,0.34%
06849F108,B,BARRICK MNG CORP,282220,282220,5.88M,5.88M,NEW,0.33%
H8817H100,RIG,TRANSOCEAN LTD,2104832,2104832,5.45M,5.45M,NEW,0.31%
19260Q107,COIN,COINBASE GLOBAL INC,242679,13120,85.06M,4.6M,+5.7%,4.8%
12769G100,CZR,CAESARS ENTERTAINMENT INC NE,2583236,157982,73.34M,4.49M,+6.5%,4.1%
93403J106,WRBY,WARBY PARKER INC,169220,169220,3.71M,3.71M,NEW,0.21%
