CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
874039100,TSM,TAIWAN SEMICONDUCTOR MFG LTD,98536,98536,22.32M,22.32M,NEW,2.1%
042068205,ARM,ARM HOLDINGS PLC,225452,74131,36.46M,11.99M,+49%,3.4%
67066G104,NVDA,NVIDIA CORPORATION,1179639,61543,186.37M,9.72M,+5.5%,17.5%
81762P102,NOW,SERVICENOW INC,44538,2095,45.79M,2.15M,+4.9%,4.3%
92826C839,V,VISA INC,164210,5953,58.3M,2.11M,+3.8%,5.5%
64110L106,NFLX,NETFLIX INC,24327,1110,32.58M,1.49M,+4.8%,3.1%
46138G888,TBLL,INVESCO EXCH TRADED FD TR II,75666,11921,7.99M,1.26M,+18.7%,0.75%
57636Q104,MA,MASTERCARD INCORPORATED,77462,2151,43.53M,1.21M,+2.9%,4.1%
127387108,CDNS,CADENCE DESIGN SYSTEM INC,82440,3369,25.4M,1.04M,+4.3%,2.4%
023135106,AMZN,AMAZON COM INC,446416,3682,97.94M,807.79K,+0.8%,9.2%
30303M102,META,META PLATFORMS INC,56894,1041,41.99M,768.35K,+1.9%,3.9%
311900104,FAST,FASTENAL CO,25600,12800,1.08M,537.6K,+100%,0.1%
68389X105,ORCL,ORACLE CORP,132098,1808,28.88M,395.28K,+1.4%,2.7%
02079K107,GOOG,ALPHABET INC,234306,1970,41.56M,349.46K,+0.8%,3.9%
594918104,MSFT,MICROSOFT CORP,112879,696,56.15M,346.2K,+0.6%,5.3%
303250104,FICO,FAIR ISAAC CORP,15009,115,27.44M,210.22K,+0.8%,2.6%
11135F101,AVGO,BROADCOM INC,73576,281,20.28M,77.46K,+0.4%,1.9%
88160R101,TSLA,TESLA INC,2217,68,704.25K,21.6K,+3.2%,0.07%
02079K305,GOOGL,ALPHABET INC,60418,76,10.65M,13.39K,+0.1%,1%
65339F101,NEE,NEXTERA ENERGY INC,13711,0,951.82K,0,NO CHANGE,0.09%
532457108,LLY,ELI LILLY & CO,1118,0,871.51K,0,NO CHANGE,0.08%
754730109,RJF,RAYMOND JAMES FINL INC,3196,0,490.17K,0,NO CHANGE,0.05%
