CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
29362U104,ENTG,Entegris Inc,1645885,1645885,132.74M,132.74M,NEW,3.4%
594918104,MSFT,Microsoft Corp,200930,200930,99.94M,99.94M,NEW,2.6%
457669307,INSM,Insmed Inc,2253435,884385,226.79M,89M,+64.6%,5.8%
934423104,WBD,Warner Bros Discovery Inc,6537160,6537160,74.92M,74.92M,NEW,1.9%
172967424,C,Citigroup Inc,666300,666300,56.72M,56.72M,NEW,1.4%
77543R102,ROKU,Roku Inc,1100500,606900,96.72M,53.34M,+123%,2.5%
81369Y605,XLF,Select Sector Spdr Tr,985300,985300,51.6M,51.6M,NEW,1.3%
76131D103,QSR,Restaurant Brands Intl Inc,751010,751010,49.78M,49.78M,NEW,1.3%
81141R100,SE,Sea Ltd,309730,309730,49.54M,49.54M,NEW,1.3%
G6683N103,NU,Nu Hldgs Ltd,3415365,3415365,46.86M,46.86M,NEW,1.2%
91332U101,U,Unity Software Inc,1774050,1774050,42.93M,42.93M,NEW,1.1%
874039100,TSM,Taiwan Semiconductor Mfg Ltd,765085,166305,173.28M,37.67M,+27.8%,4.4%
144285103,CRS,Carpenter Technology Corp,126635,126635,35M,35M,NEW,0.89%
219350105,GLW,Corning Inc,623145,623145,32.77M,32.77M,NEW,0.84%
38141G104,GS,Goldman Sachs Group Inc,42000,42000,29.73M,29.73M,NEW,0.76%
452327109,ILMN,Illumina Inc,300615,300615,28.68M,28.68M,NEW,0.73%
11135F101,AVGO,Broadcom Inc,86140,86140,23.74M,23.74M,NEW,0.61%
26884L109,EQT,Eqt Corp,1252700,393355,73.06M,22.94M,+45.8%,1.9%
247361702,DAL,Delta Air Lines Inc Del,793510,448375,39.02M,22.05M,+129.9%,1%
464286400,EWZ,Ishares Inc,738800,738800,21.31M,21.31M,NEW,0.54%
418056107,HAS,Hasbro Inc,281100,281100,20.75M,20.75M,NEW,0.53%
68404L201,OPCH,Option Care Health Inc,636850,636850,20.68M,20.68M,NEW,0.53%
983793100,XPO,Xpo Inc,163100,163100,20.6M,20.6M,NEW,0.53%
881624209,TEVA,Teva Pharmaceutical Inds Ltd,15968935,1089185,267.64M,18.25M,+7.3%,6.8%
03831W108,APP,Applovin Corp,89458,49258,31.32M,17.24M,+122.5%,0.8%
256163106,DOCU,Docusign Inc,1290440,215785,100.51M,16.81M,+20.1%,2.6%
060505104,BAC,Bank America Corp,341900,341900,16.18M,16.18M,NEW,0.41%
16935C109,CHYM,Chime Finl Inc,466825,466825,16.11M,16.11M,NEW,0.41%
92686J106,VKTX,Viking Therapeutics Inc,549295,549295,14.56M,14.56M,NEW,0.37%
05605H100,BWXT,Bwx Technologies Inc,76475,76475,11.02M,11.02M,NEW,0.28%
G0896C103,TBBB,Bbb Foods Inc,360550,360550,10.01M,10.01M,NEW,0.26%
23331A109,DHI,D R Horton Inc,77400,77400,9.98M,9.98M,NEW,0.25%
