CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
G25508105,CRH,CRH PLC,2729422,2729422,250.56M,250.56M,NEW,54%
G3643J108,FLUT,Flutter Entertainment PLC,508574,508574,145.29M,145.29M,NEW,31.3%
594918104,MSFT,Microsoft Corp,16363,16363,8.14M,8.14M,NEW,1.8%
67066G104,NVDA,NVIDIA Corp,41596,41596,6.57M,6.57M,NEW,1.4%
874039100,TSM,TSMC,18504,18504,4.19M,4.19M,NEW,0.9%
G0260P102,AS,AMER SPORTS INC,101694,101694,3.94M,3.94M,NEW,0.85%
03769M106,APO,APOLLO GLOBAL MANAGEMENT INC,25835,25835,3.67M,3.67M,NEW,0.79%
58733R102,MELI,MercadoLibre Inc,1255,1255,3.28M,3.28M,NEW,0.71%
01609W102,BABA,ALIBABA GROUP HOLDING-SP ADR,27137,27137,3.08M,3.08M,NEW,0.66%
876030107,TPR,Tapestry,34949,34949,3.07M,3.07M,NEW,0.66%
02079K305,GOOGL,Alphabet Inc,17141,17141,3.02M,3.02M,NEW,0.65%
68902V107,OTIS,Otis Worldwide,27031,27031,2.68M,2.68M,NEW,0.58%
81141R100,SE,SEA LTD-ADR,14243,14243,2.28M,2.28M,NEW,0.49%
02079K107,GOOG,Alphabet Inc,12560,12560,2.23M,2.23M,NEW,0.48%
23804L103,DDOG,DATADOG INC - CLASS A,15837,15837,2.13M,2.13M,NEW,0.46%
90353T100,UBER,Uber Technologies,21021,21021,1.96M,1.96M,NEW,0.42%
64110L106,NFLX,Netflix,1437,1437,1.92M,1.92M,NEW,0.41%
09061G101,BMRN,BioMarin Pharmaceutical,23419,23419,1.29M,1.29M,NEW,0.28%
532457108,LLY,Eli Lilly & Co,1651,1651,1.29M,1.29M,NEW,0.28%
743315103,PGR,Progressive,4609,4609,1.23M,1.23M,NEW,0.27%
19247G107,COHR,Coherent Corp,13242,13242,1.18M,1.18M,NEW,0.25%
81762P102,NOW,ServiceNow Inc,1087,1087,1.12M,1.12M,NEW,0.24%
92826C839,V,Visa Inc,2984,2984,1.06M,1.06M,NEW,0.23%
732908108,PONY,Pony AI Sp ADR,78782,78782,1.04M,1.04M,NEW,0.22%
H5919C104,ONON,ON HOLDING AG-A,19738,19738,1.03M,1.03M,NEW,0.22%
093712107,BE,Bloom Energy Corp,40984,40984,980.34K,980.34K,NEW,0.21%
82509L107,SHOP,SHOPIFY INC - A,8111,8111,935.6K,935.6K,NEW,0.2%
443573100,HUBS,HubSpot,1625,1625,904.52K,904.52K,NEW,0.2%
55354G100,MSCI,MSCI A,1565,1565,902.6K,902.6K,NEW,0.19%
60937P106,MDB,MONGODB INC,3880,3880,814.76K,814.76K,NEW,0.18%
26853E102,EH,EHang Holdings Ltd,46336,46336,804.39K,804.39K,NEW,0.17%
72703X106,PL,Planet Labs PBC,129008,129008,786.95K,786.95K,NEW,0.17%
303250104,FICO,Fair Isaac Corp,187,187,341.83K,341.83K,NEW,0.07%
Total,,,,,463.7M,463.7M,+100%,100%
