CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
093712107,BE,BLOOM ENERGY CORP,655000,655000,15.73M,15.73M,NEW,11.9%
36165L108,GDS,GDS HLDGS LTD,355200,355200,10.89M,10.89M,NEW,8.2%
92189F791,GDXJ,VANECK ETF TRUST,150000,150000,10.14M,10.14M,NEW,7.6%
011532108,AGI,ALAMOS GOLD INC NEW,438620,342894,11.65M,9.11M,+358.2%,8.8%
008474108,AEM,AGNICO EAGLE MINES LTD,50000,50000,5.95M,5.95M,NEW,4.5%
644535106,NGD,NEW GOLD INC CDA,1579297,1189249,7.82M,5.89M,+304.9%,5.9%
651639106,NEM,NEWMONT CORP,100000,100000,5.83M,5.83M,NEW,4.4%
44955L106,IAUX,I-80 GOLD CORP,7500000,7500000,4.49M,4.49M,NEW,3.4%
428050108,HSAI,HESAI GROUP,205600,205600,4.42M,4.42M,NEW,3.3%
732908108,PONY,PONY AI INC,320300,320300,4.24M,4.24M,NEW,3.2%
26853E102,EH,EHANG HLDGS LTD,200000,186012,3.47M,3.23M,+1329.8%,2.6%
35969L108,YMM,FULL TRUCK ALLIANCE CO LTD,250000,250000,2.95M,2.95M,NEW,2.2%
48553T106,BZ,KANZHUN LIMITED,150000,150000,2.68M,2.68M,NEW,2%
G6683N103,NU,NU HLDGS LTD,158734,158734,2.18M,2.18M,NEW,1.6%
369550108,GD,GENERAL DYNAMICS CORP,6936,6936,2.02M,2.02M,NEW,1.5%
02079K107,GOOG,ALPHABET INC,14540,14540,1.88M,1.88M,NEW,1.4%
86800U302,SMCI,SUPER MICRO COMPUTER INC,38169,38169,1.87M,1.87M,NEW,1.4%
82575P107,SBSW,SIBANYE STILLWATER LTD,251590,251590,1.82M,1.82M,NEW,1.4%
46138E800,CQQQ,INVESCO EXCH TRADED FD TR II,40761,40761,1.8M,1.8M,NEW,1.4%
42806J700,HTZ,HERTZ GLOBAL HLDGS INC,239629,239629,1.64M,1.64M,NEW,1.2%
296006109,ERO,ERO COPPER CORP,80910,80910,1.36M,1.36M,NEW,1%
45258D105,IMCR,IMMUNOCORE HLDGS PLC,40000,40000,1.26M,1.26M,NEW,0.95%
29357K103,ENVA,ENOVA INTL INC,10238,10238,1.14M,1.14M,NEW,0.86%
26884L109,EQT,EQT CORP,18554,18554,1.08M,1.08M,NEW,0.82%
36118L106,FUTU,FUTU HLDGS LTD,8286,8286,1.02M,1.02M,NEW,0.77%
82835P103,SVM,SILVERCORP METALS INC,238329,238329,1.01M,1.01M,NEW,0.76%
G3643J108,FLUT,FLUTTER ENTMT PLC,4726,4726,983.27K,983.27K,NEW,0.74%
165167735,EXE,EXPAND ENERGY CORPORATION,8253,8253,965.11K,965.11K,NEW,0.73%
101137107,BSX,BOSTON SCIENTIFIC CORP,8690,8690,933.39K,933.39K,NEW,0.7%
773121108,RKLB,ROCKET LAB CORP,25988,25988,929.59K,929.59K,NEW,0.7%
115236101,BRO,BROWN & BROWN INC,8275,8275,917.45K,917.45K,NEW,0.69%
363576109,AJG,GALLAGHER ARTHUR J & CO,2713,2713,868.49K,868.49K,NEW,0.66%
83418M103,SEI,SOLARIS ENERGY INFRAS INC,30599,30599,865.65K,865.65K,NEW,0.65%
03823U102,AAOI,APPLIED OPTOELECTRONICS INC,33331,33331,856.27K,856.27K,NEW,0.65%
81141R100,SE,SEA LTD,9000,4600,1.41M,720.59K,+104.5%,1.1%
218352102,CORT,CORCEPT THERAPEUTICS INC,9728,9728,714.03K,714.03K,NEW,0.54%
48581R205,KSPI,KASPI KZ JSC,7400,7400,628.19K,628.19K,NEW,0.47%
387328107,GVA,GRANITE CONSTR INC,6159,6159,575.93K,575.93K,NEW,0.43%
586001109,SHCO,SOHO HOUSE & CO INC,76700,76700,563.75K,563.75K,NEW,0.43%
714266103,PPTA,PERPETUA RESOURCES CORP,35000,35000,424.9K,424.9K,NEW,0.32%
003262102,PALL,ABRDN PALLADIUM ETF TRUST,3000,3000,301.83K,301.83K,NEW,0.23%
771049103,RBLX,ROBLOX CORP,9230,2380,524.67K,135.29K,+34.7%,0.4%
45104G104,IBN,ICICI BANK LIMITED,12000,2000,404.4K,67.4K,+20%,0.31%
30303M102,META,META PLATFORMS INC,5355,0,2.88M,0,NO CHANGE,2.2%
63900P608,NRP,NATURAL RESOURCE PARTNERS L,8000,0,764.08K,0,NO CHANGE,0.58%
00138L108,RERE,ATRENEW INC,226700,0,720.91K,0,NO CHANGE,0.54%
811916105,SA,SEABRIDGE GOLD INC,35000,0,508.2K,0,NO CHANGE,0.38%
92919F103,VOXR,VOX ROYALTY CORP,85000,0,268.6K,0,NO CHANGE,0.2%
70450Y103,PYPL,PAYPAL HLDGS INC,3730,0,201.83K,0,NO CHANGE,0.15%
071734107,BHC,BAUSCH HEALTH COS INC,37506,0,181.87K,0,NO CHANGE,0.14%
023135106,AMZN,AMAZON COM INC,2040,-171,325.86K,-27.31K,-7.7%,0.25%
