CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
04626A103,ALAB,ASTERA LABS INC,1180848,1180848,106.77M,106.77M,NEW,17.5%
007903107,AMD,ADVANCED MICRO DEVICES INC,573000,500800,81.31M,71.06M,+693.6%,13.3%
G25457105,CRDO,CREDO TECHNOLOGY GROUP HOLDI,680555,680555,63.01M,63.01M,NEW,10.3%
573874104,MRVL,MARVELL TECHNOLOGY INC,674500,674500,52.21M,52.21M,NEW,8.6%
012653101,ALB,ALBEMARLE CORP,525016,525016,32.9M,32.9M,NEW,5.4%
03831W108,APP,APPLOVIN CORP,92234,92234,32.29M,32.29M,NEW,5.3%
19247G107,COHR,COHERENT CORP,342400,342400,30.55M,30.55M,NEW,5%
127387108,CDNS,CADENCE DESIGN SYSTEM INC,69300,69300,21.35M,21.35M,NEW,3.5%
06849F108,B,BARRICK MNG CORP,981500,981500,20.43M,20.43M,NEW,3.3%
91332U101,U,UNITY SOFTWARE INC,1107702,742102,26.81M,17.96M,+203%,4.4%
032095101,APH,AMPHENOL CORP NEW,123300,123300,12.18M,12.18M,NEW,2%
950915108,WRD,WERIDE INC,1398800,1398800,11.02M,11.02M,NEW,1.8%
19260Q107,COIN,COINBASE GLOBAL INC,31900,18400,11.18M,6.45M,+136.3%,1.8%
67066G104,NVDA,NVIDIA CORPORATION,155500,27900,24.57M,4.41M,+21.9%,4%
47215P106,JD,JD.COM INC,104000,104000,3.39M,3.39M,NEW,0.56%
926400102,VSCO,VICTORIAS SECRET AND CO,52800,52800,977.86K,977.86K,NEW,0.16%
23703Q203,DQ,DAQO NEW ENERGY CORP,289376,33300,4.39M,505.16K,+13%,0.72%
874080104,TAL,TAL EDUCATION GROUP,784777,-15244,8.02M,-155.79K,-1.9%,1.3%
01609W102,BABA,ALIBABA GROUP HLDG LTD,47600,-4600,5.4M,-521.69K,-8.8%,0.88%
958102105,WDC,WESTERN DIGITAL CORP,0,-57900,0,-2.34M,CLOSE,0%
23804L103,DDOG,DATADOG INC,0,-24700,0,-2.45M,CLOSE,0%
80004C200,SNDK,SANDISK CORP,0,-53266,0,-2.54M,CLOSE,0%
458140100,INTC,INTEL CORP,0,-137600,0,-3.12M,CLOSE,0%
48553T106,BZ,KANZHUN LIMITED,0,-232800,0,-4.46M,CLOSE,0%
042068205,ARM,ARM HOLDINGS PLC,0,-50000,0,-5.34M,CLOSE,0%
64110W102,NTES,NETEASE INC,0,-54000,0,-5.56M,CLOSE,0%
29414B104,EPAM,EPAM SYS INC,0,-38700,0,-6.53M,CLOSE,0%
482497104,BEKE,KE HLDGS INC,0,-392500,0,-7.89M,CLOSE,0%
91347P105,OLED,UNIVERSAL DISPLAY CORP,229800,-65200,35.49M,-10.07M,-22.1%,5.8%
654106103,NKE,NIKE INC,0,-160200,0,-10.17M,CLOSE,0%
874039100,TSM,TAIWAN SEMICONDUCTOR MFG LTD,100100,-47500,22.67M,-10.76M,-32.2%,3.7%
771049103,RBLX,ROBLOX CORP,0,-188900,0,-11.01M,CLOSE,0%
G11448100,BTDR,BITDEER TECHNOLOGIES GROUP,290700,-1041500,3.34M,-11.96M,-78.2%,0.55%
20717M103,CFLT,CONFLUENT INC,0,-554136,0,-12.99M,CLOSE,0%
36266G107,GEHC,GE HEALTHCARE TECHNOLOGIES I,0,-170600,0,-13.77M,CLOSE,0%
747525103,QCOM,QUALCOMM INC,0,-97100,0,-14.92M,CLOSE,0%
92537N108,VRT,VERTIV HOLDINGS CO,0,-462450,0,-33.39M,CLOSE,0%
Total,,,,,610.26M,317.54M,+119%,100%
