CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
171779309,CIEN,CIENA CORP,287247,287247,23.36M,23.36M,NEW,10.7%
879433829,TDS,TELEPHONE & DATA SYS INC,1623799,187888,57.77M,6.69M,+13.1%,26.5%
02156K103,OPTU,ALTICE USA INC,3577458,2059640,7.66M,4.41M,+135.7%,3.5%
G76279101,ROIV,ROIVANT SCIENCES LTD,900000,50000,10.14M,563.5K,+5.9%,4.7%
03879J100,ABUS,ARBUTUS BIOPHARMA CORP,2557367,106946,7.9M,330.46K,+4.4%,3.6%
96812F110,BAERW,BRIDGER AEROSPACE GRP HLDGS,10000,10000,775,775,NEW,<.01%
55024UAH2,LITE,LUMENTUM HLDGS INC,27000000,0,41.45M,0,NO CHANGE,19%
140501AE7,CSWC,CAPITAL SOUTHWEST CORP,21500000,0,21.19M,0,NO CHANGE,9.7%
85512G106,STHO,STAR HLDGS,883897,0,6.9M,0,NO CHANGE,3.2%
45174J509,IHRT,IHEARTMEDIA INC,1891770,0,3.33M,0,NO CHANGE,1.5%
84757T113,MDAIW,SPECTRAL AI INC,11666,0,8.17K,0,NO CHANGE,<.01%
G85727116,SDAWW,SUNCAR TECHNOLOGY GROUP INC,10000,0,700,0,NO CHANGE,<.01%
75605Y106,HOUS,ANYWHERE REAL ESTATE INC,545115,-106266,1.97M,-384.68K,-16.3%,0.91%
N97284108,NBIS,NEBIUS GROUP N.V.,0,-171000,0,-3.61M,CLOSE,0%
55024U109,LITE,LUMENTUM HLDGS INC,23779,-148589,2.26M,-14.12M,-86.2%,1%
87422Q109,TLN,TALEN ENERGY CORP,0,-87564,0,-17.48M,CLOSE,0%
20337X109,VISN,COMMSCOPE HLDG CO INC,4104879,-3043568,33.99M,-25.2M,-42.6%,15.6%
Total,,,,,217.94M,-25.45M,-12%,100%
