CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
96208T104,WEX,WEX INC,65460,62659,9.62M,9.2M,+2237%,3%
45841N107,IBKR,INTERACTIVE BROKERS GROUP IN,40800,30600,2.26M,1.7M,+300%,0.7%
20786W107,CNOB,CONNECTONE BANCORP INC,282065,71341,6.53M,1.65M,+33.9%,2%
G491BT108,IVZ,INVESCO LTD,75000,75000,1.18M,1.18M,NEW,0.37%
37247D106,GNW,GENWORTH FINL INC,184575,118900,1.44M,925.04K,+181%,0.45%
68417L107,OBT,ORANGE CNTY BANCORP INC,20000,20000,516.8K,516.8K,NEW,0.16%
913290102,UNTY,UNITY BANCORP INC,33256,9530,1.57M,448.67K,+40.2%,0.49%
43785V102,MCHB,HOMESTREET INC,220698,31674,2.88M,413.98K,+16.8%,0.9%
97717P104,WT,WISDOMTREE INC,24074,24074,277.09K,277.09K,NEW,0.09%
69346J106,GHY,PGIM GLOBAL HIGH YIELD FD FO,19000,19000,254.79K,254.79K,NEW,0.08%
594918104,MSFT,MICROSOFT CORP,445,445,221.35K,221.35K,NEW,0.07%
78467Y107,MDY,SPDR S&P MIDCAP 400 ETF TR,1624,285,919.96K,161.45K,+21.3%,0.29%
902952100,GROW,U S GLOBAL INVS INC,684223,35472,1.78M,92.23K,+5.5%,0.55%
902788108,UMBF,UMB FINL CORP,101175,700,10.64M,73.61K,+0.7%,3.3%
957638109,WAL,WESTERN ALLIANCE BANCORP,91475,496,7.13M,38.68K,+0.5%,2.2%
37149D204,GIPR,GENERATION INCOME PPTYS INC,228643,24443,333.82K,35.69K,+12%,0.1%
46137V357,RSP,INVESCO EXCHANGE TRADED FD T,22107,91,4.02M,16.54K,+0.4%,1.3%
05465C100,AX,AXOS FINANCIAL INC,153230,0,11.65M,0,NO CHANGE,3.6%
21871X109,CRBG,COREBRIDGE FINL INC,248500,0,8.82M,0,NO CHANGE,2.7%
29667J101,ESQ,ESQUIRE FINL HLDGS INC,93061,0,8.81M,0,NO CHANGE,2.7%
67103X102,OFG,OFG BANCORP,202430,0,8.66M,0,NO CHANGE,2.7%
66405S100,NBN,NORTHEAST BK PORTLAND ME,73433,0,6.53M,0,NO CHANGE,2%
15746L100,CBNA,CHAIN BRIDGE BANCORP INC,202500,0,5.22M,0,NO CHANGE,1.6%
947890109,WBS,WEBSTER FINL CORP,74400,0,4.06M,0,NO CHANGE,1.3%
67109R109,OPBK,OP BANCORP,254273,0,3.3M,0,NO CHANGE,1%
139737100,CBNK,CAPITAL BANCORP INC MD,88925,0,2.99M,0,NO CHANGE,0.93%
25432X102,DCOM,DIME CMNTY BANCSHARES INC,93438,0,2.52M,0,NO CHANGE,0.78%
89832Q109,TFC,TRUIST FINL CORP,58000,0,2.49M,0,NO CHANGE,0.78%
852234103,XYZ,BLOCK INC,31400,0,2.13M,0,NO CHANGE,0.66%
H42097107,UBS,UBS GROUP AG,47600,0,1.61M,0,NO CHANGE,0.5%
30303M102,META,META PLATFORMS INC,2080,0,1.54M,0,NO CHANGE,0.48%
03076C106,AMP,AMERIPRISE FINL INC,2600,0,1.39M,0,NO CHANGE,0.43%
860630102,SF,STIFEL FINL CORP,12000,0,1.25M,0,NO CHANGE,0.39%
319390100,FBIZ,FIRST BUSINESS FINL SVCS INC,23650,0,1.2M,0,NO CHANGE,0.37%
12326C105,BFST,BUSINESS FIRST BANCSHARES IN,42804,0,1.06M,0,NO CHANGE,0.33%
46137V308,PKW,INVESCO EXCHANGE TRADED FD T,8156,0,1.01M,0,NO CHANGE,0.31%
92826C839,V,VISA INC,2391,0,848.92K,0,NO CHANGE,0.26%
