CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
N07059210,ASML,ASML HOLDING N V,38000,9300,30.45M,7.45M,+32.4%,7.3%
74275K108,PCOR,PROCORE TECHNOLOGIES INC,420000,97500,28.74M,6.67M,+30.2%,6.9%
22266T109,CPNG,COUPANG INC,1155000,40000,34.6M,1.2M,+3.6%,8.3%
30303M102,META,META PLATFORMS INC,80500,0,59.42M,0,NO CHANGE,14.3%
023135106,AMZN,AMAZON COM INC,230000,0,50.46M,0,NO CHANGE,12.1%
58733R102,MELI,MERCADOLIBRE INC,15000,0,39.2M,0,NO CHANGE,9.4%
82509L107,SHOP,SHOPIFY INC,330000,0,38.07M,0,NO CHANGE,9.1%
57636Q104,MA,MASTERCARD INCORPORATED,44000,0,24.73M,0,NO CHANGE,5.9%
92826C839,V,VISA INC,63000,0,22.37M,0,NO CHANGE,5.4%
90353T100,UBER,UBER TECHNOLOGIES INC,275000,-35000,25.66M,-3.27M,-11.3%,6.2%
40171V100,GWRE,GUIDEWIRE SOFTWARE INC,115000,-22500,27.08M,-5.3M,-16.4%,6.5%
L8681T102,SPOT,SPOTIFY TECHNOLOGY S A,46000,-9000,35.3M,-6.91M,-16.4%,8.5%
530307107,LBRDA,LIBERTY BROADBAND CORP,0,-177000,0,-15.04M,CLOSE,0%
Total,,,,,416.06M,-15.19M,-4.3%,100%
