CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
22266T109,CPNG,COUPANG INC,254100,254100,7.61M,7.61M,NEW,5.8%
82452J109,FOUR,SHIFT4 PMTS INC,60800,60800,6.03M,6.03M,NEW,4.6%
77664L207,ROOT,ROOT INC,19700,19700,2.52M,2.52M,NEW,1.9%
63845R107,EYE,NATIONAL VISION HLDGS INC,80000,80000,1.84M,1.84M,NEW,1.4%
68280L101,ONEW,ONEWATER MARINE INC,470246,71435,6.3M,956.51K,+17.9%,4.8%
81141R100,SE,SEA LTD,93500,3500,14.95M,559.79K,+3.9%,11.3%
88338K103,STKS,THE ONE GROUP HOSPITALITY INC,439107,120164,1.78M,486.66K,+37.7%,1.3%
17306X102,CTRN,CITI TRENDS INC,172229,3461,5.75M,115.56K,+2.1%,4.4%
687793109,OSCR,OSCAR HEALTH INC,270000,0,5.79M,0,NO CHANGE,4.4%
146869102,CVNA,CARVANA CO,236080,-165291,79.55M,-55.7M,-41.2%,60.2%
Total,,,,,132.12M,-35.58M,-32.2%,100%
