CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
922908363,VOO,VANGUARD INDEX FDS,1621868,1621868,921.27M,921.27M,NEW,4.7%
594918104,MSFT,MICROSOFT CORP,1609164,1609164,800.41M,800.41M,NEW,4%
037833100,AAPL,APPLE INC,3402314,3402314,698.05M,698.05M,NEW,3.5%
464287804,IJR,ISHARES TR,5005104,5005104,547.01M,547.01M,NEW,2.8%
78462F103,SPY,SPDR S&P 500 ETF TR,829119,829119,512.27M,512.27M,NEW,2.6%
46625H100,JPM,JPMORGAN CHASE & CO.,1171886,1171886,339.74M,339.74M,NEW,1.7%
68389X105,ORCL,ORACLE CORP,1359673,1359673,297.27M,297.27M,NEW,1.5%
023135106,AMZN,AMAZON COM INC,1287325,1287325,282.43M,282.43M,NEW,1.4%
02079K305,GOOGL,ALPHABET INC,1441137,1441137,253.97M,253.97M,NEW,1.3%
532457108,LLY,ELI LILLY & CO,310958,310958,242.4M,242.4M,NEW,1.2%
57636Q104,MA,MASTERCARD INCORPORATED,411352,411352,231.16M,231.16M,NEW,1.2%
02079K107,GOOG,ALPHABET INC,1291225,1291225,229.05M,229.05M,NEW,1.2%
478160104,JNJ,JOHNSON & JOHNSON,1445438,1445438,220.79M,220.79M,NEW,1.1%
67066G104,NVDA,NVIDIA CORPORATION,1316850,1316850,208.05M,208.05M,NEW,1.1%
922908751,VB,VANGUARD INDEX FDS,858315,858315,203.4M,203.4M,NEW,1%
746729300,PVAL,PUTNAM ETF TRUST,4997322,4997322,201.04M,201.04M,NEW,1%
46435G268,SMMD,ISHARES TR,2930717,2930717,198.64M,198.64M,NEW,1%
30303M102,META,META PLATFORMS INC,258839,258839,191.05M,191.05M,NEW,0.97%
437076102,HD,HOME DEPOT INC,499997,499997,183.32M,183.32M,NEW,0.93%
17275R102,CSCO,CISCO SYS INC,2469978,2469978,171.37M,171.37M,NEW,0.87%
002824100,ABT,ABBOTT LABS,1252562,1252562,170.36M,170.36M,NEW,0.86%
09857L108,BKNG,BOOKING HOLDINGS INC,28050,28050,162.39M,162.39M,NEW,0.82%
75513E101,RTX,RTX CORPORATION,1109208,1109208,161.97M,161.97M,NEW,0.82%
032095101,APH,AMPHENOL CORP NEW,1612788,1612788,159.26M,159.26M,NEW,0.81%
922908769,VTI,VANGUARD INDEX FDS,519654,519654,157.94M,157.94M,NEW,0.8%
742718109,PG,PROCTER AND GAMBLE CO,974321,974321,155.23M,155.23M,NEW,0.79%
25434V880,DFAX,DIMENSIONAL ETF TRUST,5135326,5135326,150.82M,150.82M,NEW,0.76%
30231G102,XOM,EXXON MOBIL CORP,1367666,1367666,147.43M,147.43M,NEW,0.75%
166764100,CVX,CHEVRON CORP NEW,979841,979841,140.3M,140.3M,NEW,0.71%
92826C839,V,VISA INC,386187,386187,137.12M,137.12M,NEW,0.69%
872540109,TJX,TJX COS INC NEW,1085102,1085102,134M,134M,NEW,0.68%
G1151C101,ACN,ACCENTURE PLC IRELAND,435249,435249,130.09M,130.09M,NEW,0.66%
22160K105,COST,COSTCO WHSL CORP NEW,125464,125464,124.2M,124.2M,NEW,0.63%
921908844,VIG,VANGUARD SPECIALIZED FUNDS,600261,600261,122.86M,122.86M,NEW,0.62%
64110L106,NFLX,NETFLIX INC,89034,89034,119.23M,119.23M,NEW,0.6%
H1467J104,CB,CHUBB LIMITED,408883,408883,118.46M,118.46M,NEW,0.6%
921943858,VEA,VANGUARD TAX-MANAGED FDS,2042402,2042402,116.44M,116.44M,NEW,0.59%
713448108,PEP,PEPSICO INC,880325,880325,116.24M,116.24M,NEW,0.59%
46434G822,EWJ,ISHARES INC,1452405,1452405,108.89M,108.89M,NEW,0.55%
038222105,AMAT,APPLIED MATLS INC,561470,561470,102.79M,102.79M,NEW,0.52%
922908736,VUG,VANGUARD INDEX FDS,231372,231372,101.43M,101.43M,NEW,0.51%
025816109,AXP,AMERICAN EXPRESS CO,307470,307470,98.08M,98.08M,NEW,0.5%
46137V357,RSP,INVESCO EXCHANGE TRADED FD T,531112,531112,96.52M,96.52M,NEW,0.49%
084670702,BRK.B,BERKSHIRE HATHAWAY INC DEL,197984,197984,96.17M,96.17M,NEW,0.49%
931142103,WMT,WALMART INC,976100,976100,95.44M,95.44M,NEW,0.48%
464287655,IWM,ISHARES TR,434294,434294,93.72M,93.72M,NEW,0.47%
580135101,MCD,MCDONALDS CORP,320245,320245,93.57M,93.57M,NEW,0.47%
693475105,PNC,PNC FINL SVCS GROUP INC,492498,492498,91.81M,91.81M,NEW,0.46%
464288521,USRT,ISHARES TR,1597293,1597293,90.34M,90.34M,NEW,0.46%
701094104,PH,PARKER-HANNIFIN CORP,124547,124547,86.99M,86.99M,NEW,0.44%
512807306,LRCX,LAM RESEARCH CORP,885080,885080,86.15M,86.15M,NEW,0.44%
464287200,IVV,ISHARES TR,135107,135107,83.89M,83.89M,NEW,0.42%
438516106,HON,HONEYWELL INTL INC,359947,359947,83.82M,83.82M,NEW,0.42%
808513105,SCHW,SCHWAB CHARLES CORP,908537,908537,82.89M,82.89M,NEW,0.42%
11135F101,AVGO,BROADCOM INC,299248,299248,82.49M,82.49M,NEW,0.42%
09290D101,BLK,BLACKROCK INC,77794,77794,81.63M,81.63M,NEW,0.41%
464287465,EFA,ISHARES TR,891607,891607,79.7M,79.7M,NEW,0.4%
907818108,UNP,UNION PAC CORP,343722,343722,79.08M,79.08M,NEW,0.4%
922908553,VNQ,VANGUARD INDEX FDS,875642,875642,77.98M,77.98M,NEW,0.39%
747525103,QCOM,QUALCOMM INC,488610,488610,77.82M,77.82M,NEW,0.39%
504922105,LH,LABCORP HOLDINGS INC,274912,274912,72.17M,72.17M,NEW,0.37%
90138F102,TWLO,TWILIO INC,560891,560891,69.75M,69.75M,NEW,0.35%
031100100,AME,AMETEK INC,385005,385005,69.67M,69.67M,NEW,0.35%
00724F101,ADBE,ADOBE INC,172039,172039,66.56M,66.56M,NEW,0.34%
00287Y109,ABBV,ABBVIE INC,355906,355906,66.06M,66.06M,NEW,0.33%
452308109,ITW,ILLINOIS TOOL WKS INC,265566,265566,65.66M,65.66M,NEW,0.33%
79466L302,CRM,SALESFORCE INC,240005,240005,65.45M,65.45M,NEW,0.33%
464288240,ACWX,ISHARES TR,1041196,1041196,63.45M,63.45M,NEW,0.32%
040413205,ANET,ARISTA NETWORKS INC,617618,617618,63.19M,63.19M,NEW,0.32%
