CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
594918104,MSFT,MICROSOFT CORP,58935,16911,29.32M,8.41M,+40.2%,12.6%
64110L106,NFLX,NETFLIX INC,8260,4492,11.06M,6.02M,+119.2%,4.8%
18915M107,NET,CLOUDFLARE INC,26270,26270,5.14M,5.14M,NEW,2.2%
98980G102,ZS,ZSCALER INC,12416,12416,3.9M,3.9M,NEW,1.7%
92537N108,VRT,VERTIV HOLDINGS CO,30098,30098,3.86M,3.86M,NEW,1.7%
833445109,SNOW,SNOWFLAKE INC,16986,16986,3.8M,3.8M,NEW,1.6%
803054204,SAP,SAP SE,12143,12143,3.69M,3.69M,NEW,1.6%
23804L103,DDOG,DATADOG INC,25075,25075,3.37M,3.37M,NEW,1.4%
11135F101,AVGO,BROADCOM INC,64401,11845,17.75M,3.27M,+22.5%,7.6%
81762P102,NOW,SERVICENOW INC,2963,2963,3.05M,3.05M,NEW,1.3%
15101Q207,CLS,CELESTICA INC,24361,19434,3.8M,3.03M,+394.4%,1.6%
67066G104,NVDA,NVIDIA CORPORATION,196671,18223,31.07M,2.88M,+10.2%,13.4%
L8681T102,SPOT,SPOTIFY TECHNOLOGY S A,9323,3255,7.15M,2.5M,+53.6%,3.1%
90353T100,UBER,UBER TECHNOLOGIES INC,21839,21839,2.04M,2.04M,NEW,0.88%
22788C105,CRWD,CROWDSTRIKE HLDGS INC,22154,3439,11.28M,1.75M,+18.4%,4.9%
19260Q107,COIN,COINBASE GLOBAL INC,4291,4291,1.5M,1.5M,NEW,0.65%
88160R101,TSLA,TESLA INC,33137,1149,10.53M,364.99K,+3.6%,4.5%
46625H100,JPM,JPMORGAN CHASE & CO.,3841,0,1.11M,0,NO CHANGE,0.48%
532457108,LLY,ELI LILLY & CO,829,0,646.23K,0,NO CHANGE,0.28%
580135101,MCD,MCDONALDS CORP,2182,0,637.51K,0,NO CHANGE,0.27%
084670702,BRK.B,BERKSHIRE HATHAWAY INC DEL,1308,0,635.39K,0,NO CHANGE,0.27%
191216100,KO,COCA COLA CO,8276,0,588.48K,0,NO CHANGE,0.25%
92826C839,V,VISA INC,1379,0,489.61K,0,NO CHANGE,0.21%
75513E101,RTX,RTX CORPORATION,3162,0,461.71K,0,NO CHANGE,0.2%
22160K105,COST,COSTCO WHSL CORP NEW,412,0,407.86K,0,NO CHANGE,0.18%
30231G102,XOM,EXXON MOBIL CORP,3662,0,394.76K,0,NO CHANGE,0.17%
478160104,JNJ,JOHNSON & JOHNSON,2582,0,394.4K,0,NO CHANGE,0.17%
166764100,CVX,CHEVRON CORP NEW,2687,0,384.75K,0,NO CHANGE,0.17%
617446448,MS,MORGAN STANLEY,2377,0,334.82K,0,NO CHANGE,0.14%
742718109,PG,PROCTER AND GAMBLE CO,2026,0,322.78K,0,NO CHANGE,0.14%
539830109,LMT,LOCKHEED MARTIN CORP,669,0,309.84K,0,NO CHANGE,0.13%
194162103,CL,COLGATE PALMOLIVE CO,2736,0,248.7K,0,NO CHANGE,0.11%
61174X109,MNST,MONSTER BEVERAGE CORP NEW,3919,0,245.49K,0,NO CHANGE,0.11%
00287Y109,ABBV,ABBVIE INC,1287,0,238.89K,0,NO CHANGE,0.1%
G0403H108,AON,AON PLC,649,0,231.54K,0,NO CHANGE,0.1%
871607107,SNPS,SYNOPSYS INC,400,0,205.07K,0,NO CHANGE,0.09%
78409V104,SPGI,S&P GLOBAL INC,309,0,162.93K,0,NO CHANGE,0.07%
58933Y105,MRK,MERCK & CO INC,1838,0,146.54K,0,NO CHANGE,0.06%
375558103,GILD,GILEAD SCIENCES INC,1246,0,138.14K,0,NO CHANGE,0.06%
55354G100,MSCI,MSCI INC,195,0,112.46K,0,NO CHANGE,0.05%
406216101,HAL,HALLIBURTON CO,3226,0,65.75K,0,NO CHANGE,0.03%
02079K305,GOOGL,ALPHABET INC,2196,-33,387.19K,-5.82K,-1.5%,0.17%
874039100,TSM,TAIWAN SEMICONDUCTOR MFG LTD,1995,-33,453.39K,-7.5K,-1.6%,0.2%
46090E103,QQQ,INVESCO QQQ TR,303,-17,167.95K,-9.42K,-5.3%,0.07%
722304102,PDD,PDD HOLDINGS INC,758,-107,79.33K,-11.2K,-12.4%,0.03%
78462F103,SPY,SPDR S&P 500 ETF TR,866,-36,537.68K,-22.35K,-4%,0.23%
78468R663,BIL,SPDR SERIES TRUST,12504,-6800,1.15M,-622.98K,-35.2%,0.49%
040413205,ANET,ARISTA NETWORKS INC,23649,-7660,2.42M,-783.69K,-24.5%,1%
02079K107,GOOG,ALPHABET INC,45117,-6876,8M,-1.22M,-13.2%,3.4%
697435105,PANW,PALO ALTO NETWORKS INC,0,-9941,0,-1.7M,CLOSE,0%
037833100,AAPL,APPLE INC,43587,-9053,8.94M,-1.86M,-17.2%,3.8%
023135106,AMZN,AMAZON COM INC,107004,-12381,23.48M,-2.72M,-10.4%,10.1%
30303M102,META,META PLATFORMS INC,34574,-7057,25.52M,-5.21M,-17%,11%
Total,,,,,232.38M,44.42M,+29.8%,100%
