CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
552953101,MGM,MGM RESORTS INTERNATIONAL,8810322,6974347,302.99M,239.85M,+379.9%,18.8%
01921D204,AAUC,ALLIED GOLD CORP,11791913,11791913,159.43M,159.43M,NEW,9.9%
44891N208,IAC,IAC INC,2036840,2036840,76.06M,76.06M,NEW,4.7%
83056P715,SKE,SKEENA RES LTD NEW,14030111,2112796,223.36M,33.64M,+17.7%,13.8%
83419D201,SLSR,SOLARIS RES INC,4811620,3942810,22.04M,18.06M,+453.8%,1.4%
450047303,IRS,IRSA INVERSIONES Y REP S A,2367181,938706,32.97M,13.08M,+65.7%,2%
29446Y502,EQX,EQUINOX GOLD CORP,7699497,2084762,44.27M,11.99M,+37.1%,2.7%
G3730H106,CCIR,COHEN CIRCLE ACQUISITION COR,2492592,641145,27.34M,7.03M,+34.6%,1.7%
G4701H109,IHS,IHS HOLDING LIMITED,2357338,923684,13.11M,5.14M,+64.4%,0.81%
226406106,CRESY,CRESUD S A C I F Y A,395181,69317,4.25M,745.85K,+21.3%,0.26%
19425C100,CNL,COLLECTIVE MINING LTD,9916894,25000,108.49M,273.5K,+0.3%,6.7%
P5626F128,IFS,INTERCORP FINL SVCS INC,1188211,0,45.31M,0,NO CHANGE,2.8%
697660207,PAM,PAMPA ENERGIA S A,492578,0,34.18M,0,NO CHANGE,2.1%
53680QAA6,LAR,LITHIUM ARGENTINA AG,14611000,0,12.21M,0,NO CHANGE,0.76%
G7500M104,RNW,RENEW ENERGY GLOBAL PLC,0,-210288,0,-1.24M,CLOSE,0%
L1995B107,CAAP,CORPORACION AMER ARPTS S A,13342552,-279847,270.32M,-5.67M,-2.1%,16.8%
29244A102,EDN,EMPRESA DIST Y COMERCIAL NOR,1788285,-242751,47.37M,-6.43M,-12%,2.9%
29278D105,ENIC,ENEL CHILE S.A.,0,-4498563,0,-14.71M,CLOSE,0%
204448104,BVN,COMPANIA DE MINAS BUENAVENTU,0,-1707359,0,-26.69M,CLOSE,0%
12769G100,CZR,CAESARS ENTERTAINMENT INC NE,0,-1164049,0,-29.1M,CLOSE,0%
91822M502,VEON,VEON LTD,1462295,-975502,67.37M,-44.94M,-40%,4.2%
L00849106,AGRO,ADECOAGRO S A,2825500,-9211704,25.83M,-84.19M,-76.5%,1.6%
284902509,EGO,ELDORADO GOLD CORP NEW,4760879,-9585492,96.84M,-194.97M,-66.8%,6%
Total,,,,,1.61B,157.33M,+12%,100%
