CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
H2927K103,AMRZ,AMRIZE LTD,250000,250000,12.39M,12.39M,NEW,7.4%
253393102,DKS,DICKS SPORTING GOODS INC,61500,61500,12.17M,12.17M,NEW,7.3%
16115Q308,GTLS,CHART INDS INC,62500,62500,10.29M,10.29M,NEW,6.1%
336433107,FSLR,FIRST SOLAR INC,60000,60000,9.93M,9.93M,NEW,5.9%
34354P105,FLS,FLOWSERVE CORP,90000,90000,4.71M,4.71M,NEW,2.8%
63845R107,EYE,NATIONAL VISION HLDGS INC,125000,125000,2.88M,2.88M,NEW,1.7%
199908104,FIX,COMFORT SYS USA INC,30000,5000,16.09M,2.68M,+20%,9.6%
03831W108,APP,APPLOVIN CORP,43900,6400,15.37M,2.24M,+17.1%,9.2%
741623102,PRMB,PRIMO BRANDS CORPORATION,200000,25000,5.92M,740.5K,+14.3%,3.5%
861896108,SNEX,STONEX GROUP INC,49011,4011,4.47M,365.56K,+8.9%,2.7%
11135F101,AVGO,BROADCOM INC,47970,0,13.22M,0,NO CHANGE,7.9%
629377508,NRG,NRG ENERGY INC,70000,0,11.24M,0,NO CHANGE,6.7%
874039100,TSM,TAIWAN SEMICONDUCTOR MFG LTD,44200,0,10.01M,0,NO CHANGE,6%
N00985106,AER,AERCAP HOLDINGS NV,80000,0,9.36M,0,NO CHANGE,5.6%
G3730V105,FTAI,FTAI AVIATION LTD,70000,0,8.05M,0,NO CHANGE,4.8%
G25508105,CRH,CRH PLC,80000,0,7.34M,0,NO CHANGE,4.4%
088929104,BGC,BGC GROUP INC,500000,0,5.12M,0,NO CHANGE,3.1%
G6683N103,NU,NU HLDGS LTD,0,-144000,0,-1.47M,CLOSE,0%
093712AK3,BE,BLOOM ENERGY CORP,5981000,-1000000,8.86M,-1.48M,-14.3%,5.3%
G0896C103,TBBB,BBB FOODS INC,0,-60000,0,-1.6M,CLOSE,0%
92840M102,VST,VISTRA CORP,0,-25000,0,-2.94M,CLOSE,0%
142339100,CSL,CARLISLE COS INC,0,-9800,0,-3.34M,CLOSE,0%
26884L109,EQT,EQT CORP,0,-70000,0,-3.74M,CLOSE,0%
00827B106,AFRM,AFFIRM HLDGS INC,0,-101600,0,-4.59M,CLOSE,0%
595112103,MU,MICRON TECHNOLOGY INC,0,-55000,0,-4.78M,CLOSE,0%
780259305,SHEL,SHELL PLC,0,-68500,0,-5.02M,CLOSE,0%
31946M103,FCNCA,FIRST CTZNS BANCSHARES INC N,0,-3230,0,-5.99M,CLOSE,0%
Total,,,,,167.42M,23.44M,+19.6%,100%
