CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
67066G104,NVDA,NVIDIA CORPORATION,3719921,830107,587.71M,131.15M,+28.7%,3.6%
76009N100,UPBD,UPBOUND GROUP INC,4535114,3801043,113.83M,95.41M,+517.8%,0.7%
78468R663,BIL,SPDR SERIES TRUST,2008178,819283,184.21M,75.15M,+68.9%,1.1%
921909768,VXUS,VANGUARD STAR FDS,848764,742504,58.64M,51.3M,+698.8%,0.36%
040413205,ANET,ARISTA NETWORKS INC,843138,346600,86.26M,35.46M,+69.8%,0.53%
922908363,VOO,VANGUARD INDEX FDS,423100,59354,236.38M,33.16M,+16.3%,1.4%
58933Y105,MRK,MERCK & CO INC,556411,348203,44.05M,27.56M,+167.2%,0.27%
79589L106,IOT,SAMSARA INC,730971,679392,29.08M,27.03M,+1317.2%,0.18%
693475105,PNC,PNC FINL SVCS GROUP INC,174262,125420,32.49M,23.38M,+256.8%,0.2%
61174X109,MNST,MONSTER BEVERAGE CORP NEW,417200,338598,26.13M,21.21M,+430.8%,0.16%
922475108,VEEV,VEEVA SYS INC,84277,68073,24.27M,19.6M,+420.1%,0.15%
11135F101,AVGO,BROADCOM INC,537093,70904,148.05M,19.54M,+15.2%,0.91%
88160R101,TSLA,TESLA INC,457802,61317,145.43M,19.48M,+15.5%,0.89%
882681109,TXRH,TEXAS ROADHOUSE INC,139633,102751,26.17M,19.26M,+278.6%,0.16%
922908769,VTI,VANGUARD INDEX FDS,736279,59999,223.78M,18.24M,+8.9%,1.4%
247361702,DAL,DELTA AIR LINES INC DEL,470653,366725,23.15M,18.04M,+352.9%,0.14%
55087P104,LYFT,LYFT INC,1755156,1141281,27.66M,17.99M,+185.9%,0.17%
594918104,MSFT,MICROSOFT CORP,887503,36143,441.45M,17.98M,+4.2%,2.7%
889478103,TOL,TOLL BROTHERS INC,171066,148066,19.52M,16.9M,+643.8%,0.12%
452327109,ILMN,ILLUMINA INC,245409,176611,23.41M,16.85M,+256.7%,0.14%
199908104,FIX,COMFORT SYS USA INC,53769,31124,28.83M,16.69M,+137.4%,0.18%
30212P303,EXPE,EXPEDIA GROUP INC,151610,96945,25.57M,16.35M,+177.3%,0.16%
00846U101,A,AGILENT TECHNOLOGIES INC,157507,137928,18.59M,16.28M,+704.5%,0.11%
281020107,EIX,EDISON INTL,552149,313733,28.49M,16.19M,+131.6%,0.17%
G6683N103,NU,NU HLDGS LTD,4848221,1144664,66.52M,15.7M,+30.9%,0.41%
92343E102,VRSN,VERISIGN INC,159024,54371,45.93M,15.7M,+52%,0.28%
G1151C101,ACN,ACCENTURE PLC IRELAND,98752,52173,29.52M,15.59M,+112%,0.18%
922907746,VTEB,VANGUARD MUN BD FDS,336379,317819,16.49M,15.58M,+1712.4%,0.1%
458140100,INTC,INTEL CORP,1216966,669843,27.26M,15M,+122.4%,0.17%
14040H105,COF,CAPITAL ONE FINL CORP,99066,69593,21.08M,14.81M,+236.1%,0.13%
143130102,KMX,CARMAX INC,317328,219064,21.33M,14.72M,+222.9%,0.13%
