CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
46438F101,IBIT,ISHARES BITCOIN TRUST ETF,4132010,4132010,252.92M,252.92M,NEW,6.3%
78467X109,DIA,SPDR DOW JONES INDL AVERAGE,405804,405804,178.82M,178.82M,NEW,4.5%
037833100,AAPL,APPLE INC,739952,739952,151.82M,151.82M,NEW,3.8%
81369Y605,XLF,SELECT SECTOR SPDR TR,2757877,2757877,144.43M,144.43M,NEW,3.6%
19260Q107,COIN,COINBASE GLOBAL INC,293821,293821,102.98M,102.98M,NEW,2.6%
464287200,IVV,ISHARES TR,164373,164373,102.06M,102.06M,NEW,2.6%
74347X831,TQQQ,PROSHARES TR,1168112,1155681,96.95M,95.92M,+9296.8%,2.4%
69608A108,PLTR,PALANTIR TECHNOLOGIES INC,664341,664341,90.56M,90.56M,NEW,2.3%
91324P102,UNH,UNITEDHEALTH GROUP INC,287459,287459,89.68M,89.68M,NEW,2.2%
30303M102,META,META PLATFORMS INC,115404,115404,85.18M,85.18M,NEW,2.1%
85207H104,PHYS,SPROTT PHYSICAL GOLD TR,3204243,3095611,81.23M,78.47M,+2849.6%,2%
922908363,VOO,VANGUARD INDEX FDS,117690,117690,66.85M,66.85M,NEW,1.7%
22160K105,COST,COSTCO WHSL CORP NEW,58972,58972,58.38M,58.38M,NEW,1.5%
722304102,PDD,PDD HOLDINGS INC,1085536,487212,113.61M,50.99M,+81.4%,2.8%
01609W102,BABA,ALIBABA GROUP HLDG LTD,702578,443674,79.68M,50.32M,+171.4%,2%
88160R101,TSLA,TESLA INC,485742,156355,154.3M,49.67M,+47.5%,3.9%
00724F101,ADBE,ADOBE INC,119766,119766,46.34M,46.34M,NEW,1.2%
713448108,PEP,PEPSICO INC,306616,306616,40.49M,40.49M,NEW,1%
09174C104,BITB,BITWISE BITCOIN ETF TR,514103,514103,30.12M,30.12M,NEW,0.75%
22788C105,CRWD,CROWDSTRIKE HLDGS INC,58695,58695,29.89M,29.89M,NEW,0.75%
336433107,FSLR,FIRST SOLAR INC,205038,172869,33.94M,28.62M,+537.4%,0.85%
315948109,FBTC,FIDELITY WISE ORIGIN BITCOIN,271720,271720,25.54M,25.54M,NEW,0.64%
389637109,GBTC,GRAYSCALE BITCOIN TRUST ETF,362801,255980,30.78M,21.71M,+239.6%,0.77%
580135101,MCD,MCDONALDS CORP,72637,72637,21.22M,21.22M,NEW,0.53%
25809K105,DASH,DOORDASH INC,85963,85963,21.19M,21.19M,NEW,0.53%
91232N207,USO,UNITED STS OIL FD LP,323428,273718,23.65M,20.01M,+550.6%,0.59%
03831W108,APP,APPLOVIN CORP,56241,56241,19.69M,19.69M,NEW,0.49%
539830109,LMT,LOCKHEED MARTIN CORP,51811,41225,24M,19.09M,+389.4%,0.6%
92826C839,V,VISA INC,51882,51882,18.42M,18.42M,NEW,0.46%
02079K107,GOOG,ALPHABET INC,330065,95642,58.55M,16.97M,+40.8%,1.5%
883556102,TMO,THERMO FISHER SCIENTIFIC INC,38071,38071,15.44M,15.44M,NEW,0.39%
98138H101,WDAY,WORKDAY INC,59225,59225,14.21M,14.21M,NEW,0.36%
36828A101,GEV,GE VERNOVA INC,25999,25999,13.76M,13.76M,NEW,0.34%
532457108,LLY,ELI LILLY & CO,17293,17293,13.48M,13.48M,NEW,0.34%
149123101,CAT,CATERPILLAR INC,32442,32442,12.59M,12.59M,NEW,0.31%
61945C103,MOS,MOSAIC CO NEW,326323,326323,11.9M,11.9M,NEW,0.3%
097023105,BA,BOEING CO,119442,52428,25.03M,10.99M,+78.2%,0.63%
773121108,RKLB,ROCKET LAB CORP,306182,306182,10.95M,10.95M,NEW,0.27%
25461A429,PLTD,DIREXION SHS ETF TR,1336197,1123294,12.49M,10.5M,+527.6%,0.31%
31428X106,FDX,FEDEX CORP,75700,43603,17.21M,9.91M,+135.8%,0.43%
21036P108,STZ,CONSTELLATION BRANDS INC,58924,58924,9.59M,9.59M,NEW,0.24%
247361702,DAL,DELTA AIR LINES INC DEL,210291,192906,10.34M,9.49M,+1109.6%,0.26%
75886F107,REGN,REGENERON PHARMACEUTICALS,17952,17952,9.42M,9.42M,NEW,0.24%
47215P106,JD,JD.COM INC,286976,286976,9.37M,9.37M,NEW,0.23%
172573107,CRCL,CIRCLE INTERNET GROUP INC,50929,50929,9.23M,9.23M,NEW,0.23%
704326107,PAYX,PAYCHEX INC,62601,62601,9.11M,9.11M,NEW,0.23%
458140100,INTC,INTEL CORP,1571872,403125,35.21M,9.03M,+34.5%,0.88%
49177J102,KVUE,KENVUE INC,482575,416093,10.1M,8.71M,+625.9%,0.25%
15118V207,CELH,CELSIUS HLDGS INC,185566,185566,8.61M,8.61M,NEW,0.22%
48251W104,KKR,KKR & CO INC,64635,64635,8.6M,8.6M,NEW,0.22%
826919102,SLAB,SILICON LABORATORIES INC,56985,56985,8.4M,8.4M,NEW,0.21%
743315103,PGR,PROGRESSIVE CORP,31144,31144,8.31M,8.31M,NEW,0.21%
053015103,ADP,AUTOMATIC DATA PROCESSING IN,41946,26298,12.94M,8.11M,+168.1%,0.32%
084670702,BRK.B,BERKSHIRE HATHAWAY INC DEL,16694,16694,8.11M,8.11M,NEW,0.2%
92343V104,VZ,VERIZON COMMUNICATIONS INC,185469,185469,8.03M,8.03M,NEW,0.2%
74347W601,UGL,PROSHARES TR II,286631,225712,9.93M,7.82M,+370.5%,0.25%
25459W862,SPXL,DIREXION SHS ETF TR,44845,44845,7.78M,7.78M,NEW,0.19%
166764100,CVX,CHEVRON CORP NEW,51030,51030,7.31M,7.31M,NEW,0.18%
256746108,DLTR,DOLLAR TREE INC,72006,72006,7.13M,7.13M,NEW,0.18%
87612E106,TGT,TARGET CORP,84035,68144,8.29M,6.72M,+428.8%,0.21%
237194105,DRI,DARDEN RESTAURANTS INC,29686,29686,6.47M,6.47M,NEW,0.16%
25754A201,DPZ,DOMINOS PIZZA INC,14292,14292,6.44M,6.44M,NEW,0.16%
075887109,BDX,BECTON DICKINSON & CO,36378,36378,6.27M,6.27M,NEW,0.16%
92345Y106,VRSK,VERISK ANALYTICS INC,19814,19814,6.17M,6.17M,NEW,0.15%
92537N108,VRT,VERTIV HOLDINGS CO,171404,47555,22.01M,6.11M,+38.4%,0.55%
126408103,CSX,CSX CORP,182695,182695,5.96M,5.96M,NEW,0.15%
G1151C101,ACN,ACCENTURE PLC IRELAND,19112,19112,5.71M,5.71M,NEW,0.14%
21874A106,CORZ,CORE SCIENTIFIC INC NEW,381536,330469,6.51M,5.64M,+647.1%,0.16%
30231G102,XOM,EXXON MOBIL CORP,51274,51274,5.53M,5.53M,NEW,0.14%
29977A105,EVR,EVERCORE INC,20000,20000,5.4M,5.4M,NEW,0.14%
697435105,PANW,PALO ALTO NETWORKS INC,26084,26084,5.34M,5.34M,NEW,0.13%
343412102,FLR,FLUOR CORP NEW,103850,103850,5.32M,5.32M,NEW,0.13%
243537107,DECK,DECKERS OUTDOOR CORP,51569,51569,5.32M,5.32M,NEW,0.13%
974155103,WING,WINGSTOP INC,15286,15286,5.15M,5.15M,NEW,0.13%
74347W353,AGQ,PROSHARES TR II,138997,107986,6.6M,5.13M,+348.2%,0.17%
697900108,PAAS,PAN AMERN SILVER CORP,178691,178691,5.07M,5.07M,NEW,0.13%
233051879,ASHR,DBX ETF TR,181714,181714,5M,5M,NEW,0.13%
25459Y165,SPUU,DIREXION SHS ETF TR,31304,31304,4.9M,4.9M,NEW,0.12%
60937P106,MDB,MONGODB INC,23185,23185,4.87M,4.87M,NEW,0.12%
368736104,GNRC,GENERAC HLDGS INC,33257,33257,4.76M,4.76M,NEW,0.12%
550021109,LULU,LULULEMON ATHLETICA INC,45315,19851,10.77M,4.72M,+78%,0.27%
803054204,SAP,SAP SE,15495,15495,4.71M,4.71M,NEW,0.12%
679295105,OKTA,OKTA INC,45146,45146,4.51M,4.51M,NEW,0.11%
573874104,MRVL,MARVELL TECHNOLOGY INC,97788,58264,7.57M,4.51M,+147.4%,0.19%
038169207,APLD,APPLIED DIGITAL CORP,677075,441109,6.82M,4.44M,+186.9%,0.17%
674599105,OXY,OCCIDENTAL PETE CORP,103677,103677,4.36M,4.36M,NEW,0.11%
74347Y813,KOLD,PROSHARES TR II,166682,166682,4.27M,4.27M,NEW,0.11%
67103H107,ORLY,OREILLY AUTOMOTIVE INC,46632,46632,4.2M,4.2M,NEW,0.11%
81762P102,NOW,SERVICENOW INC,21975,4077,22.59M,4.19M,+22.8%,0.56%
687793109,OSCR,OSCAR HEALTH INC,348714,192344,7.48M,4.12M,+123%,0.19%
464287242,LQD,ISHARES TR,36502,36502,4M,4M,NEW,0.1%
26701L100,BROS,DUTCH BROS INC,57956,57956,3.96M,3.96M,NEW,0.1%
16411R208,LNG,CHENIERE ENERGY INC,16175,16175,3.94M,3.94M,NEW,0.1%
009066101,ABNB,AIRBNB INC,45705,28854,6.05M,3.82M,+171.2%,0.15%
G0403H108,AON,AON PLC,10203,10203,3.64M,3.64M,NEW,0.09%
92864M301,BITX,VOLATILITY SHS TR,89364,66064,4.83M,3.57M,+283.5%,0.12%
74347G416,SDS,PROSHARES TR,213766,213766,3.56M,3.56M,NEW,0.09%
055622104,BP,BP PLC,116919,116919,3.5M,3.5M,NEW,0.09%
15135B101,CNC,CENTENE CORP DEL,63536,63536,3.45M,3.45M,NEW,0.09%
81764X103,TTAN,SERVICETITAN INC,32141,32141,3.44M,3.44M,NEW,0.09%
05550J101,BJ,BJS WHSL CLUB HLDGS INC,31135,31135,3.36M,3.36M,NEW,0.08%
92840M102,VST,VISTRA CORP,83241,17318,16.13M,3.36M,+26.3%,0.4%
77664L207,ROOT,ROOT INC,26145,26145,3.35M,3.35M,NEW,0.08%
59156R108,MET,METLIFE INC,41579,41579,3.34M,3.34M,NEW,0.08%
464287739,IYR,ISHARES TR,34746,34746,3.29M,3.29M,NEW,0.08%
87918A105,TDOC,TELADOC HEALTH INC,597848,377530,5.21M,3.29M,+171.4%,0.13%
74347W130,SVXY,PROSHARES TR II,76647,76647,3.27M,3.27M,NEW,0.08%
464286400,EWZ,ISHARES INC,112348,112348,3.24M,3.24M,NEW,0.08%
03674X106,AR,ANTERO RESOURCES CORP,80241,80241,3.23M,3.23M,NEW,0.08%
364760108,GAP,GAP INC,192934,148020,4.21M,3.23M,+329.6%,0.11%
25460G260,TSLS,DIREXION SHS ETF TR,464819,411711,3.64M,3.23M,+775.2%,0.09%
406216101,HAL,HALLIBURTON CO,157443,157443,3.21M,3.21M,NEW,0.08%
G7997R103,STX,SEAGATE TECHNOLOGY HLDNGS PL,40433,22058,5.84M,3.18M,+120%,0.15%
48203R104,JNPR,JUNIPER NETWORKS INC,89759,79419,3.58M,3.17M,+768.1%,0.09%
046353108,AZN,ASTRAZENECA PLC,43897,43897,3.07M,3.07M,NEW,0.08%
832696405,SJM,SMUCKER J M CO,31212,31212,3.07M,3.07M,NEW,0.08%
25461A551,AVS,DIREXION SHS ETF TR,252730,235490,3.28M,3.06M,+1366%,0.08%
25460E265,SPXS,DIREXION SHS ETF TR,649962,649962,3.05M,3.05M,NEW,0.08%
92343X100,VRNT,VERINT SYS INC,153817,153817,3.03M,3.03M,NEW,0.08%
217204106,CPRT,COPART INC,61623,61623,3.02M,3.02M,NEW,0.08%
37637K108,GTLB,GITLAB INC,66998,66998,3.02M,3.02M,NEW,0.08%
74347X823,UDOW,PROSHARES TR,46705,31814,4.41M,3M,+213.6%,0.11%
880770102,TER,TERADYNE INC,33389,33389,3M,3M,NEW,0.08%
M98068105,WIX,WIX COM LTD,18843,18843,2.99M,2.99M,NEW,0.07%
76954A103,RIVN,RIVIAN AUTOMOTIVE INC,214918,214918,2.95M,2.95M,NEW,0.07%
500754106,KHC,KRAFT HEINZ CO,113450,113450,2.93M,2.93M,NEW,0.07%
25460G286,TSLL,DIREXION SHS ETF TR,267150,244818,3.16M,2.89M,+1096.3%,0.08%
74348A210,RWM,PROSHARES TR,192843,151472,3.63M,2.85M,+366.1%,0.09%
50077B207,KTOS,KRATOS DEFENSE & SEC SOLUTIO,76235,61076,3.54M,2.84M,+402.9%,0.09%
25461A460,YANG,DIREXION SHS ETF TR,91069,91069,2.79M,2.79M,NEW,0.07%
189054109,CLX,CLOROX CO DEL,22489,22489,2.7M,2.7M,NEW,0.07%
34354P105,FLS,FLOWSERVE CORP,51271,51271,2.68M,2.68M,NEW,0.07%
00827B106,AFRM,AFFIRM HLDGS INC,38570,38570,2.67M,2.67M,NEW,0.07%
