CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
88034P109,TME,TENCENT MUSIC ENTMT GROUP,3525623,3410938,68.71M,66.48M,+2974.2%,14.2%
67066G104,NVDA,NVIDIA CORPORATION,285108,285108,45.04M,45.04M,NEW,9.3%
90353T100,UBER,UBER TECHNOLOGIES INC,276419,276419,25.79M,25.79M,NEW,5.3%
803054204,SAP,SAP SE,74936,71252,22.79M,21.67M,+1934.1%,4.7%
958102105,WDC,WESTERN DIGITAL CORP,332576,332576,21.28M,21.28M,NEW,4.4%
46266C105,IQV,IQVIA HLDGS INC,94270,94270,14.86M,14.86M,NEW,3.1%
G0260P102,AS,AMER SPORTS INC,433170,298074,16.79M,11.55M,+220.6%,3.5%
01741R102,ATI,ATI INC,116839,116839,10.09M,10.09M,NEW,2.1%
V5633W109,MMYT,MAKEMYTRIP LIMITED MAURITIUS,99592,90066,9.76M,8.83M,+945.5%,2%
02079K107,GOOG,ALPHABET INC,48344,48344,8.58M,8.58M,NEW,1.8%
11135F101,AVGO,BROADCOM INC,23819,23819,6.57M,6.57M,NEW,1.4%
55024U109,LITE,LUMENTUM HLDGS INC,53404,53404,5.08M,5.08M,NEW,1%
G7997R103,STX,SEAGATE TECHNOLOGY HLDNGS PL,32321,32321,4.66M,4.66M,NEW,0.96%
64110W102,NTES,NETEASE INC,31982,31982,4.3M,4.3M,NEW,0.89%
538034109,LYV,LIVE NATION ENTERTAINMENT IN,26073,23972,3.94M,3.63M,+1141%,0.81%
285512109,EA,ELECTRONIC ARTS INC,21231,21231,3.39M,3.39M,NEW,0.7%
833445109,SNOW,SNOWFLAKE INC,15100,15100,3.38M,3.38M,NEW,0.7%
254687106,DIS,DISNEY WALT CO,27071,27071,3.36M,3.36M,NEW,0.69%
531229755,FWONK,LIBERTY MEDIA CORP DEL,50537,30459,5.28M,3.18M,+151.7%,1.1%
68389X105,ORCL,ORACLE CORP,14456,14456,3.16M,3.16M,NEW,0.65%
722304102,PDD,PDD HOLDINGS INC,31515,28615,3.3M,2.99M,+986.7%,0.68%
85208M102,SFM,SPROUTS FMRS MKT INC,18173,18173,2.99M,2.99M,NEW,0.62%
26142V105,DKNG,DRAFTKINGS INC NEW,65105,65105,2.79M,2.79M,NEW,0.58%
G6683N103,NU,NU HLDGS LTD,196100,196100,2.69M,2.69M,NEW,0.56%
66981J102,MNSO,MINISO GROUP HLDG LTD,145300,145300,2.65M,2.65M,NEW,0.55%
92537N108,VRT,VERTIV HOLDINGS CO,19666,19666,2.53M,2.53M,NEW,0.52%
M2682V108,CYBR,CYBERARK SOFTWARE LTD,8151,6116,3.32M,2.49M,+300.5%,0.68%
18915M107,NET,CLOUDFLARE INC,12138,12138,2.38M,2.38M,NEW,0.49%
98980G102,ZS,ZSCALER INC,7329,7329,2.3M,2.3M,NEW,0.47%
98887Q104,ZLAB,ZAI LAB LTD,55210,55210,1.93M,1.93M,NEW,0.4%
147528103,CASY,CASEYS GEN STORES INC,3748,3748,1.91M,1.91M,NEW,0.39%
G4124C109,GRAB,GRAB HOLDINGS LIMITED,463000,366449,2.33M,1.84M,+379.5%,0.48%
032095101,APH,AMPHENOL CORP NEW,15295,15295,1.51M,1.51M,NEW,0.31%
G25457105,CRDO,CREDO TECHNOLOGY GROUP HOLDI,16100,16100,1.49M,1.49M,NEW,0.31%
911363109,URI,UNITED RENTALS INC,1561,1561,1.18M,1.18M,NEW,0.24%
871607107,SNPS,SYNOPSYS INC,6259,2222,3.21M,1.14M,+55%,0.66%
985194208,YSG,YATSEN HLDG LTD,105400,105400,1.02M,1.02M,NEW,0.21%
950915108,WRD,WERIDE INC,23291,23291,183.53K,183.53K,NEW,0.04%
34379V103,FLNC,FLUENCE ENERGY INC,20000,20000,134.2K,134.2K,NEW,0.03%
732908108,PONY,PONY AI INC,0,-13593,0,-119.89K,CLOSE,0%
36828A101,GEV,GE VERNOVA INC,0,-747,0,-228.04K,CLOSE,0%
773903109,ROK,ROCKWELL AUTOMATION INC,874,-693,290.32K,-230.19K,-44.2%,0.06%
37045V100,GM,GENERAL MTRS CO,0,-6983,0,-328.41K,CLOSE,0%
55354G100,MSCI,MSCI INC,0,-741,0,-419.04K,CLOSE,0%
60937P106,MDB,MONGODB INC,0,-2451,0,-429.9K,CLOSE,0%
L8681T102,SPOT,SPOTIFY TECHNOLOGY S A,422,-603,323.82K,-462.71K,-58.8%,0.07%
759530108,RELX,RELX PLC,0,-10284,0,-518.42K,CLOSE,0%
872590104,TMUS,T-MOBILE US INC,0,-2097,0,-559.29K,CLOSE,0%
881624209,TEVA,TEVA PHARMACEUTICAL INDS LTD,0,-45432,0,-698.29K,CLOSE,0%
G54950103,LIN,LINDE PLC,0,-1628,0,-758.06K,CLOSE,0%
G3643J108,FLUT,FLUTTER ENTMT PLC,0,-3586,0,-794.48K,CLOSE,0%
946784105,WAY,WAYSTAR HLDG CORP,0,-22798,0,-851.73K,CLOSE,0%
13646K108,CP,CANADIAN PACIFIC KANSAS CITY,0,-13756,0,-965.81K,CLOSE,0%
91332U101,U,UNITY SOFTWARE INC,0,-53310,0,-1.04M,CLOSE,0%
64110L106,NFLX,NETFLIX INC,0,-1177,0,-1.1M,CLOSE,0%
25809K105,DASH,DOORDASH INC,0,-6020,0,-1.1M,CLOSE,0%
969457100,WMB,WILLIAMS COS INC,4106,-21025,257.9K,-1.32M,-83.7%,0.05%
79466L302,CRM,SALESFORCE INC,0,-4929,0,-1.32M,CLOSE,0%
22160K105,COST,COSTCO WHSL CORP NEW,0,-1615,0,-1.53M,CLOSE,0%
01609W102,BABA,ALIBABA GROUP HLDG LTD,0,-13383,0,-1.77M,CLOSE,0%
89677Q107,TCOM,TRIP COM GROUP LTD,0,-28176,0,-1.79M,CLOSE,0%
11271J107,BN,BROOKFIELD CORP,0,-34265,0,-1.8M,CLOSE,0%
512807306,LRCX,LAM RESEARCH CORP,0,-24718,0,-1.8M,CLOSE,0%
67103H107,ORLY,OREILLY AUTOMOTIVE INC,0,-1492,0,-2.14M,CLOSE,0%
05550J101,BJ,BJS WHSL CLUB HLDGS INC,0,-18864,0,-2.15M,CLOSE,0%
830566105,SKX,SKECHERS U S A INC,0,-40328,0,-2.29M,CLOSE,0%
461202103,INTU,INTUIT,0,-4812,0,-2.95M,CLOSE,0%
876030107,TPR,TAPESTRY INC,27623,-36921,2.43M,-3.24M,-57.2%,0.5%
023135106,AMZN,AMAZON COM INC,97472,-49519,21.38M,-10.86M,-33.7%,4.4%
594918104,MSFT,MICROSOFT CORP,72628,-29469,36.13M,-14.66M,-28.9%,7.5%
532457108,LLY,ELI LILLY & CO,0,-26456,0,-21.85M,CLOSE,0%
770700102,HOOD,ROBINHOOD MKTS INC,0,-559041,0,-23.27M,CLOSE,0%
80004C200,SNDK,SANDISK CORP,0,-766770,0,-36.51M,CLOSE,0%
35969L108,YMM,FULL TRUCK ALLIANCE CO LTD,0,-3000123,0,-38.31M,CLOSE,0%
72352L106,PINS,PINTEREST INC,0,-1278961,0,-39.65M,CLOSE,0%
88557W101,QFIN,QIFU TECHNOLOGY INC,0,-1175990,0,-52.81M,CLOSE,0%
44332N106,HTHT,H WORLD GROUP LTD,204227,-1697362,6.93M,-57.57M,-89.3%,1.4%
81141R100,SE,SEA LTD,390519,-433046,62.46M,-69.26M,-52.6%,12.9%
595112103,MU,MICRON TECHNOLOGY INC,0,-1107756,0,-96.25M,CLOSE,0%
30303M102,META,META PLATFORMS INC,37435,-153354,27.63M,-113.19M,-80.4%,5.7%
Total,,,,,484.47M,-297.89M,-41.9%,100%
