CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
74349Y753,SH,PROSHARES TR,55000,55000,2.18M,2.18M,NEW,2.4%
74349Y837,PSQ,PROSHARES TR,59000,59000,1.99M,1.99M,NEW,2.2%
03831W108,APP,APPLOVIN CORP,800,800,280.06K,280.06K,NEW,0.31%
532457108,LLY,ELI LILLY & CO,1218,200,949.47K,155.91K,+19.6%,1%
02079K305,GOOGL,ALPHABET INC,30800,0,5.43M,0,NO CHANGE,6%
023135106,AMZN,AMAZON COM INC,13900,0,3.05M,0,NO CHANGE,3.4%
15101Q207,CLS,CELESTICA INC,11100,0,1.73M,0,NO CHANGE,1.9%
11135F101,AVGO,BROADCOM INC,4000,0,1.1M,0,NO CHANGE,1.2%
042068205,ARM,ARM HOLDINGS PLC,3800,0,614.61K,0,NO CHANGE,0.68%
22160K105,COST,COSTCO WHOLESALE CORP,600,0,593.96K,0,NO CHANGE,0.65%
30303M102,META,META PLATFORMS INC,800,0,590.47K,0,NO CHANGE,0.65%
57636Q104,MA,MASTERCARD INCORPORATED,1000,0,561.94K,0,NO CHANGE,0.62%
N3167Y103,RACE,FERRARI NV,700,0,343.52K,0,NO CHANGE,0.38%
79466L302,CRM,SALESFORCE INC,938,0,255.78K,0,NO CHANGE,0.28%
595112103,MU,MICRON TECHNOLOGY INC,0,-1400,0,-121.65K,CLOSE,0%
127387108,CDNS,CADENCE DESIGN SYS INC,0,-1200,0,-305.2K,CLOSE,0%
N07059210,ASML,ASML HOLDING N V,500,-500,400.69K,-400.69K,-50%,0.44%
747525103,QCOM,QUALCOMM INC,5000,-3478,796.3K,-553.91K,-41%,0.88%
69608A108,PLTR,PALANTIR TECHNOLOGIES INC,30500,-10500,4.16M,-1.43M,-25.6%,4.6%
64110L106,NFLX,NETFLIX INC,2000,-1946,2.68M,-2.61M,-49.3%,2.9%
037833100,AAPL,APPLE INC,50000,-21434,10.26M,-4.4M,-30%,11.3%
46120E602,ISRG,INTUITIVE SURGICAL INC,10000,-9600,5.43M,-5.22M,-49%,6%
67066G104,NVDA,NVIDIA CORPORATION,261500,-35060,41.31M,-5.54M,-11.8%,45.5%
594918104,MSFT,MICROSOFT CORP,12300,-32108,6.12M,-15.97M,-72.3%,6.7%
Total,,,,,90.83M,-31.94M,-33.2%,100%
