CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
92556H206,PSKY,PARAMOUNT GLOBAL,51040940,5207778,658.43M,67.18M,+11.4%,14.2%
66987E206,NG,NOVAGOLD RES INC,34902954,13180065,142.75M,53.91M,+60.7%,3.1%
732908108,PONY,PONY AI INC,2379892,850000,31.41M,11.22M,+55.6%,0.68%
81762P102,NOW,SERVICENOW INC,46104,10000,47.4M,10.28M,+27.7%,1%
26603R106,DUOL,DUOLINGO INC,25000,25000,10.25M,10.25M,NEW,0.22%
75281A109,RRC,RANGE RES CORP,7161614,138877,291.26M,5.65M,+2%,6.3%
881624209,TEVA,TEVA PHARMACEUTICAL INDS LTD,28156918,302975,471.91M,5.08M,+1.1%,10.1%
48251W104,KKR,KKR & CO INC,37600,37600,5M,5M,NEW,0.11%
874039100,TSM,TAIWAN SEMICONDUCTOR MFG LTD,205000,20000,46.43M,4.53M,+10.8%,1%
53190C102,LTH,LIFE TIME GROUP HOLDINGS INC,146300,146300,4.44M,4.44M,NEW,0.1%
051774107,AUR,AURORA INNOVATION INC,3450000,700000,18.08M,3.67M,+25.5%,0.39%
77311W101,RKT,ROCKET COS INC,242100,242100,3.43M,3.43M,NEW,0.07%
92189F791,GDXJ,VANECK ETF TRUST,2575680,50185,174.09M,3.39M,+2%,3.7%
91822M502,VEON,VEON LTD,5957666,70659,274.47M,3.26M,+1.2%,5.9%
806857108,SLB,SCHLUMBERGER LTD,4128645,76301,139.55M,2.58M,+1.9%,3%
82575P107,SBSW,SIBANYE STILLWATER LTD,28430409,263600,205.27M,1.9M,+0.9%,4.4%
32076V103,AG,FIRST MAJESTIC SILVER CORP,9964096,213577,82.4M,1.77M,+2.2%,1.8%
G9460G101,VAL,VALARIS LTD,3655900,38579,153.95M,1.62M,+1.1%,3.3%
00187Y100,APG,API GROUP CORP,204800,30800,10.46M,1.57M,+17.7%,0.22%
26142V105,DKNG,DRAFTKINGS INC NEW,160967,30900,6.9M,1.33M,+23.8%,0.15%
02079K305,GOOGL,ALPHABET INC,26845,22,4.73M,3.88K,+0.1%,0.1%
67066G104,NVDA,NVIDIA CORPORATION,383660,0,60.61M,0,NO CHANGE,1.3%
88023B103,TEM,TEMPUS AI INC,783859,0,49.81M,0,NO CHANGE,1.1%
46120E602,ISRG,INTUITIVE SURGICAL INC,76357,0,41.49M,0,NO CHANGE,0.89%
58733R102,MELI,MERCADOLIBRE INC,15014,0,39.24M,0,NO CHANGE,0.84%
G65163100,JOBY,JOBY AVIATION INC,2338980,0,24.68M,0,NO CHANGE,0.53%
75629V104,RXRX,RECURSION PHARMACEUTICALS IN,3675077,0,18.6M,0,NO CHANGE,0.4%
60770K107,MRNA,MODERNA INC,373095,0,10.29M,0,NO CHANGE,0.22%
023135106,AMZN,AMAZON COM INC,42410,0,9.3M,0,NO CHANGE,0.2%
448579102,H,HYATT HOTELS CORP,62877,0,8.78M,0,NO CHANGE,0.19%
H8088L103,SRAD,SPORTRADAR GROUP AG,297980,0,8.37M,0,NO CHANGE,0.18%
G25508105,CRH,CRH PLC,59613,0,5.47M,0,NO CHANGE,0.12%
14040H105,COF,CAPITAL ONE FINL CORP,16134,0,3.43M,0,NO CHANGE,0.07%
37611X209,DNA,GINKGO BIOWORKS HOLDINGS INC,250282,0,2.82M,0,NO CHANGE,0.06%
12504L109,CBRE,CBRE GROUP INC,16337,0,2.29M,0,NO CHANGE,0.05%
G1110E107,BHVN,BIOHAVEN LTD,24390,0,344.14K,0,NO CHANGE,<.01%
90353T100,UBER,UBER TECHNOLOGIES INC,53700,-14313,5.01M,-1.34M,-21%,0.11%
971378104,WSC,WILLSCOT HLDGS CORP,0,-84806,0,-2.36M,CLOSE,0%
16411R208,LNG,CHENIERE ENERGY INC,0,-12097,0,-2.8M,CLOSE,0%
687793109,OSCR,OSCAR HEALTH INC,180000,-199116,3.86M,-4.27M,-52.5%,0.08%
13646K108,CP,CANADIAN PACIFIC KANSAS CITY,0,-63049,0,-4.43M,CLOSE,0%
88339J105,TTD,THE TRADE DESK INC,0,-84300,0,-4.61M,CLOSE,0%
11271J107,BN,BROOKFIELD CORP,0,-145645,0,-7.63M,CLOSE,0%
594918104,MSFT,MICROSOFT CORP,73009,-17517,36.32M,-8.71M,-19.4%,0.78%
88160R101,TSLA,TESLA INC,43961,-45000,13.96M,-14.29M,-50.6%,0.3%
74275K108,PCOR,PROCORE TECHNOLOGIES INC,0,-325000,0,-21.46M,CLOSE,0%
413216300,HMY,HARMONY GOLD MINING CO LTD,18209275,-2943939,254.38M,-41.13M,-13.9%,5.5%
146869102,CVNA,CARVANA CO,3765251,-280045,1.27B,-94.36M,-6.9%,27.3%
Total,,,,,4.65B,-5.33M,-0.1%,100%
