CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
922042775,VEU,VANGUARD INTL EQUITY INDEX F,32711,32711,2.2M,2.2M,NEW,0.72%
78462F103,SPY,SPDR S&P 500 ETF TR,16313,2671,10.06M,1.65M,+19.6%,3.3%
78463V107,GLD,SPDR GOLD TR,13633,3423,4.15M,1.04M,+33.5%,1.4%
92189K105,HODL,VANECK BITCOIN ETF,33932,33932,1.03M,1.03M,NEW,0.34%
46428Q109,SLV,ISHARES SILVER TR,58956,26512,1.93M,867.17K,+81.7%,0.64%
464288877,EFV,ISHARES TR,12496,12496,793.37K,793.37K,NEW,0.26%
22788C105,CRWD,CROWDSTRIKE HLDGS INC,1402,1402,713.78K,713.78K,NEW,0.24%
46090E103,QQQ,INVESCO QQQ TR,29456,1262,16.24M,695.74K,+4.5%,5.4%
58155Q103,MCK,MCKESSON CORP,4641,889,3.4M,650.36K,+23.7%,1.1%
33739E108,FPE,FIRST TR EXCH TRADED FD III,57184,30184,1.02M,535.96K,+111.8%,0.33%
092528603,BINC,BLACKROCK ETF TRUST II,9000,9000,475.56K,475.56K,NEW,0.16%
501044101,KR,KROGER CO,5968,5968,427.97K,427.97K,NEW,0.14%
092508100,BTZ,BLACKROCK CR ALLOCATION INCO,38424,38424,419.59K,419.59K,NEW,0.14%
00206R102,T,AT&T INC,14314,14314,414.25K,414.25K,NEW,0.14%
032108664,HACK,AMPLIFY ETF TR,25001,4496,2.16M,388.04K,+21.9%,0.71%
00162Q452,AMLP,ALPS ETF TR,84067,7469,4.11M,364.96K,+9.8%,1.4%
464287226,AGG,ISHARES TR,3579,3579,353.61K,353.61K,NEW,0.12%
30212P303,EXPE,EXPEDIA GROUP INC,1900,1900,320.72K,320.72K,NEW,0.11%
92343V104,VZ,VERIZON COMMUNICATIONS INC,7332,7332,317.26K,317.26K,NEW,0.1%
15118V207,CELH,CELSIUS HLDGS INC,6650,6650,308.49K,308.49K,NEW,0.1%
855244109,SBUX,STARBUCKS CORP,3000,3000,274.89K,274.89K,NEW,0.09%
46120E602,ISRG,INTUITIVE SURGICAL INC,486,486,263.75K,263.75K,NEW,0.09%
969457100,WMB,WILLIAMS COS INC,4060,4060,254.99K,254.99K,NEW,0.08%
858119100,STLD,STEEL DYNAMICS INC,1958,1958,250.69K,250.69K,NEW,0.08%
931142103,WMT,WALMART INC,38016,2473,3.72M,241.75K,+7%,1.2%
74347G440,BITO,PROSHARES TR,11000,11000,236.61K,236.61K,NEW,0.08%
26441C204,DUK,DUKE ENERGY CORP NEW,1961,1961,231.27K,231.27K,NEW,0.08%
291011104,EMR,EMERSON ELEC CO,1668,1668,222.34K,222.34K,NEW,0.07%
369604301,GE,GE AEROSPACE,862,862,221.34K,221.34K,NEW,0.07%
859241101,STRL,STERLING INFRASTRUCTURE INC,950,950,219.19K,219.19K,NEW,0.07%
020002101,ALL,ALLSTATE CORP,2767,1091,554.04K,218.45K,+65.1%,0.18%
718172109,PM,PHILIP MORRIS INTL INC,10120,1168,1.84M,212.71K,+13%,0.61%
37960A529,SHLD,GLOBAL X FDS,18654,3507,1.12M,211.14K,+23.2%,0.37%
962879102,WPM,WHEATON PRECIOUS METALS CORP,2233,2233,200.55K,200.55K,NEW,0.07%
922908363,VOO,VANGUARD INDEX FDS,358,348,202.98K,197.31K,+3480%,0.07%
22160K105,COST,COSTCO WHSL CORP NEW,1063,184,1.05M,182.13K,+20.9%,0.35%
69608A108,PLTR,PALANTIR TECHNOLOGIES INC,7260,1225,987.9K,166.69K,+20.3%,0.33%
23908L306,DWLD,DAVIS FUNDAMENTAL ETF TR,10449,3831,433.01K,158.76K,+57.9%,0.14%
46434V621,DGRO,ISHARES TR,3153,2171,201.62K,138.83K,+221.1%,0.07%
78433H303,SPYI,NEOS ETF TRUST,2502,2502,125.88K,125.88K,NEW,0.04%
64110L106,NFLX,NETFLIX INC,782,88,1.05M,117.68K,+12.7%,0.34%
166764100,CVX,CHEVRON CORP NEW,4291,800,614.43K,114.55K,+22.9%,0.2%
46432F842,IEFA,ISHARES TR,1088,1088,90.64K,90.64K,NEW,0.03%
78464A789,KIE,SPDR SERIES TRUST,2728,1452,162.96K,86.73K,+113.8%,0.05%
33734X184,FXU,FIRST TR EXCHANGE TRADED FD,7120,2030,301.75K,86.03K,+39.9%,0.1%
