CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
29446Y502,EQX,EQUINOX GOLD CORP,4900000,4900000,28.28M,28.28M,NEW,11.5%
921078101,OUNZ,VANECK MERK GOLD ETF,19249,6455,613.85K,205.85K,+50.5%,0.25%
68634K106,ORLA,ORLA MNG LTD NEW,6200000,0,62.12M,0,NO CHANGE,25.2%
03062D100,USAS,AMERICAS GOLD AND SILVER COR,71151028,0,57.47M,0,NO CHANGE,23.4%
011532108,AGI,ALAMOS GOLD INC NEW,1000000,0,26.56M,0,NO CHANGE,10.8%
008474108,AEM,AGNICO EAGLE MINES LTD,165000,0,19.62M,0,NO CHANGE,8%
G0378L100,AU,ANGLOGOLD ASHANTI PLC,275000,0,12.53M,0,NO CHANGE,5.1%
38059T106,GFI,GOLD FIELDS LTD,500000,0,11.84M,0,NO CHANGE,4.8%
59124U605,MTA,METALLA RTY & STREAMING LTD,3000000,0,11.52M,0,NO CHANGE,4.7%
45826T509,ITRG,INTEGRA RES CORP,5524510,0,8.31M,0,NO CHANGE,3.4%
11777Q209,BTG,B2GOLD CORP,2000000,0,7.22M,0,NO CHANGE,2.9%
Total,,,,,246.09M,28.49M,+15.5%,100%
