CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
67066G104,NVDA,NVIDIA CORPORATION,46780,39500,7.39M,6.24M,+542.6%,26.7%
595112103,MU,MICRON TECHNOLOGY INC,15050,14380,1.85M,1.77M,+2146.3%,6.7%
79466L302,CRM,SALESFORCE INC,5620,5580,1.53M,1.52M,+13950%,5.5%
G29183103,ETN,EATON CORP PLC,4060,4060,1.45M,1.45M,NEW,5.2%
594918104,MSFT,MICROSOFT CORP,2920,2580,1.45M,1.28M,+758.8%,5.2%
097023105,BA,BOEING CO,5280,5280,1.11M,1.11M,NEW,4%
040413205,ANET,ARISTA NETWORKS INC,9840,8500,1.01M,869.63K,+634.3%,3.6%
92826C839,V,VISA INC,2010,1960,713.65K,695.9K,+3920%,2.6%
92537N108,VRT,VERTIV HOLDINGS CO,5870,5270,753.77K,676.72K,+878.3%,2.7%
042068205,ARM,ARM HOLDINGS PLC,10970,3920,1.77M,634.02K,+55.6%,6.4%
254687106,DIS,DISNEY WALT CO,8080,5010,1M,621.29K,+163.2%,3.6%
98422D105,XPEV,XPENG INC,34023,34023,608.33K,608.33K,NEW,2.2%
007903107,AMD,ADVANCED MICRO DEVICES INC,4060,2350,576.11K,333.46K,+137.4%,2.1%
47215P106,JD,JD.COM INC,9100,9100,297.02K,297.02K,NEW,1.1%
090040106,BILI,BILIBILI INC,12100,12100,259.55K,259.55K,NEW,0.94%
532457108,LLY,ELI LILLY & CO,460,310,358.58K,241.65K,+206.7%,1.3%
90353T100,UBER,UBER TECHNOLOGIES INC,7480,2450,697.88K,228.59K,+48.7%,2.5%
02079K305,GOOGL,ALPHABET INC,1660,1270,292.54K,223.81K,+325.6%,1.1%
931142103,WMT,WALMART INC,2130,2130,208.27K,208.27K,NEW,0.75%
11135F101,AVGO,BROADCOM INC,800,630,220.52K,173.66K,+370.6%,0.8%
922475108,VEEV,VEEVA SYS INC,500,500,143.99K,143.99K,NEW,0.52%
464285204,IAU,ISHARES GOLD TR,2230,2230,139.06K,139.06K,NEW,0.5%
22160K105,COST,COSTCO WHSL CORP NEW,130,130,128.69K,128.69K,NEW,0.46%
037833100,AAPL,APPLE INC,1430,570,293.39K,116.95K,+66.3%,1.1%
50202M102,LI,LI AUTO INC,3950,3950,107.08K,107.08K,NEW,0.39%
369604301,GE,GE AEROSPACE,400,400,102.96K,102.96K,NEW,0.37%
742718109,PG,PROCTER AND GAMBLE CO,690,490,109.93K,78.07K,+245%,0.4%
852234103,XYZ,BLOCK INC,1670,990,113.44K,67.25K,+145.6%,0.41%
01609W102,BABA,ALIBABA GROUP HLDG LTD,550,550,62.38K,62.38K,NEW,0.23%
056752108,BIDU,BAIDU INC,500,500,42.88K,42.88K,NEW,0.15%
149123101,CAT,CATERPILLAR INC,340,110,131.99K,42.7K,+47.8%,0.48%
70450Y103,PYPL,PAYPAL HLDGS INC,670,560,49.79K,41.62K,+509.1%,0.18%
517834107,LVS,LAS VEGAS SANDS CORP,950,950,41.33K,41.33K,NEW,0.15%
023135106,AMZN,AMAZON COM INC,2930,170,642.81K,37.3K,+6.2%,2.3%
46625H100,JPM,JPMORGAN CHASE & CO.,110,90,31.89K,26.09K,+450%,0.12%
674599105,OXY,OCCIDENTAL PETE CORP,500,500,21K,21K,NEW,0.08%
038222105,AMAT,APPLIED MATLS INC,110,110,20.14K,20.14K,NEW,0.07%
465562106,ITUB,ITAU UNIBANCO HLDG S A,1205,1205,8.18K,8.18K,NEW,0.03%
910873405,UMC,UNITED MICROELECTRONICS CORP,501,501,3.83K,3.83K,NEW,0.01%
91912E105,VALE,VALE S A,300,200,2.91K,1.94K,+200%,0.01%
375558103,GILD,GILEAD SCIENCES INC,10,10,1.11K,1.11K,NEW,<.01%
49456B101,KMI,KINDER MORGAN INC DEL,0,-20,0,-571,CLOSE,0%
71654V408,PBR,PETROLEO BRASILEIRO SA PETRO,200,-100,2.5K,-1.25K,-33.3%,<.01%
88554D205,DDD,3-D SYS CORP DEL,0,-680,0,-1.44K,CLOSE,0%
29355A107,ENPH,ENPHASE ENERGY INC,0,-120,0,-7.45K,CLOSE,0%
654106103,NKE,NIKE INC,0,-120,0,-7.62K,CLOSE,0%
64110L106,NFLX,NETFLIX INC,220,-10,294.61K,-13.39K,-4.3%,1.1%
478160104,JNJ,JOHNSON & JOHNSON,0,-130,0,-21.56K,CLOSE,0%
459200101,IBM,INTERNATIONAL BUSINESS MACHS,0,-90,0,-22.38K,CLOSE,0%
458140100,INTC,INTEL CORP,0,-1400,0,-31.79K,CLOSE,0%
191216100,KO,COCA COLA CO,0,-460,0,-32.95K,CLOSE,0%
682189105,ON,ON SEMICONDUCTOR CORP,0,-1100,0,-44.76K,CLOSE,0%
00206R102,T,AT&T INC,0,-1650,0,-46.66K,CLOSE,0%
25809K105,DASH,DOORDASH INC,0,-300,0,-54.83K,CLOSE,0%
88579Y101,MMM,3M CO,0,-380,0,-55.81K,CLOSE,0%
